poll_id,question_id,race,cycle,location,pollster,polldate,electiondate,days_to_election,samplesize,methodology,candidate,party,poll_pct,actual_pct,signed_error,absolute_error,source_url,official_result_url
27174,24357,2012_Pres-G_US,2012,US,Ipsos,2012-09-09,2012-11-06,58,873.0,,Barack Obama,DEM,48.0,50.90918536886269,-2.909185368862687,2.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
19108,24428,2012_Pres-G_US,2012,US,Ipsos,2012-09-11,2012-11-06,56,990.0,Online Panel,Barack Obama,DEM,48.0,50.90918536886269,-2.909185368862687,2.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
29391,34907,2012_Pres-G_US,2012,US,YouGov,2012-09-16,2012-11-06,51,943.0,Online Panel,Barack Obama,DEM,49.0,50.90918536886269,-1.909185368862687,1.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
29517,35131,2012_Pres-G_US,2012,US,Ipsos,2012-09-19,2012-11-06,48,1616.0,Online Panel,Barack Obama,DEM,48.0,50.90918536886269,-2.909185368862687,2.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
29598,35689,2012_Pres-G_US,2012,US,YouGov,2012-09-23,2012-11-06,44,896.0,Online Panel,Barack Obama,DEM,48.0,50.90918536886269,-2.909185368862687,2.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
29646,35332,2012_Pres-G_US,2012,US,Ipsos,2012-09-26,2012-11-06,41,855.0,Online Panel,Barack Obama,DEM,47.0,50.90918536886269,-3.909185368862687,3.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
29765,35509,2012_Pres-G_US,2012,US,YouGov,2012-09-30,2012-11-06,37,785.0,Online Panel,Barack Obama,DEM,49.0,50.90918536886269,-1.909185368862687,1.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
29780,35530,2012_Pres-G_US,2012,US,Ipsos,2012-10-03,2012-11-06,34,1434.0,Online Panel,Barack Obama,DEM,46.0,50.90918536886269,-4.909185368862687,4.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
29781,35532,2012_Pres-G_US,2012,US,Ipsos,2012-10-03,2012-11-06,34,1728.0,Online Panel,Barack Obama,DEM,45.0,50.90918536886269,-5.909185368862687,5.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
29891,35683,2012_Pres-G_US,2012,US,YouGov,2012-10-07,2012-11-06,30,763.0,Online Panel,Barack Obama,DEM,49.0,50.90918536886269,-1.909185368862687,1.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
29875,35665,2012_Pres-G_US,2012,US,Ipsos,2012-10-08,2012-11-06,29,1027.0,Online Panel,Barack Obama,DEM,44.0,50.90918536886269,-6.909185368862687,6.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
30010,35882,2012_Pres-G_US,2012,US,Ipsos,2012-10-13,2012-11-06,24,1864.0,Online Panel,Barack Obama,DEM,47.0,50.90918536886269,-3.909185368862687,3.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
