"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR000102014";"2014-02-11 00:00:00";"#NE";"73988917000110";"OPINIÃO PESQUISA ANÁLISE E CONSULTORIA LTDA";"#NE";"Presidente";"2014-02-07 00:00:00";"2014-02-13 00:00:00";500;"9261-A";"HELOÍSA RODRIGUES BARBOSA";"10000,00";"Pesquisa quantitativa com aplicação de questionários estruturados através de entrevistas pessoais domiciliares junto a uma amostra aleatória, proporcional e representativa do eleitorado do Município de São Paulo - SP, com 16 anos ou mais, baseando-se na divisão dos setores censitários do município pelo Censo IBGE 2010, e na divisão do eleitorado local por sexo e idade definida pelo Tribunal Superior Eleitoral. A amostra será estratificada por sexo e faixa etária através de sistema de cotas pré-definidas.";"- Percentuais a serem utilizados para eventual ponderação quanto a sexo: Homens: 46%. Mulheres: 54%.  - Percentuais a serem utilizados para eventual ponderação quanto a faixa etária: 16 a 24 anos: 15%. 25 a 34 anos: 23%. 35 a 44 anos: 20%. 45 anos ou mais: 42%. Base utilizada: Justiça Eleitoral – estatística do eleitorado. - Fator previsto para a ponderação de grau de instrução: 1. Serão utilizadas as seguintes categorias: Analfabeto/ nunca estudou; Fundamental 1 incompleto/ completo; Fundamental 2 incompleto/ completo; Médio incompleto; Médio completo; Superior incompleto/ completo ou mais. - Fator previsto para a ponderação de nível econômico dos respondentes: 1. Será utilizado o critério de faixas de renda familiar mensal. - A margem de erro para o total da amostra é 4,4% (quatro ponto quatro	 pontos percentuais), para mais ou para menos, calculada considerando-se um coeficiente de confiança de 95% (noventa e cinco por cento).";"As equipes de campo têm em seus quadros supervisores que acompanham e checam a aplicação dos questionários in-loco como também a obediência às cotas pré-definidas; sua função é atestar a fidelidade das respostas obtidas pelos pesquisadores e garantir o rigor metodológico na aplicação dos formulários. Sistema Interno de Verificação: através da utilização de software específico, são aplicados testes para averiguar a consistência dos resultados obtidos. Após os testes de consistência, é verificada, por meio telefônico, no mínimo, 20% da amostra coletada.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR000542014";"2014-03-21 00:00:00";"#NE";"15484760000199";"GK DE OLIVEIRA PRODUÇÕES ME";"#NE";"Presidente";"2014-03-22 00:00:00";"2014-03-25 00:00:00";2000;"8631";"Alexandre Vasconcelos Lima";"15000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais e domiciliares, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. A amostra foi selecionado a partir da seleção de setores censitários do Distrito Federal. ";"As cotas quanto a sexo, idade, escolaridade e nível econômico foram determinadas com os dados disponibilizados pelo TRE/DF e IBGE. A pesquisa é auto-ponderada, ou seja as proporções do universo pesquisado estão previstas na amostra , não sendo necessário nenhum tipo de ponderação estatística. Seguem os critérios mínimos de diversidade exigidos na amostra: Sexo: Masculino 47,5% e Feminino: 52,5% Idade: 16 a 24 anos: 22,23%; 25 a 44 anos: 31,47%, 45 a 59 anos: 30,4% e 60 anos ou mais: 15,9% Grau de Instrução: Analfabeto/Elementar: 7,55%; Fundamental incompleto/completo: 34,89; Médio incompleto/completo: 29,28; Superior incompleto/completo: 23,2% e Outros: 5,08% Nível econômico em Salários Mínimos: Até 1: 8,5%, mais de 1 a 2: 25,2%, mais de 2 a 10: 45,9%; mais de 10: 20,4 Intervalo de confiança: 95% Margem de erro: 2,1% ";"Checagem de, pelo menos, 20% dos questionários aplicados através de Supervisores de campo. Cada grupo de 06 pesquisadores = 01 Supervisor de Checagem Identificação de nome e endereço do entrevistado nos questionários aplicados. Nos casos em que o entrevistado se disponha a fornecer o telefone, checagem aleatória de um mínimo de três questões respondidas, por cada grupo de 20 entrevistados. Processo de entrevista tipo “escada” onde somente serão abordados, no máximo, dois eleitores por face de quadra, necessariamente, residentes em lados opostos e com distância mínima de 10 casas. ";"Águas Claras; Asa Sul; Asa Norte;Brazlândia; Ceilândia Norte e Sul; Cruzeiro Novo e Velho; Fercal; Guará I e II; Gama; Itápoã;Jardim Botânico; Núcleo Bandeirante e Candangolandia; Lago Sul; Lago Norte; Planaltina (Vale do Amanhecer); Paranoá; Park Way; Recanto das Emas; Riacho Fundo I e II; Samambaia; Santa Maria; São Sebastião; Setor de Indústrias; Sobradinho I e II; Sudoeste/Octagonal; Taguatinga Norte e Sul; Varjão;Vicente Pires; Vila Planalto; Vila Militar "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR000532014";"2014-03-21 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Presidente";"2014-03-14 00:00:00";"2014-03-17 00:00:00";2002;"6208-A";"Márcia Cavallari Nunes";"214600,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.
";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico nos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 19% (feminino) 18%; 25-34 (masculino) 23% (feminino) 23%; 35-44 (masculino) 20% (feminino) 19%; 45-54 (masculino) 17% (feminino) 17%; 55 e+ (masculino) 21% (feminino) 23%; INSTRUÇÃO: Até Ensino Médio (masculino) 85% (feminino) 82%; Ensino Superior (masculino) 15% (feminino) 18%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 78% (feminino) 54%; Não Economicamente ativo (masculino) 22% (feminino) 46%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 2 (dois) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. 
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2012
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistadores aos parâmetros amostrais.";"A área de abrangência da coleta é nacional. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §5º da Resolução 23.400/2013 do TSE. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR000632014";"2014-03-31 00:00:00";"#NE";"03622028000159";"Gualberto, Orrico e Caliman Ltda";"#NE";"Presidente";"2014-03-27 00:00:00";"2014-03-28 00:00:00";400;"8140 série A 2ª Região";"Fabíola Miranda Von Rondow";"12000,00";"Pesquisa quantitativa não probabilística com determinações de cotas de sexo, idade e região de pesquisa junto a uma amostra representativa de eleitores de Vila Velha.

Área de coleta dos dados: Vila Velha - ES";"A estratificação da amostra é feita com base na proporção dos segmentos sexo e faixa etária. Os estratos terão os seguintes tamanhos: Sexo: 46%(masculino), 54%(feminino); Idade: 4%(16 a 19 anos), 23%(20 a 29 anos), 22%(30 a 39 anos), 19%(40 a 49 anos), 16%(50 a 59 anos), 15%(60 anos ou mais). O resultado geral poderá sofrer eventual ponderação caso as variáveis sexo e idade apresentem grandes diferenças da amostra pré-determinada. Para a variável grau de instrução será utilizada a seguinte proporção como referência: 82%(até ensino médio), 18%(ensino superior incompleto e completo). Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). A abordagem do entrevistado é feita em pontos de fluxo previamente definidos para o município. O intervalo de confiança é de 95%. A margem de erro máxima de 4,9 pp. Vale a pena observar que tais margens de erro e tais graus de confiabilidade não se aplicam às estimativas obtidas em perguntas cujas respostas dependam das respostas de outras perguntas (perguntas encadeadas) e nem às estimativas obtidas nos cruzamentos de questões. Nesses casos, a pesquisa apontará apenas tendências.  FONTE DOS DADOS: Censo 2010";"Após os trabalhos de campo, serão selecionados 20% dos questionários aplicados individualmente pelos entrevistadores, para a verificação das respostas e adequação dos entrevistados aos parâmetros amostrais.";"Área de abrangência da pesquisa"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR001022014";"2014-05-02 00:00:00";"#NE";"05850850000100";"Fortiori Pesquisa Diagnóstico e Marketing Ltda";"#NE";"Presidente";"2014-05-02 00:00:00";"2014-05-06 00:00:00";1000;"8631";"Alexandre Vasconcelos Lima";"20000,00";"A pesquisa da Fortiori é uma pesquisa quantitativa, através de realização de entrevistas pessoais, por abordagem randômica, com aplicação de questionários junto à amostra definida da população. 
";" Tamanho da amostra – 1000 entrevistas Sexo Homens = 47% Mulheres = 53% Idade 16 a 24 anos = 24% 25 a 34 anos = 26% 35 a 49 anos = 28% 50 e mais = 22% Escolaridade Primário = 11% 1º grau = 43% 2º grau = 37% Superior = 9% Nível Sócio Econômico A – 5% B – 10% C – 20% D – 30% E – 35% 
";" Intervalo de confiança e margem de erro Para um intervalo de confiança de 95%, a pesquisa apresenta margem de erro máxima de 3,1%. Sistema interno de controle e fiscalização Trabalho de coleta de dados será feito por 11 entrevistadores devidamente treinados e acompanhado in loco por 3 supervisores. Será feita uma checagem de 20% ainda no campo e de mais 10% através do telefone. ";"Goiânia - Centro; St. Oeste; St.Sul; Campinas; Balneário Meia Ponte;Centro Oeste; Vila Nova; Jardim América; St. Bueno; Pedro Ludovico; Parque das Laranjeiras; Redenção; Capuava; Canaã; Jd. Novo Mundo; Vila Pedroso; St; Morais; Vera Cruz; Novo Horizonte; Sudoeste; Guanabara; St. São Judas Tadeu; Finsocial; Nova Esperança; Jd. Curitiba; Jd. Primavera; Senador Canedo; Inhumas; Bela Vista; Hidrolândia; Guapó; Teresópolis; Trindade; Anápolis( Jundiaí; Vila Jaiara; Centro; Br. Lourdes; Jd. América); Aparecida de Goiânia( Vila Brasília; Garavelo; Centro; Buriti Sereno; Br. Independência); Itumbiara; Caldas Novas; Santa Crus de Goiás; Goiatuba; Morrinhos; Catalão; Pires do Rio; Ipameri; Urutaí; Rio Verde; Jataí; Quirinópolis; Santa Helena; Acreúna;Indiara; Palmeiras ;Santo Antônio da Barra; Cesarina; Aparecida do Rio Doce; Ceres; Jaraguá; São Francisco; Goianésia; Porangatu; Uruaçu; Niquelândia; Iporá; Goiás; São Luiz de Montes Belos; Itaberaí; Itapuranga; Sanclerlândia; Fazenda Nova; Luziânia; Formosa; Águas Lindas; Alexânia; Abadiânia; Valparaíso;Corumbá; Pirenópolis; Santo Antônio do Descoberto; Posse; Iaciara; Alvorada do Norte. 
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR001122014";"2014-05-08 00:00:00";"#NE";"10320257000184";"INSTITUTO PIAUIENSE DE OPINIÃO PÚBLICA LTDA.";"#NE";"Presidente";"2014-05-09 00:00:00";"2014-05-12 00:00:00";1137;"CONRE  - 7ª REGIÃO Nº 6695";"JOÃO BATISTA MENDES TELES";"33800,00";"Metodologia empregada: Amostragem não aleatória por cotas de sexo, faixa etária, grau de instrução, renda familiar, microrregião e municípios. Entrevistas domiciliares e individuais. A proporção do número de entrevistas distribuídas no total da amostra entre as zonas urbana e rural é de respectivamente 2:1 (dois para um).";"Amostragem por cotas. O conjunto do eleitorado dos municípios é distribuído proporcionalmente por sexo, faixa etária, grau de instrução, classe de renda domiciliar. As variáveis: sexo, faixa etária e grau de instrução são ponderadas de acordo com as Estatísticas do Eleitorado do Piauí, TRE, Maio de 2014 referente aos municípios pesquisados. A variável renda familiar é ponderada de acordo com as estatística do Censo Demográfico IBGE  2010. O intervalo de confiança é de 95% com margem de erro de 2,85% para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada considerando variância máxima p=0,50. 

Cotas de sexo: Masculino (543), Feminino (594), 

Cotas de faixa etária:   16 a 17 anos (31), 18 a 24 anos (191), 25 a 34 anos (287), 35 a 44 anos (213), 45 a 59 anos (240), 60 e + anos (175), 

Cotas de grau de instrução: Analfabeto (99), lê e escreve (215), Ensino fundamental incompleto/completo (346), Ensino médio incompleto/completo (314), superior incompleto (71), superior completo (92), 

Cotas de renda familiar:    Até R$ 724,00 (348),    de R$ 724,01 à R$ 1.448,00 (334),    de R$ 1.448,01 à R$ 3.620,00 (315), de R$ 3.620,01 à R$ 7.240,00 (91), mais de R$ 7.240,00 (49).";"Supervisão interna em 100% dos questionários aplicados e crítica dos dados digitados feita pelo computador.  Checagem direta com retorno e/ou acompanhamento e/ou por telefone feita pelos supervisores de campo em no mínimo 20% dos questionários aplicados, de acordo com a exigência da ABEP – Associação Brasileira de Empresas de Pesquisa.";"Municípios pesquisados por microrregião:

Baixo Parnaíba Piauiense (Piripiri, Miguel Alves, Esperantina, Barras); 

Litoral Piauiense (Parnaíba, Cocal, São João da Fronteira); 

Teresina (Teresina, Demerval Lobão, José de Freitas); 

Campo Maior (São Miguel do Tapuio, Campo Maior, Assunção do Piauí, Pedro II); 

Médio Parnaíba Piauiense (Amarante, Arraial, Água Branca); 

Valença do Piauí (Aroazes, Inhuma, Valença do Piauí);

Alto Parnaíba Piauiense (Uruçuí); 

Bertolínia (Marcos Parente, Colônia do Gurguéia); 

Floriano (Pavussu, Floriano); 

Alto Médio Gurguéia (Santa Luz, Bom Jesus); 

São Raimundo Nonato (São Raimundo Nonato, Dom Inocêncio, Canto do Buriti, Guaribas); 

Chapadas do Extremo Sul Piauiense (Parnaguá, Corrente); 

Picos (Geminiano, Ipiranga do Piauí, Oeiras, Picos); 

Pio IX (Pio IX); 

Alto Médio Canindé (São João do Piauí, Paulistana, Nova Santa Rita, Jacobina do Piauí, Patos do Piauí, Jaicós, Caldeirão Grande do Piauí)."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR001472014";"2014-05-31 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Presidente";"2014-05-28 00:00:00";"2014-05-31 00:00:00";406;"6208-A";"Márcia Cavallari Nunes";"29500,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais e presenciais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativo do eleitorado da área em estudo, elaborada em dois estágios. No primeiro estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 19% (feminino) 17%; 25-34 (masculino) 24% (feminino) 23%; 35-44 (masculino) 21% (feminino) 20%; 45-54 (masculino) 17% (feminino) 18%; 55 e+ (masculino) 20% (feminino) 22%; INSTRUÇÃO: Até Ensino Médio (masculino) 79% (feminino) 74%; Ensino Superior (masculino) 21% (feminino) 26%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 84% (feminino) 64%; Não Economicamente ativo (masculino) 16% (feminino) 36%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 5 (cinco) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2012";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistadores aos parâmetros amostrais.";"A área de abrangência da coleta é município de Uberlândia no Estado de Minas Gerais. A relação dos bairros selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §5º da Resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR001602014";"2014-06-09 00:00:00";"#NE";"04843093000177";"CONSULTORIA E PESQUISA TECNICA LTDA";"#NE";"Presidente";"2014-06-10 00:00:00";"2014-06-12 00:00:00";1700;"Nº 7861 - 6ª região ";"Paulo de Tarso Teixeira Ferreira";"30000,00";"A Metodologia empregada  para  a  pesquisa segue a Técnica de  Observação  Direta, referente ao Método Quantitativo através da realização de survey de opinião, utilizando-se  como  instrumento  de  investigação   Formulário   Semiestruturado, para entrevistas individualizadas, domiciliares  e/ou locais preestabelecidos.";"Quanto ao Plano Amostral, foi utilizada uma Amostra Probabilística, Casual Simples de 1700 entrevistas, com a finalidade de cobertura geográfica no estado do Rio Grande do Norte-RN, abrangendo dez áreas geográficas, representadas por 58 municípios, em áreas urbanas e rurais, com partilha proporcional (Método estatístico PPT = Partilha Proporcional ao Tamanho) sobre o potencial eleitoral de cada uma das regiões. 
    A estratificação da amostra ocorre com relação as variáveis sexo, informado pelo TSE, sendo 47% do eleitorado do sexo masculino, e 53% do sexo feminino, e sobre as idades, sendo 18% dos eleitores até 24 anos, 24% de 25 a 34 anos, 20% de 35 a 44 anos,  22% de 45 a 59 anos, e 16% com mais de 59 anos. 
   Com relação  ao  nível econômico  do entrevistado e grau de escolaridade, por faixa de idades, foram estimados por dados do IBGE   (Proporção  ou  ponderação,  não existente no TRE nem  IBGE sobre as faixas de eleitores a partir de 16 anos), sendo atingidos e identificados pela cobertura geográfica ampla da amostra, e pela Técnica de coleta  de  dados   que  é  de  Sorteios  Múltiplos   Aleatórios, em quatro  estágios (bairro/conglomerado, rua,  domicílio/local  pré-estabelecido,  ponto amostral), sobre  as regiões  e municípios definidos para a amostra. 
O Erro Amostral máximo a ser atingido é de 2.3%, levando-se em consideração o tamanho da amostra, no uso do cálculo amostral pela proporção [estimador = p e (1-p)], usando variância máxima. O que significa que sobre as variáveis dos quesitos de interesse, esse erro deverá ser no máximo 2.3%,  que ocorre, significa dizer que o percentual observado para a pergunta que representa o objetivo principal da pesquisa, no caso a preferência para Governador da Paraíba na próxima eleição, pode variar para mais ou para menos em 2.3%, ou seja, um INTERVALO DE CONFIANÇA com esse percentual, tendo essa afirmação uma CONFIABILIDADE DE 95%.  
";"O sistema de controle interno ocorre a partir do início da etapa de campo, onde os entrevistadores, exclusivos da própria Consult-Pesquisa, são fiscalizados permanentemente por coordenadores de campo, e são realizadas abordagens pós-entrevistas, e visitas ou abordagem retorno sobre 15% da amostra.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR001662014";"2014-06-12 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Presidente";"2014-06-07 00:00:00";"2014-06-11 00:00:00";1204;"6208-A";"Márcia Cavallari Nunes";"93900,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais e presenciais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 17% (feminino) 14%; 25-34 (masculino) 22% (feminino) 21%; 35-44 (masculino) 19% (feminino) 19%; 45-54 (masculino) 17% (feminino) 18%; 55 e+ (masculino) 25% (feminino) 28%; INSTRUÇÃO: Até Ensino Médio (masculino) 80% (feminino) 79%; Ensino Superior (masculino) 20% (feminino) 21%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 74% (feminino) 49%; Não Economicamente ativo (masculino) 26% (feminino) 51%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2012 | Entre outras.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistadores aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Rio de Janeiro. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §5º da Resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"BR";"BR";"BRASIL";"BR001882014";"2014-06-23 00:00:00";"#NE";"19090489000168";"MDA PESQUISA DE OPINIÃO PÚBLICA E CONSULTORIA ESTATÍSTICA LTDA";"#NE";"Presidente";"2014-06-22 00:00:00";"2014-06-26 00:00:00";2002;"Série A No. 8109";"Marcelo Costa Souza";"75000,00";"Será adotada a metodologia quantitativa do tipo “survey”, com entrevistas pessoais, do tipo face-a-face por meio da utilização de questionário estruturado, sendo o universo representado pelos eleitores de Minas Gerais.";"O Universo desta pesquisa compreende os eleitores de Minas Gerais com idade a partir de 16 anos, residentes em 10 regiões de planejamento, a saber: Alto Paranaíba, Central, Centro Oeste, Jequitinhonha/Mucuri, Noroeste, Norte, Rio Doce, Sul de Minas, Triângulo e Zona da Mata.
O plano amostral foi delineado a partir de informações disponibilizadas pelo TSE(2014) e IBGE(2013). Inicialmente as entrevistas foram distribuídas de forma proporcional ao eleitorado por região de planejamento. Em seguida, os municípios participantes da amostra foram definidos por meio do método Probabilidade Proporcional ao Tamanho (PPT), sendo que a capital do Estado e as cidades com mais de 500.000 habitantes entraram com probablidade de seleção igual a 1. Ainda neste procedimento, leva-se em conta o controle por porte do município (até 20.000 habitantes, 20.000 a 50.000, 50.000 a 100.000, de 100.000 a 1.000.000 e acima de 1.000.000) de forma proporcional ao eleitorado. Por fim, já no município, é realizada a seleção aleatória de setores censitários ou bairros onde serão alocadas as entrevistas de forma proporcional ao universo em função do gênero e faixa etária do eleitorado.
Para o conjunto da amostra, os tamanhos são: 7,9% de homens com 16 a 24 anos, 11,5% para homens com 25 a 34 anos, 9,8% para homens com 35 a 44 anos, 12,1% para homens com 45 a 59 anos e 7,2% para homens com 60 anos ou mais. 8,0% para mulheres com 16 a 24 anos, 11,8% para mulheres com 25 a 34 anos, 10,3% para mulheres com 35 a 44 anos, 13,0% para mulheres com 45 a 59 anos e 8,4% para mulheres com 60 anos ou mais. As informações sobre nível econômico e escolaridade serão levantadas na própria pesquisa, tendo como controles a dispersão das entrevistas, seleção aleatória de setores censitários e/ou bairros, representatividade por porte do município, unidade da federação e região geográfica. A ponderação prevista para estas variáveis é igual a 1.
Está prevista a realização de 2.002 entrevistas, o que fornece um erro amostral para o resultado total de no máximo 2,2 pontos percentuais considerando grau de confiança de 95%. Os intervalos de confiança serão calculados com base nos percentuais obtidos e com grau de confiança de 95%.
A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal após a publicação dos resultados.
";"Os pesquisadores foram treinados especificamente para este projeto, com simulação de entrevistas e discussão de todas as questões. O trabalho de campo é fiscalizado por Coordenadores de Equipe, especialmente treinados para esta tarefa.
As entrevistas são realizadas, em sua maioria, utilizando tablets e questionário eletrônico. Do total dos questionários preenchidos, parte será sorteada de forma aleatória para conferência, via telefone, através de novo contato com o entrevistado, garantindo um mínimo de vinte por cento de checagem. Nesse contato são verificadas respostas fornecidas pelo entrevistado assim como adequação aos parâmetros amostrais previamente definidos. Todos os procedimentos acima são realizados por profissionais especializados e com vasta experiência na condução e controle de pesquisas de opinião.
Todos os pesquisadores elaboram um relatório de campo reportando as características das pesquisas e a percepção dos entrevistados em relação às questões realizadas.
";"A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal após a publicação dos resultados."
