"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000162014";"2014-08-11 00:00:00";"#NE";"03622028000159";"Gualberto, Orrico e Caliman Ltda";"#NE";"Governador, Senador, Deputado Estadual";"2014-08-09 00:00:00";"2014-08-11 00:00:00";800;"8140, série A, 2a região";"Fabíola Miranda Von Rondow";"44000,00";"Pesquisa quantitativa não probabilística com determinações de cotas de sexo, idade e região de pesquisa junto a uma representativa de eleitores do Espírito Santo.";"A estratificação da amostra é feita com base na proporção dos segmentos sexo e faixa etária. Os estratos terão os seguintes tamanhos: Sexo: 48%(masculino), 52%(feminino); Idade: 5%(16 a 19 anos), 23%(20 a 29 anos), 23%(30 a 39 anos), 18%(40 a 49 anos), 15%(50 a 59 anos), 16%(60 anos ou mais). O resultado geral poderá sofrer eventual ponderação caso as variáveis sexo e idade apresentem grandes diferenças da amostra pré-determinada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). A abordagem do entrevistado é feita em pontos de fluxo previamente definidos para o município. O intervalo de confiança é de 95%. A margem de erro máxima de 3,5 pp. Vale a pena observar que tais margens de erro e tais graus de confiabilidade não se aplicam às estimativas obtidas em perguntas cujas respostas dependam das respostas de outras perguntas (perguntas encadeadas) e nem às estimativas obtidas nos cruzamentos de questões. Nesses casos, a pesquisa apontará apenas tendências.  FONTE DOS DADOS: Censo 2010 | TSE 2014. ";"Após os trabalhos de campo, serão selecionados 20% dos questionários aplicados individualmente pelos entrevistadores, para a verificação das respostas e adequação dos entrevistados aos parâmetros amostrais.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000172014";"2014-08-25 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-08-26 00:00:00";"2014-08-30 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"62524,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico nos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 18% (feminino) 17%; 25-34 (masculino) 26% (feminino) 26%; 35-44 (masculino) 21% (feminino) 20%; 45-54 (masculino) 17% (feminino) 18%; 55 e+ (masculino) 18% (feminino) 19%; INSTRUÇÃO: Até Ensino Médio (masculino) 84% (feminino) 81%; Ensino Superior (masculino) 16% (feminino) 19%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 81% (feminino) 61%; Não Economicamente ativo (masculino) 19% (feminino) 39%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Espírito Santo. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000192014";"2014-08-26 00:00:00";"#NE";"08438497000136";"BR MARKETING E PESQUISAS LTDA";"#NE";"Governador, Senador";"2014-08-26 00:00:00";"2014-08-29 00:00:00";1200;"8451, 2ª Região";"LÚCIA HELENA SAGRILLO PIMASSONI";"31000,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto do eleitorado do Estado do Espírito Santo com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do Estado do Espirito Santo, com 16 anos ou mais. Técnica de amostragem: A amostra é estratificada por porte dos municípios e natureza dos municípios (região urbana ou rural). Em cada estrato, num primeiro estágio, são sorteados os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas. Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Serão consideradas as características de sexo e faixa etária, de acordo com as proporções encontradas na população do Espírito Santo, conforme dados fornecidos pelo TSE (eleitorado junho de 2014) e CENSO/2010. Os estratos considerados são: Sexo: 48% (masculino), 52% (feminino); Idade: 1% (16-17 anos), 14% (18 a 24 anos), 24% (25 a 34 anos), 20% (35 a 44 anos), 25% (45 a 59 anos), 16% (60 anos ou mais). Ponderação dos resultados: No processamento dos dados é realizada ponderação referente à proporção de cada cidade na amostra para correta representação. Está prevista a eventual ponderação para correção nos tamanhos dos segmentos da tabela acima considerando as variáveis sexo e faixa etária. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). A margem de erro máxima prevista é de 2,8 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%.";"Os pesquisadores contratados para realizar o campo da pesquisa são adultos jovens, em sua maioria com formação em nível superior, graduados ou graduandos devidamente recrutados e treinados, que recebem para cada região de coleta um plano amostral individual para aplicação do sorteio aleatório dos entrevistados segundo cotas, previamente estabelecidas, de sexo, idade e região de coleta. Os dados são coletados eletronicamente em equipamentos pocket pc. O trabalho de campo é supervisionado por profissionais de nível superior, devidamente treinados para esta função, que são responsáveis por verificar, controlar e fiscalizar a correta aplicação da técnica e amostra a cada intervalo determinado.";"Abrange 18 municípios no Estado do Espírito Santo, distribuídos em nove regiões administrativas."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000312014";"2014-09-28 00:00:00";"#NE";"28500023000184";"ENQUET PESQUISAS DE OPINIÃO PÚBLICA LTDA.";"#NE";"Governador, Senador";"2014-09-30 00:00:00";"2014-10-02 00:00:00";1602;"8367 SÉRIE. A, 2ª REG. (RJ/ES)";"FLÁVIA FERRAZ PÊGO";"43000,00";"PESQUISA QUANTITATIVA NÃO PROBABILÍSTICA COM DETERMINAÇÕES DE COTAS DE SEXO, IDADE, INSTRUÇÃO, NÍVEL SOCIO ECONÔMICO E REGIÃO DE PESQUISA JUNTO A UMA AMOSTRA REPRESENTATIVA DE ELEITORES DO ESPÍRITO SANTO.";"A ESTRATIFICAÇÃO DA AMOSTRA É FEITA COM BASE NA PROPORÇÃO DOS SEGMENTOS SEXO,  IDADE, INSTRUÇÃO, NÍVEL SOCIO ECONÔMICO E REGIÃO. OS ESTRATOS TERÃO OS SEGUINTES TAMANHOS: SEXO: 48% MASCULINO, 52% FEMININO; IDADE: 1,1% (16 A 17 ANOS), 14,4% (18 A 24 ANOS), 23,9% (25 A 34 ANOS), 20,2% (35 A 44 ANOS), 24,6% (45 A 59 ANOS) E 15,8% (DE 60 ANOS OU MAIS); O RESULTADO GERAL PODERÁ SOFRER EVENTUAL PONDERAÇÃO CASO AS VARIÁVEIS SEXO E IDADE APRESENTEM GRANDES DIFERENÇAS DA AMOSTRA PRÉ-DETERMINADA; GRAU DE INSTRUÇÃO: 49,7% (SEM INSTRUÇÃO E FUNDAMENTAL INCOMPLETO), 17,3% (FUNDAMENTAL COMPLETO E MÉDIO INCOMPLETO), 24,6% (MÉDIO COMPLETO E SUPERIOR INCOMPLETO), 8,4% (SUPERIOR COMPLETO); NÍVEL SÓCIO ECONÔMICO: 74,7% (SEM RENDIMENTO A 05 SM), 15,6% (MAIS DE 5 SM A 10 SM), 6,6% (MAIS DE 10 SM A 20 SM) E 3,1% (MAIS DE 20 SM). PARA AS COTAS DE INSTRUÇÃO E NÍVEL SÓCIO ECONÔMICO O FATOR DE PONDERAÇÃO É 1 (RESULTADOS OBTIDOS NO CAMPO). A ABORDAGEM DO ENTREVISTADO SERÁ DOMICILIAR E/OU EM PONTOS DE AFLUÊNCIA DO DOMICÍLIO, ATRAVÉS DE QUESTIONÁRIO ESTRUTURADO. SERÃO REALIZADAS 1.602 ENTREVISTAS, O QUE PERMITE UMA MARGEM DE ERRO DE 2,4% PARA MAIS OU PARA MENOS EM UM INTERVALO DE CONFIANÇA DE 95%. A PESQUISA ABRANGERÁ DEZ REGIÕES DO ESTADO DO ESPÍRITO SANTO E A DISTRIBUIÇÃO AMOSTRAL SERÁ PROPORCIONAL AO NÚMERO DE ELEITORES DE CADA REGIÃO. FONTE DE DADOS: CENSO 2010 / TSE 2014. NO CASO DE PERGUNTAS ENCADEADAS E ESTIMATIVAS OBTIDAS NO CRUZAMENTO DAS PERGUNTAS, A MARGEM DE ERRO INFORMADA SOFRERÁ ALTERAÇÕES EM FUNÇÃO DO NÚMERO DE RESPONDENTES, APONTANDO APENAS TENDÊNCIAS.";"PARA A REALIZAÇÃO DA PESQUISA, UTILIZA-SE UMA EQUIPE DE ENTREVISTADORES E SUPERVISORES DEVIDAMENTE TREINADOS PARA O TRABALHO. AINDA EM CAMPO HÁ FISCALIZAÇÃO DOS QUESTIONÁRIOS E DO TRABALHO DOS ENTREVISTADORES. APÓS O TRABALHO DE CAMPO, SÃO SELECIONADOS 20% (VINTE POR CENTO) DOS QUESTIONÁRIOS APLICADOS INDIVIDUALMENTE PELOS ENTREVISTADORES, PARA A VERIFICAÇÃO DAS RESPOSTAS E DA ADEQUAÇÃO DOS ENTREVISTADOS AOS PARÂMETROS AMOSTRAIS. ";"A ÁREA DE ABRANGÊNCIA DA COLETA É NO ESTADO DO ESPÍRITO SANTO. A RELAÇÃO DOS MUNICÍPIOS / BAIRROS SELECIONADOS PARA APLICAÇÃO DA AMOSTRA SERÁ APRESENTADA ATÉ O SÉTIMO DIA SEGUINTE AO REGISTRO DA PESQUISA, CONFORME EXPRESSO NO ARTIGO 2º, § 5º DA RESOLUÇÃO 23.400/2013 DO TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000142014";"2014-07-22 00:00:00";"#NE";"00565157000164";"FLEXCONSULT LTDA.";"#NE";"Governador, Senador";"2014-07-24 00:00:00";"2014-07-30 00:00:00";1000;"8451, 2ª Região ";"Lúcia Helena S. Pamassoni ";"25000,00";"A pesquisa é um levantamento estatístico de tipo survey com metodologia quantitativa com entrevistas domiciliares e/ou em pontos de afluência do domicílio, através de questionário estruturado junto a uma amostra representativa do eleitorado do Espírito Santo. ";"O desenho amostral segue os critérios de uma amostragem aleatória estratificada com controle de cotas. Serão consideradas as características de sexo, faixa etária, grau de instrução e nível econômico, de acordo com as proporções encontradas na população do Espírito Santo, conforme dados fornecidos pelo TSE/2014 e CENSO/2010. Os estratos considerados são: Sexo: 48% (masculino), 52% (feminino); Idade: 15% (16 a 24 anos), 24% (25 a 34 anos), 20% (35 a 44 anos), 25% (45 a 59 anos), 16% (60 anos ou mais); Grau de instrução: 49% (sem instrução e fundamental incompleto), 17% (fundamental completo e médio incompleto), 26% (médio completo e superior incompleto), 8% (superior completo); Nível econômico: 94,5% (de sem rendimento a 05 salários mínimos), 3,9% (mais de 05 a 10 salários mínimos), 1,3% (mais de 10 a 20 salários mínimos), 0,4% (mais de 20 salários mínimos). Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). Serão entrevistados um total de 1.000 (um mil) pessoas no Estado, permitindo esse tamanho amostral uma Margem de Erro em torno de 3,1%, para mais ou para menos, e um Nível de Confiança de 95%. ";"Os questionários são numerados e após a entrevista identificados com endereço, nome e telefone do respondente para efeito de controle e fiscalização da realização das entrevistas, sendo garantido ao entrevistado o anonimato e sigilo de suas informações pessoais, de acordo com o Código de Ética da ABEP. O sistema inclui ainda a reentrevista de 10% do desenho amostral, garantindo o controle do trabalho de campo, o acompanhamento das informações, da codificação, digitação e extração dos dados tabulados. ";"Arquivo em anexo."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000042014";"2014-04-22 00:00:00";"#NE";"03622028000159";"Gualberto, Orrico e Caliman Ltda";"#NE";"Governador, Senador";"2014-04-14 00:00:00";"2014-04-15 00:00:00";401;"8140, série A, 2a região";"Fabíola Miranda Von Rondow";"12000,00";"Pesquisa quantitativa com determinações de cotas de sexo, idade e região de pesquisa junto a uma amostra representativa de eleitores de Vitória.

*Área de abrangência: Vitória - ES
";"A estratificação da amostra é feita com base na proporção dos segmentos sexo e faixa etária. Os estratos terão os seguintes tamanhos: Sexo: 46%(masculino), 54%(feminino); Idade: 4%(16 a 19 anos), 22%(20 a 29 anos), 22%(30 a 39 anos), 18%(40 a 49 anos), 17%(50 a 59 anos), 17%(60 anos ou mais). O resultado geral poderá sofrer eventual ponderação caso as variáveis sexo e idade apresentem grandes diferenças da amostra pré-determinada. Para a variável grau de instrução será utilizada a seguinte proporção como referência: 36,4%(até ensino médio incompleto), 63,6%(ensino médio completo a superior completo) e para variável nível econômico a referência será a seguinte: 32,7% (D/E), 34,5%(C), 32,8% (AB). Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). A abordagem do entrevistado é feita em pontos de fluxo previamente definidos para o município. O intervalo de confiança é de 95%. A margem de erro máxima de 4,9 pp. Vale a pena observar que tais margens de erro e tais graus de confiabilidade não se aplicam às estimativas obtidas em perguntas cujas respostas dependam das respostas de outras perguntas (perguntas encadeadas) e nem às estimativas obtidas nos cruzamentos de questões. Nesses casos, a pesquisa apontará apenas tendências.  FONTE DOS DADOS: Censo 2010 | TSE 2012. ";"Após os trabalhos de campo, serão selecionados 20% dos questionários aplicados individualmente pelos entrevistadores, para a verificação das respostas e adequação dos entrevistados aos parâmetros amostrais";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000052014";"2014-04-29 00:00:00";"#NE";"03622028000159";"Gualberto, Orrico e Caliman Ltda";"#NE";"Governador, Senador";"2014-04-22 00:00:00";"2014-04-28 00:00:00";1400;"8140, série A, 2a região";"Fabíola Miranda Von Rondow";"32000,00";"Pesquisa quantitativa não probabilística com determinações de cotas de sexo, idade e região de pesquisa junto a uma representativa de eleitores do Espírito Santo.";"A estratificação da amostra é feita com base na proporção dos segmentos sexo e faixa etária. Os estratos terão os seguintes tamanhos: Sexo: 48%(masculino), 52%(feminino); Idade: 5%(16 a 19 anos), 24%(20 a 29 anos), 22%(30 a 39 anos), 19%(40 a 49 anos), 15%(50 a 59 anos), 15%(60 anos ou mais). O resultado geral poderá sofrer eventual ponderação caso as variáveis sexo e idade apresentem grandes diferenças da amostra pré-determinada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). A abordagem do entrevistado é feita em pontos de fluxo previamente definidos para o município. O intervalo de confiança é de 95%. A margem de erro máxima de 2,6 pp. Vale a pena observar que tais margens de erro e tais graus de confiabilidade não se aplicam às estimativas obtidas em perguntas cujas respostas dependam das respostas de outras perguntas (perguntas encadeadas) e nem às estimativas obtidas nos cruzamentos de questões. Nesses casos, a pesquisa apontará apenas tendências.  FONTE DOS DADOS: Censo 2010 | TSE 2012. ";"Após os trabalhos de campo, serão selecionados 20% dos questionários aplicados individualmente pelos entrevistadores, para a verificação das respostas e adequação dos entrevistados aos parâmetros amostrais.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000182014";"2014-08-25 00:00:00";"#NE";"28500023000184";"ENQUET PESQUISAS DE OPINIÃO PÚBLICA LTDA.";"#NE";"Governador, Senador";"2014-08-25 00:00:00";"2014-08-28 00:00:00";1400;"8367 SÉRIE. A, 2ª REG. (RJ/ES)";"FLÁVIA FERRAZ PÊGO";"40000,00";"PESQUISA QUANTITATIVA NÃO PROBABILÍSTICA COM DETERMINAÇÕES DE COTAS DE SEXO, IDADE, INSTRUÇÃO, NÍVEL SOCIO ECONÔMICO E REGIÃO DE PESQUISA JUNTO A UMA AMOSTRA REPRESENTATIVA DE ELEITORES DO ESPÍRITO SANTO. ";"A ESTRATIFICAÇÃO DA AMOSTRA É FEITA COM BASE NA PROPORÇÃO DOS SEGMENTOS SEXO,  IDADE, INSTRUÇÃO, NÍVEL SOCIO ECONÔMICO E REGIÃO. OS ESTRATOS TERÃO OS SEGUINTES TAMANHOS: SEXO: 48% MASCULINO, 52% FEMININO; IDADE: 1,1% (16 A 17 ANOS), 14,4% (18 A 24 ANOS), 23,9% (25 A 34 ANOS), 20,2% (35 A 44 ANOS), 24,6% (45 A 59 ANOS) E 15,8% (DE 60 ANOS OU MAIS); O RESULTADO GERAL PODERÁ SOFRER EVENTUAL PONDERAÇÃO CASO AS VARIÁVEIS SEXO E IDADE APRESENTEM GRANDES DIFERENÇAS DA AMOSTRA PRÉ-DETERMINADA; GRAU DE INSTRUÇÃO: 49,7% (SEM INSTRUÇÃO E FUNDAMENTAL INCOMPLETO), 17,3% (FUNDAMENTAL COMPLETO E MÉDIO INCOMPLETO), 24,6% (MÉDIO COMPLETO E SUPERIOR INCOMPLETO), 8,4% (SUPERIOR COMPLETO); NÍVEL SÓCIO ECONÔMICO: 74,7% (SEM RENDIMENTO A 05 SM), 15,6% (MAIS DE 5 SM A 10 SM), 6,6% (MAIS DE 10 SM A 20 SM) E 3,1% (MAIS DE 20 SM). PARA AS COTAS DE INSTRUÇÃO E NÍVEL SÓCIO ECONÔMICO O FATOR DE PONDERAÇÃO É 1 (RESULTADOS OBTIDOS NO CAMPO). A ABORDAGEM DO ENTREVISTADO SERÁ DOMICILIAR E/OU EM PONTOS DE AFLUÊNCIA DO DOMICÍLIO, ATRAVÉS DE QUESTIONÁRIO ESTRUTURADO. SERÃO REALIZADAS 1.400 ENTREVISTAS, O QUE PERMITE UMA MARGEM DE ERRO DE 2,6% PARA MAIS OU PARA MENOS EM UM INTERVALO DE CONFIANÇA DE 95%. A PESQUISA ABRANGERÁ SETE REGIÕES DO ESTADO DO ESPÍRITO SANTO E A DISTRIBUIÇÃO AMOSTRAL SERÁ PROPORCIONAL AO NÚMERO DE ELEITORES DE CADA REGIÃO. FONTE DE DADOS: CENSO 2010 / TSE 2014. NO CASO DE PERGUNTAS ENCADEADAS E ESTIMATIVAS OBTIDAS NO CRUZAMENTO DAS PERGUNTAS, A MARGEM DE ERRO INFORMADA SOFRERÁ ALTERAÇÕES EM FUNÇÃO DO NÚMERO DE RESPONDENTES, APONTANDO APENAS TENDÊNCIAS.";"PARA A REALIZAÇÃO DA PESQUISA, UTILIZA-SE UMA EQUIPE DE ENTREVISTADORES E SUPERVISORES DEVIDAMENTE TREINADOS PARA O TRABALHO. AINDA EM CAMPO HÁ FISCALIZAÇÃO DOS QUESTIONÁRIOS E DO TRABALHO DOS ENTREVISTADORES. APÓS O TRABALHO DE CAMPO, SÃO SELECIONADOS 20% (VINTE POR CENTO) DOS QUESTIONÁRIOS APLICADOS INDIVIDUALMENTE PELOS ENTREVISTADORES, PARA A VERIFICAÇÃO DAS RESPOSTAS E DA ADEQUAÇÃO DOS ENTREVISTADOS AOS PARÂMETROS AMOSTRAIS. ";"A ÁREA DE ABRANGÊNCIA DA COLETA É NO ESTADO DO ESPÍRITO SANTO. A RELAÇÃO DOS MUNICÍPIOS / BAIRROS SELECIONADOS PARA APLICAÇÃO DA AMOSTRA SERÁ APRESENTADA ATÉ O SÉTIMO DIA SEGUINTE AO REGISTRO DA PESQUISA, CONFORME EXPRESSO NO ARTIGO 2º, § 5º DA RESOLUÇÃO 23.400/2013 DO TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000242014";"2014-09-18 00:00:00";"#NE";"00565157000164";"FLEXCONSULT LTDA.";"#NE";"Deputado Federal, Deputado Estadual";"2014-09-02 00:00:00";"2014-09-12 00:00:00";1000;"8451, 2ª Região ";"Lúcia Helena S. Pamassoni ";"8500,00";"A pesquisa é um levantamento estatístico de tipo survey com metodologia quantitativa com entrevistas domiciliares e/ou em pontos de afluência do domicílio, através de questionário estruturado junto a uma amostra representativa do eleitorado do Espírito Santo. ";": O desenho amostral segue os critérios de uma amostragem aleatória estratificada com controle de cotas. Serão consideradas as características de sexo, faixa etária, grau de instrução e nível econômico, de acordo com as proporções encontradas na população do Espírito Santo, conforme dados fornecidos pelo TSE/2014 e CENSO/2010. Os estratos considerados são: Sexo: 48% (masculino), 52% (feminino); Idade: 15% (16 a 24 anos), 24% (25 a 34 anos), 20% (35 a 44 anos), 25% (45 a 59 anos), 16% (60 anos ou mais); Grau de instrução: 49% (sem instrução e fundamental incompleto), 17% (fundamental completo e médio incompleto), 26% (médio completo e superior incompleto), 8% (superior completo); Nível econômico: 94,5% (de sem rendimento a 05 salários mínimos), 3,9% (mais de 05 a 10 salários mínimos), 1,3% (mais de 10 a 20 salários mínimos), 0,4% (mais de 20 salários mínimos). Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). Serão entrevistados um total de 1.000 (um mil) pessoas no Estado, permitindo esse tamanho amostral uma Margem de Erro em torno de 3,1%, para mais ou para menos, e um Nível de Confiança de 95%.";"Os questionários são numerados e após a entrevista identificados com endereço, nome e telefone do respondente para efeito de controle e fiscalização da realização das entrevistas, sendo garantido ao entrevistado o anonimato e sigilo de suas informações pessoais, de acordo com o Código de Ética da ABEP. O sistema inclui ainda a reentrevista de 10% do desenho amostral, garantindo o controle do trabalho de campo, o acompanhamento das informações, da codificação, digitação e extração dos dados tabulados. ";"Arquivo em anexo. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"ES";"ES";"ESPÍRITO SANTO";"ES000092014";"2014-06-10 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-06-08 00:00:00";"2014-06-11 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"57000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais e presenciais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 19% (feminino) 17%; 25-34 (masculino) 25% (feminino) 25%; 35-44 (masculino) 21% (feminino) 20%; 45-54 (masculino) 16% (feminino) 17%; 55 e+ (masculino) 19% (feminino) 21%; INSTRUÇÃO: Até Ensino Médio (masculino) 84% (feminino) 81%; Ensino Superior (masculino) 16% (feminino) 19%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 80% (feminino) 60%; Não Economicamente ativo (masculino) 20% (feminino) 40%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2012 | Entre outras.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistadores aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Espirito Santo. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §5º da Resolução 23.400/2013 do TSE."
