"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000192014";"2014-06-10 00:00:00";"#NE";"03011668000122";"MARK INSTITUTO DE PESQUISA E OPINÃO LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-06-11 00:00:00";"2014-06-14 00:00:00";1095;" 7877-A 1° REG";"FRANCISCA DE FATIMA LUCENA";"30000,00";"Método Usado	Survey";" Plano Amostral (Pretendido): Método Usado	Survey Número de questionários aplicados	1.095 Zona urbana	100% Zona rural	0% Masculino 50,9% Feminino	49,1% ESCOLARIDADE	 Analfabeto/ Primário Incompleto	6,2% Primário completo/1° grau incompleto	22,6% 1° grau completo/2° grau incompleto	30,0% 2° grau completo/superior incompleto	36,4% Superior completo	4,8% RENDA	 Ate 01 salário mínimo	3,0% de 1 á 5 salários mínimos	72,1% de 5 á 10 salários mínimos	22,1% de 10 á 20 salários mínimos	2,0% 20 salários mínimos ou +	0,7% IDADE	 16-17 anos	2,4% 18-24 anos	19,7% 25-34 anos	24,7% 35-44 anos	24,7% 45-59 anos	19,9% 60 anos ou mais	8,7% A margem de erro é de 3 pontos percentuais para mais ou para menos, o intervalo de confiança é de 95%. ";"A coordenação de campo realizará a checagem de 5% dos questionários “in loco”. ";"PESQUISA A SER REALIZADA APENAS NO ESTADO DE MATO GROSSO E AS CIDADES PESQUISADAS SEGUEM EM ANEXO AO QUESTIONARIO DE CAMPO. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000252014";"2014-07-11 00:00:00";"#NE";"00852501000104";"VOX OPINIÃO PESQUISA E PROJETOS LTDA";"#NE";"Governador, Senador";"2014-07-11 00:00:00";"2014-07-15 00:00:00";1000;"5ª REGIÃO Nº 8641";"MARIA CECÍLIA SACRAMENTO SOUZA";"46370,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionários estruturados e padronizados junto a uma amostra representativa do eleitorado do estado de Mato Grosso.";"Plano Amostral:

a)	Público pesquisado: eleitores no estado do Mato Grosso.
 
b)	Tipo de amostra: A amostra é representativa do eleitorado do estado do Mato Grosso e para as seguintes regiões: Capital e Interior. A amostra foi selecionada em três estágios: 

1º estágio: seleção probabilística de municípios, através do método PPT (Probabilidade Proporcional ao Tamanho), tomando como base o número de eleitores de cada município;

2º estágio: seleção aleatória dos setores censitários ou bairros dentro do município; 

3º estágio: seleção dos respondentes dentro dos setores censitários ou bairros através de uma quota proporcional de Gênero, Idade, Escolaridade e Renda Familiar, de acordo com o perfil da população em estudo.

As entrevistas foram pessoais e domiciliares.

Fonte de dados: IBGE, Censo 2010 e PNAD 2012
			  TSE, Cadastro de Eleitores 2014

c)	Tamanho da amostra: 1.000 entrevistas.

d)	Ponderação: Para obter resultados válidos para o conjunto dos eleitores do estado do Mato Grosso será aplicado fator de ponderação para corrigir a desproporção em relação ao percentual de eleitores das regiões.

Ponderação da amostra:

Região	Amostra	% Eleitorado	Fator de Ponderação	Amostra ponderada
				
Capital	400	18%	0,45922	184
Interior	600	82%	1,36052	816
TOTAL	1.000			1.000

e)	Área física de realização da pesquisa: A ser informada e fornecida conforme artigo 2º, inciso X 5º § da Resolução 23.400 do Tribunal Superior Eleitoral – TSE datada de 27 de dezembro de 2013. 

f)	Intervalo de Confiança/Margem de Erro: O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada é de 3,1 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.

g)	Checagem: Logo após a realização da coleta de dados, é feito o trabalho de checagem das entrevistas junto aos respondentes. O objetivo é, sobretudo, garantir que a entrevista foi realmente realizada e verificar como o respondente se sentiu em relação à pesquisa. Há perguntas do questionário que são reproduzidas para certificarmos de sua correta aplicação e há outras questões que se referem exclusivamente à performance do entrevistador. São aproximadamente 20% dos respondentes de cada entrevistador que irão receber o contato dos checadores.
";"Para a realização da pesquisa será utilizada uma equipe de entrevistadores e supervisores devidamente treinada para este trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização que consiste no retorno a campo de 20% dos questionários aplicados individualmente pelos entrevistadores, para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"SERÁ APRESENTADO APÓS DIVULGAÇÃO."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000592014";"2014-08-13 00:00:00";"#NE";"03011668000122";"MARK INSTITUTO DE PESQUISA E OPINÃO LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-08-15 00:00:00";"2014-08-17 00:00:00";446;" 7877-A 1° REG";"FRANCISCA DE FATIMA LUCENA";"20000,00";"Método Usado	Survey ";"VÁRZEA GRANDE Método Usado	Survey Número de questionários aplicados	446 Zona urbana	100% SEXO Masculino	48,6% Feminino	51,4% ESCOLARIDADE Analfabeto/ Primário Incompleto	8,4% Primário completo/1° grau incompleto	25,1% 1° grau completo/2° grau incompleto	25,3% 2° grau completo/superior incompleto	34,5% Superior completo	6,7% RENDA Ate 01 salário mínimo	14,1% de 1 á 5 salários mínimos	61,9% de 5 á 10 salários mínimos 17,4% de 10 á 20 salários mínimos	5,6% 20 salários mínimos ou +	1,0% IDADE 16-17 anos	3,1% 18-24 anos	18,4% 25-34 anos	29,4% 35-44 anos	22,3% 45-59 anos	20,5% 60 anos ou mais	6,4% 4,0% DE MARGEM DE ERRO ";"A coordenação de campo realizará a checagem de 5% dos questionários “in loco”. ";"PESQUISA ESTADUAL A SER REALIZADA NO MUNICÍPIO DE VÁRZEA GRANDE NOS SEGUINTES BAIRROS EM ANEXO AO DETALHAMENTO DE BAIRRO. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000652014";"2014-08-20 00:00:00";"#NE";"00081933000150";"VETOR ASSESSORIA E PESQUISA DE MERCADO E DE OPINIAO PUBLICA LTDA-EPP ";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-08-14 00:00:00";"2014-08-18 00:00:00";1064;"8792 - A";"Janaina Giovanetti de Andrade";"60000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionários estruturados junto a uma amostra representativa do eleitorado urbano de Mato Grosso.";"Amostra representativa do eleitorado urbano de Mato Grosso, com municípios sorteados considerando o porte de eleitores e a região de localização da cidade. Nesses municípios, os eleitores são selecionados para entrevista com a utilização de quotas amostrais proporcionais em função das variáveis para: GÊNERO: Masculino 51,8% Feminino 48,2%; IDADE: 16-24(18,9%) 25-34 (26,1%) 35-44 (18,4%) 45-59 (24,0%) 60 anos ou +(12,6%); ESCOLARIDADE: Até primeiro grau (42,7%) Ensino Médio (42,1%) Ensino Superior ou mais (15,2%); RENDA: Até 2 Sálarios mínimos (34,0%) Mais de 2 a 5 Salários mínimos (47,5%) Mais de 5 Salários mínimos (18,5%); tomando como referência informações do IBGE e do TSE. A amostra selecionada é autoponderada. O intervalo de confiança é de 95% e o erro máximo estimado é de 3,0 pontos percentuais para mais ou para menos. ";"Para a realização da pesquisa utiliza-se uma equipe de entrevistadores e supervisores contratados pelo VETOR ASSESSORIA E PESQUISA DE MERCADO E DE OPINIAO PUBLICA devidamente treinados para o trabalho.É feita uma fiscalização de 20% dos questionários aplicados para verificação e confirmação das respostas fornecidas pelos entrevistados. ";"A área de abrangência da coleta é a região urbana dos seguintes municípios: Água Boa, Alta Floresta, Alto Paraguai, Araputanga, Barão de Melgaço, Barra do Bugres, Barra do Garças, Cáceres, Campo Novo do Parecis, Campo Verde, Canarana, Castanheira, Chapada dos Guimarães, Cláudia, Colíder, Cuiabá, Diamantino, Guarantã do Norte, General Carneiro, Jaciara, Juara, Juína, Juscimeira, Lucas do Rio Verde, Mirassol D'oeste, Nossa Senhora do Livramento, Nova Mutum, Nova Xavantina, Paranaíta, Pedra Preta, Peixoto de Azevedo, Poconé, Pontes e Lacerda, Porto Esperidião, Poxoréu, Primavera do Leste, Ribeirão Cascalheira, Rondonópolis, Rosário Oeste, São José dos Quatro Marcos, São Pedro da Cipa, Sapezal, Sinop, Sorriso, Tangará da Serra, Várzea Grande."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000732014";"2014-08-21 00:00:00";"#NE";"03011668000122";"MARK INSTITUTO DE PESQUISA E OPINÃO LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-08-28 00:00:00";"2014-08-31 00:00:00";1095;"7877-A 1° REG";"FRANCISCA DE FÁTIMA LUCENA";"30000,00";"Método Usado	Survey";"Plano Amostral (Pretendido): Método Usado	Survey Número de questionários aplicados	1.095 Zona urbana	100% Zona rural	0% Masculino 50,9% Feminino	49,1% ESCOLARIDADE	Analfabeto/ Primário Incompleto	6,2% Primário completo/1° grau incompleto	22,6% 1° grau completo/2° grau incompleto 30,0% 2° grau completo/superior incompleto	36,4% Superior completo	4,8% RENDA	Ate 01 salário mínimo	3,0% de 1 á 5 salários mínimos 72,1% de 5 á 10 salários mínimos	22,1% de 10 á 20 salários mínimos	2,0% 20 salários mínimos ou +	0,7% IDADE	16-17 anos	2,4% 18-24 anos	19,7% 25-34 anos	24,7% 35-44 anos	24,7% 45-59 anos 19,9% 60 anos ou mais	8,7% A margem de erro é de 3 pontos percentuais para mais ou para menos, o intervalo de confiança é de 95%. ";"A coordenação de campo realizará a checagem de 5% dos questionários “in loco”. ";"PESQUISA A SER REALIZADA APENAS NO ESTADO DE MATO GROSSO E AS CIDADES PESQUISADAS SEGUEM EM ANEXO AO QUESTIONÁRIO DE CAMPO."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000762014";"2014-09-03 00:00:00";"#NE";"03011668000122";"MARK INSTITUTO DE PESQUISA E OPINÃO LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-04 00:00:00";"2014-09-07 00:00:00";1095;"7877-A 1° REG";"FRANCISCA DE FÁTIMA LUCENA";"30000,00";"Método Usado	Survey ";"Plano Amostral (Pretendido): Método Usado	Survey Número de questionários aplicados	1.095 Zona urbana	100% Zona rural	0% Masculino 50,9% Feminino	49,1% ESCOLARIDADE	Analfabeto/ Primário Incompleto	6,2% Primário completo/1° grau incompleto	22,6% 1° grau completo/2° grau incompleto 30,0% 2° grau completo/superior incompleto	36,4% Superior completo	4,8% RENDA	Ate 01 salário mínimo	3,0% de 1 á 5 salários mínimos 72,1% de 5 á 10 salários mínimos	22,1% de 10 á 20 salários mínimos	2,0% 20 salários mínimos ou +	0,7% IDADE	16-17 anos	2,4% 18-24 anos	19,7% 25-34 anos	24,7% 35-44 anos	24,7% 45-59 anos 19,9% 60 anos ou mais	8,7% A margem de erro é de 3 pontos percentuais para mais ou para menos, o intervalo de confiança é de 95%. ";"A coordenação de campo realizará a checagem de 5% dos questionários “in loco”. ";"PESQUISA A SER REALIZADA APENAS NO ESTADO DE MATO GROSSO E AS CIDADES PESQUISADAS SEGUEM EM ANEXO AO QUESTIONÁRIO DE CAMPO. 
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000742014";"2014-08-30 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-08-30 00:00:00";"2014-09-04 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"54428,36";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico nos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 20% (feminino) 20%; 25-34 (masculino) 25% (feminino) 25%; 35-44 (masculino) 21% (feminino) 23%; 45-54 (masculino) 17% (feminino) 17%; 55 e+ (masculino) 17% (feminino) 16%; INSTRUÇÃO: Até Ensino Médio (masculino) 86% (feminino) 79%; Ensino Superior (masculino) 14% (feminino) 21%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 85% (feminino) 57%; Não Economicamente ativo (masculino) 15% (feminino) 43%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Mato Grosso. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000872014";"2014-09-16 00:00:00";"#NE";"19799000000121";"F.A.N.TEIXEIRA ";"#NE";"Governador, Senador";"2014-09-18 00:00:00";"2014-09-20 00:00:00";1000;"8509-A";"Wander Luiz Benesciuti";"20000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. ";"Representativo do eleitorado da área estudada, levantado após um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. 
A partir da definição dos municípios e a amostra de cada um, faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. 
Com isso, os entrevistados são selecionados através de quotas amostrais proporcionais em função de variáveis significativas: 
IDADE: 16-24 (masculino) 20% (feminino) 21%; 25-34 (masculino) 25% (feminino) 25%; 35-44 (masculino) 20% (feminino) 22%; 45-54 (masculino) 16% (feminino) 16% 55 ou mais (masculino) 19% (feminino) 16%; 
INSTRUÇÃO: Até Ensino Médio (masculino) 85% (feminino) 80%; Ensino Superior (masculino) 15% (feminino) 20%; 
NÍVEL ECONÔMICO: Economicamente ativo (masculino) 83% (feminino) 57%; Não Economicamente ativo (masculino) 17% (feminino) 43%.
O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. 
FONTE DOS DADOS: Censo 2010,| PNAD 2012, TSE 2012
";"Conferência e fiscalização da coleta de dados e do trabalho de campo. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores";"Os bairros não sendo delimitados, será identificada a área em que foi realizada a pesquisa (conforme §6º. do art. 1º. da Resolução-TSE nº. 23.400/2013, o pedido de registro será complementado pela entrega destes dados ao Tribunal Eleitoral em um prazo de até 24 horas, contado da divulgação do respectivo resultado).
Área de abrangência da coleta é o Estado do Mato Grosso. Zona Urbana e Zona Rural. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §5º da Resolução 23.400/2013 do TSE. 
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000172014";"2014-05-08 00:00:00";"#NE";"03011668000122";"MARK INSTITUTO DE PESQUISA E OPINÃO LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-05-10 00:00:00";"2014-05-14 00:00:00";1095;" 7877-A 1° REG";"FRANCISCA DE FATIMA LUCENA";"20000,00";" Método Usado	Survey";"IV- Plano Amostral (Pretendido): Método Usado	Survey Número de questionários aplicados	1.095 Zona urbana	100% Zona rural	0% Masculino 50,9% Feminino	49,1% ESCOLARIDADE	 Analfabeto/ Primário Incompleto	6,2% Primário completo/1° grau incompleto	22,6% 1° grau completo/2° grau incompleto	30,0% 2° grau completo/superior incompleto	36,4% Superior completo	4,8% RENDA	 Ate 01 salário mínimo	3,0% de 1 á 5 salários mínimos	72,1% de 5 á 10 salários mínimos	22,1% de 10 á 20 salários mínimos	2,0% 20 salários mínimos ou +	0,7% IDADE	 16-17 anos	2,4% 18-24 anos	19,7% 25-34 anos	24,7% 35-44 anos	24,7% 45-59 anos	19,9% 60 anos ou mais	8,7% A margem de erro é de 3 pontos percentuais para mais ou para menos, o intervalo de confiança é de 95%. 
";" A coordenação de campo realizará a checagem de 5% dos questionários “in loco”. 
";"PESQUISA A SER REALIZADA APENAS NO ESTADO DE MATO GROSSO E AS CIDADES PESQUISADAS SEGUEM EM ANEXO AO QUESTIONARIO DE CAMPO. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"MT";"MT";"MATO GROSSO";"MT000892014";"2014-09-17 00:00:00";"#NE";"03011668000122";"MARK INSTITUTO DE PESQUISA E OPINÃO LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-17 00:00:00";"2014-09-18 00:00:00";300;"7877-A 1° REG";"FRANCISCA DE FÁTIMA LUCENA";"10000,00";"Método Usado	Survey";"Plano Amostral (Pretendido): Método Usado	Survey Número de questionários aplicados	300 Zona Urbana	92,0% Zona Rural	8,0% SEXO Feminino 49,8% Masculino	50,2% ESCOLARIDADE Analfabeto/ Primário Incompleto	5,2% Primário completo/1° grau incompleto 27,2% 1° grau completo/2° grau incompleto	31,5% 2° grau completo/superior incompleto	31,5% Superior completo	4,7% RENDA Ate 01 salário mínimo	3,8% de 1 á 5 salários mínimos	55,4% de 5 á 10 salários mínimos	30,5% de 10 á 20 salários mínimos	8,5% 20 salários mínimos ou +	1,9% IDADE 16-17 anos	5,6% 18-24 anos	18,8% 25-34 anos	32,4% 35-44 anos	26,3% 45-59 anos	12,7% 60 anos ou mais	4,2% A margem de erro é de 3,5% (Três e Meio pontos percentuais) para mais ou para menos, o intervalo de confiança é de 95%. ";"A coordenação de campo realizará a checagem de 5% dos questionários “in loco”.";"PESQUISA ESTADUAL A SER REALIZADA APENAS NO MUNICÍPIO DE SINOP-MT OS BAIRROS SEGUEM EM ANEXO AO QUESTIONARIO DE CAMPO. "
