"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000272014";"2014-09-08 00:00:00";"#NE";"07317438000147";"DOXA COMUNICAÇÃO INTEGRADA S/S LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-09 00:00:00";"2014-09-12 00:00:00";1400;"9477 ";"LUIZ CARLOS FERREIRA FEITOSA ";"30000,00";"Pesquisa eleitoral do tipo quantitativo categórico, aleatório e estratificado domiciliar por cotas de sexo e idade, área geográfica detalhamento feito com amostragens mediante aplicação de questionários estruturados por pessoal treinado levando em consideração parâmetros eleitorais, tendo como universo (total) o eleitorado do Estado do Pará, dividido pelas seis Mesorregiões: Baixo Amazonas, Marajó, Nordeste, Sudeste, Sudoeste, Metropolitana. ";"O universo considerado são todos os eleitores do Estado do Pará registrados no TRE/PA e aptos a votar nas eleições gerais 2014. O tamanho da amostra é de 1.400 entrevistados com uso da fórmula de Tagliacarne que associa a distribuição de probabilidade Normal de Gauss e erro amostral do Intervalo de confiança. A técnica de amostragem: Do parâmetro de eleitores estabelecemos a estratificação respeitando a proporcionalidade das variáveis que atuam como filtros adequados da amostragem: sexo, idade, renda e nível de instrução do eleitorado. Masculino 51,9%; Feminino 48,1%. Faixa etária 16 a 24 anos 22,3%; 25 a 34 anos 27,3%; 35 a 44 anos 22,3%; 45 a 59 anos 19,6%; acima de 59 anos 8,6%. Sem escolaridade 2,3%; Ensino fundamental 29,6%; ensino médio 53,7%; superior/pós 14,4%. Até 01 Salário Minimo 27,8%; Acima de 1 até 2 salários mínimos 45,6; Acima de 2 até 3 salários mínimos 5,2% Acima de 3 até 4 salários mínimos 0,9%; Acima de 5 salários mínimos 2,4%. A margem de erro amostral: respeitando o intervalo de confiança estimada foi de 95% e significância de 5% (bicaudal), tendo a margem de erro amostral de 3 pontos percentuais para mais ou para menos na amostra. ";"Os pesquisadores contratados para aplicação dos formulários desta pesquisa foram treinados pela equipe técnica da DOXA com instruções adequadas para atingir a meta e o objetivo da pesquisa. Quanto aos supervisores de campo, possuem a meta de atingir no mínimo 20% dos questionários dos pesquisadores indo ao local indicado ou por telefone. A validação do formulário somente será confirmada com o coligimento da ponderação previsto pela legislação eleitoral e todo o material após codificação e processamento dos dados das variáveis contidas no questionário.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000292014";"2014-09-11 00:00:00";"#NE";"01338700000153";"INSTITUTO GAUSS DE PESQ SOCIAIS E DE ECON E DE OPINIAO PUB LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-12 00:00:00";"2014-09-13 00:00:00";500;"registro nº 6892";"João Soares de Araujo Neto";"13000,00";"METODOLOGIA: A realização da pesquisa será na cidade de Marabá-PA, abrangendo as regiões de Nova Marabá, Cidade Nova, Marabá Pioneira, São Félix e Morada Nova. 
O trabalho de campo é realizado com uma equipe de Pesquisadores treinados, qualificados e acompanhados por um Coordenador de Pesquisas.
";"PLANO AMOSTRAL: 500 (quinhentas) amostras. 

PONDERAÇÃO:
SEXO: A pesquisa será dividida entre 52% masculino e 48% feminino.
IDADE: 20% para 16 a 25 anos, 35 % para 26 a 35 anos, 35% para 36 a 50 anos, 10% para mais de 50 anos.
ESCOLARIDADE: será dividida entre: 5% para analfabeto até a 4ª, 50% para 1º grau, 39% para 2° grau e 6% para Superior.
NÍVEL ECONÔMICO: será dividida entre: 38% para até 1 salário mínimo, 40% para 1 a 2 salários mínimos, 17% para 3 a 5 salários mínimos e 5% para mais de 5 salários mínimos.

ÁREA FÍSICA DE REALIZAÇÃO DO TRABALHO:
        O trabalho será realizado na cidade de Marabá-PA. 
INTERVALO DE CONFIANÇA:  Considerando um grau de confiança de 95%
MARGEM DE ERROS:  É de 3 pontos percentuais para mais ou para menos.
";"SISTEMA DE  CONTROLE INTERNO :
        Será  realizado um controle de distribuição de amostras para cidade de Marabá-PA, de acordo com o eleitorado.
VERIFICAÇÃO: Será verificados 20% dos questionários a serem aplicados na pesquisa de campo.
CONFERÊNCIA:  Será conferida e fiscalizada por um Estatística responsável pela pesquisa.

FISCALIZAÇÃO DA COLETA DE DADOS E TRABALHO DE CAMPO:
        Tem como  acompanhamento por um coordenador de pesquisas para fiscalização das coletas e conferência.
TRABALHO DE CAMPO: Tem  acompanhamento por um coordenador de pesquisas e dimencionando a área geográfica da cidade a ser pesquisada.
";"MUNICÍPIO E BAIRROS ABRANGIDOS PELA PESQUISA: Marabá-PA (Nova Marabá, Cidade Nova, Marabá Pioneira, São Félix e Morada Nova)."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000452014";"2014-09-29 00:00:00";"#NE";"03724595000116";"CONTEXTO - Instituto de Pesquisa de Mercado e Opinião LTDA ME";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-26 00:00:00";"2014-09-28 00:00:00";301;"7771";"EDER MARTINS DA ROC HA";"6000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Composta por 301 entrevistas, a amostra é do tipo representativa, distribuída com alocação proporcional à população do referido município (Dados IBGE - Censo 2010, estimativa para 2014). Sendo estratificada em cotas de sexo e idade, grau de instrução e renda familiar, calculadas proporcionalmente de acordo com o perfil do eleitorado de Abel Figueiredo, de acordo com os dados do IBGE (Censo 2010, estimativa para 2014). A margem de erro é de 4 pontos percentuais para mais ou para menos. Intervalo de confiança 90%. Esta pesquisa foi realizada por CONTEXTO Instituto de Pesquisas de Mercado e Opinião, sob a direção e coordenação de Mônica Silva. A digitação e processamento dos dados coletados foram coordenados pelo estatístico Eder Martins da Rocha. O Objetivo da pesquisa é avaliar e conhecer as intenções de voto dos eleitores para os diversos níveis no Município de Abel Figueiredo. Foi aplicada a metodologia face a face, com entrevistas domiciliares, utilizou–se amostra probabilística, casuística, estratificada por sexo, idade e localização geográfica. O Município foi dividido em setores, nestes setores foram sorteados quadras ou o equivalente, nestas quadras foram aplicados arrolamentos sistemáticos, alternando as entrevistas por sexo e faixa etária. O instrumento de coleta de dados foi o questionário, experimentado antes de sua aplicação definitiva. O universo da pesquisa é a população residente e domiciliada eleitoralmente em Abel Figueiredo, no período da coleta dos dados em campo. FONTE DOS DADOS: Censo 2010 | TSE 2014.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo CONTEXTO, devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de 15% (quinze por cento) dos questionários aplicados pelos entrevistadores; para verificação da qualidade das respostas e da adequação dos entrevistadores aos parâmetros amostrais.";"A área de abrangência da coleta é formada pelo município de Abel Figueiredo. A relação dos bairros selecionados para aplicação da amostra será apresentada após a divulgação do resultado da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000202014";"2014-09-01 00:00:00";"#NE";"15422597000130";"VEIGA CONSULTORIA E PESQUISA LTDA - EPP";"#NE";"Governador";"2014-09-13 00:00:00";"2014-09-19 00:00:00";1200;"9477";"LUIZ CARLOS FERREIRA FEITOSA";"15000,00";" Pesquisa eleitoral do tipo quantitativo categórico, aleatório e estratificado domiciliar por cotas de sexo e idade, área geográfica detalhamento feito com amostragens mediante aplicação de questionários estruturados por pessoal treinado levando em consideração parâmetros eleitorais, tendo como universo total o eleitorado do Estado do Pará, dividido pelas seis Mesorregiões: Baixo Amazonas, Marajó, Nordeste, Sudeste, Sudoeste, Metropolitana. ";"O universo considerado são todos os eleitores do Estado do Pará registrados no TRE/PA e aptos a votar nas eleições gerais 2014. O tamanho da amostra é de 1.200 entrevistados com uso da fórmula de Tagliacarne que associa a distribuição de probabilidade Normal de Gauss e erro amostral do Intervalo de confiança. A técnica de amostragem: Do parâmetro de eleitores estabelecemos a estratificação respeitando a proporcionalidade das variáveis que atuam como filtros adequados da amostragem: sexo, idade, renda e nível de instrução do eleitorado. Masculino 51,9%; Feminino 48,1%. Faixa etária 16 a 24 anos 22,3%; 25 a 34 anos 27,3%; 35 a 44 anos 22,3%; 45 a 59 anos 19,6%; acima de 59 anos 8,6%. Sem escolaridade 2,3%; Ensino fundamental 29,6%; ensino médio 53,7%; superior/pós 14,4%. Até 01 Salário Minimo 27,8%; Acima de 1 até 2 salários mínimos 45,6; Acima de 2 até 3 salários mínimos 5,2% Acima de 3 até 4 salários mínimos 0,9%; Acima de 5 salários mínimos 2,4%. A margem de erro amostral: respeitando o intervalo de confiança estimada foi de 95% e significância de 5% (bicaudal), tendo a margem de erro amostral de 3 pontos percentuais para mais ou para menos na amostra. 
";"Os pesquisadores contratados para aplicação dos formulários desta pesquisa foram treinados pela equipe técnica da Veiga Consultória e Pesquisa e são em sua totalidade universitário, tendo instruções adequadas para atingir a meta e o objetivo da consultória. Quanto aos supervisores de campo, possuem a meta de atingir no mínimo 20% dos questionários dos pesquisadores indo ao local indicado ou por telefone. A validação do formulário somente será confirmada com o coligimento da ponderação previsto pela legislação eleitoral e todo o material após codificação e processamento dos dados das variáveis contidas no questionário ";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000532014";"2014-10-19 00:00:00";"#NE";"15422597000130";"VEIGA CONSULTORIA E PESQUISA LTDA - EPP";"#NE";"Governador";"2014-10-20 00:00:00";"2014-10-24 00:00:00";2000;"9826";"MARIO DE LIMA NOBRE ";"20000,00";"Pesquisa eleitoral do tipo quantitativo categórico, aleatório e estratificado domiciliar por bairros, onde o critério levado em consideração será o eleitor residente e votante do munícipio, além de cotas de sexo e idade, área geográfica detalhamento feito com amostragens mediante aplicação de questionários estruturados por pessoal treinado levando em consideração parâmetros eleitorais, tendo como universo total o eleitorado do Estado do Pará, dividido pelas seis Mesorregiões, a saber: Baixo Amazonas, Marajó, Nordeste, Sudeste, Sudoeste, Metropolitana. Em anexo está apresentada a amostragem calculada a partir do peso eleitoral de cada município e mesorregião. Sendo a amostragem a ser realizada considerando, pelo menos, 40% de cada mesorregião, e contendo, obrigatoriamente, dois municípios por mesorregião. 
";"O universo considerado são todos os eleitores do Estado do Pará registrados no TRE/PA e aptos a votar nas eleições gerais 2014. O tamanho da amostra é de 2.000 entrevistados com uso da fórmula de Tagliacarne que associa a distribuição de probabilidade Normal de Gauss e erro amostral do Intervalo de confiança. A técnica de amostragem: Do parâmetro de eleitores estabelecemos a estratificação respeitando a proporcionalidade das variáveis que atuam como filtros adequados da amostragem: sexo, idade, renda e nível de instrução do eleitorado. Masculino 51,9%; Feminino 48,1%. Faixa etária 16 a 24 anos 22,3%; 25 a 34 anos 27,3%; 35 a 44 anos 22,3%; 45 a 59 anos 19,6%; acima de 59 anos 8,6%. Sem escolaridade 2,3%; Ensino fundamental 29,6%; ensino médio 53,7%; superior/pós 14,4%. Até 01 Salário Mínimo 27,8%; Acima de 1 até 2 salários mínimos 45,6; Acima de 2 até 3 salários mínimos 5,2% Acima de 3 até 4 salários mínimos 0,9%; Acima de 5 salários mínimos 2,4%. A margem de erro amostral: respeitando o intervalo de confiança estimada foi de 95% e significância de 5% (bicaudal), tendo a margem de erro amostral de 2,2 pontos percentuais para mais ou para menos na amostra. 
";"Os pesquisadores contratados para aplicação dos formulários desta pesquisa foram treinados pela equipe técnica da Veiga Consultoria e Pesquisa e são em sua totalidade universitário, tendo instruções adequadas para atingir a meta e o objetivo da consultoria. Quanto aos supervisores de campo, possuem a meta de atingir no mínimo 20% dos questionários dos pesquisadores indo ao local indicado ou por telefone. A validação do formulário somente será confirmada com o coligimento da ponderação previsto pela legislação eleitoral e todo o material após codificação e processamento dos dados das variáveis contidas no questionário 
";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000542014";"2014-10-20 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador";"2014-10-20 00:00:00";"2014-10-25 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"59998,68";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 25% (feminino) 24%; 25-34 (masculino) 28% (feminino) 29%; 35-44 (masculino) 21% (feminino) 21%; 45-54 (masculino) 14% (feminino) 13%; 55 e+ (masculino) 13% (feminino) 13%; INSTRUÇÃO: Até Ensino Médio (masculino) 90% (feminino) 86%; Ensino Superior (masculino) 10% (feminino) 14%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 82% (feminino) 54%; Não Economicamente ativo (masculino) 18% (feminino) 46%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Pará. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000182014";"2014-08-31 00:00:00";"#NE";"15422597000130";"VEIGA CONSULTORIA E PESQUISA LTDA - EPP";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-01 00:00:00";"2014-09-05 00:00:00";1200;"9477";"LUIZ CARLOS FERREIRA FEITOSA";"15000,00";"Pesquisa eleitoral do tipo quantitativo categórico, aleatório e estratificado domiciliar por cotas de sexo e idade, área geográfica detalhamento feito com amostragens mediante aplicação de questionários estruturados por pessoal treinado levando em consideração parâmetros eleitorais, tendo como universo total o eleitorado do Estado do Pará, dividido pelas seis Mesorregiões: Baixo Amazonas, Marajó, Nordeste, Sudeste, Sudoeste, Metropolitana. ";"O universo considerado são todos os eleitores do Estado do Pará registrados no TRE/PA e aptos a votar nas eleições gerais 2014. O tamanho da amostra é de 1.200 entrevistados com uso da fórmula de Tagliacarne que associa a distribuição de probabilidade Normal de Gauss e erro amostral do Intervalo de confiança. A técnica de amostragem: Do parâmetro de eleitores estabelecemos a estratificação respeitando a proporcionalidade das variáveis que atuam como filtros adequados da amostragem: sexo, idade, renda e nível de instrução do eleitorado. Masculino 51,9%; Feminino 48,1%. Faixa etária 16 a 24 anos 22,3%; 25 a 34 anos 27,3%; 35 a 44 anos 22,3%; 45 a 59 anos 19,6%; acima de 59 anos 8,6%. Sem escolaridade 2,3%; Ensino fundamental 29,6%; ensino médio 53,7%; superior/pós 14,4%. Até 01 Salário Minimo 27,8%; Acima de 1 até 2 salários mínimos 45,6; Acima de 2 até 3 salários mínimos 5,2% Acima de 3 até 4 salários mínimos 0,9%; Acima de 5 salários mínimos 2,4%. A margem de erro amostral: respeitando o intervalo de confiança estimada foi de 95% e significância de 5% (bicaudal), tendo a margem de erro amostral de 3 pontos percentuais para mais ou para menos na amostra. 
";"Os pesquisadores contratados para aplicação dos formulários desta pesquisa foram treinados pela equipe técnica da Veiga Consultória e Pesquisa e são em sua totalidade universitário, tendo instruções adequadas para atingir a meta e o objetivo da consultória. Quanto aos supervisores de campo, possuem a meta de atingir no mínimo 20% dos questionários dos pesquisadores indo ao local indicado ou por telefone. A validação do formulário somente será confirmada com o coligimento da ponderação previsto pela legislação eleitoral e todo o material após codificação e processamento dos dados das variáveis contidas no questionário 
";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000312014";"2014-09-13 00:00:00";"#NE";"04216356000118";"Alvo Marketing e Publicidade Ltda";"#NE";"Governador, Senador, Deputado Federal";"2014-09-11 00:00:00";"2014-09-14 00:00:00";800;"7451/1ª Região";"Silvia Caroline Salgado Pena";"5000,00";"Pesquisa de Opinião Pública realizada no Município de Belém foi concentrada em 8 Distritos Administrativos. O número de eleitores conforme divulgação do TSE em 06/2014, tendo o referido município 1.023.169 eleitores, com 19,720% do eleitorado do Estado do Pará. O objetivo principal é levantar junto à população de eleitores do Município de Belém a intenção de votos para o próximo pleito eleitoral para Governador do Estado, Senador do Estado, Deputado Federal, Avaliação de Governador e outros temas. A amostra é representativa e coletada em três estágios: No primeiro estágio foi distribuída percentualmente levando em conta o peso de cada Distrito Administrativo, no segundo estágio foi distribuída percentualmente levando em conta o peso de cada bairro pesquisado e no terceiro estágio distribuído aleatoriamente dentro de cada bairro pesquisados. Terá como amostra, 800 (oitocentos) domicílios onde será entrevistada uma pessoa por residência. Utilizamos inicialmente, o filtro de o entrevistado ser eleitor do município. Para definir os critérios que foram respeitados: O contingente eleitoral, habitantes, área territorial, além das variáveis como: renda, Idade, escolaridade e sexo.";"A margem de erro é 3,534% para mais ou para menos, sendo o intervalo de confiança de 95%, sua distribuição ficará dentre as variáveis, Sexo: masculino 46,70% e Feminino 53,30%. Idade: 16 a 17 Anos 1,90%; 18 a 20 Anos 6,70%; 21 a 34 Anos 31,40% ;35 a 44 Anos 22,60%; 45 a 59 Anos 25,70% e 60 Anos  em Diante 11,60%. Instrução: Analfabeto/3º Ano do ensino fundamenta incompleto e completo 7,80%; Ensino Fundamental Completo e Incompleto 38,00%, Ensino Médio Completo e Incompleto 43,70% e Superior Completo e Incompleto 10,50%. Renda: 0 a 1SM 38,80%, Acima de 1SM a 5SM 40,10%, Acima de 5SM a 10SM 13,10%, Acima de 10SM a 20SM 5,40% Acima de 20SM 2,60%. 
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pela empresa devidamente treinados para o trabalho. 
A verificação dos questionários será de 20% do total de entrevistas, sendo que todos os questionários receberão critica interna. 
";"Não há arquivo para detalhamento de bairros/municípios. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000302014";"2014-09-13 00:00:00";"#NE";"15422597000130";"VEIGA CONSULTORIA E PESQUISA LTDA - EPP";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-14 00:00:00";"2014-09-19 00:00:00";1200;"9477";"LUIZ CARLOS FERREIRA FEITOSA ";"15000,00";" Pesquisa eleitoral do tipo quantitativo categórico, aleatório e estratificado domiciliar por bairros, onde o critério levado em consideração será o eleitor residente e votante do munícipio, além de cotas de sexo e idade, área geográfica detalhamento feito com amostragens mediante aplicação de questionários estruturados por pessoal treinado levando em consideração parâmetros eleitorais, tendo como universo total o eleitorado do Estado do Pará, dividido pelas seis Mesorregiões, a saber: Baixo Amazonas, Marajó, Nordeste, Sudeste, Sudoeste, Metropolitana. 
";"O universo considerado são todos os eleitores do Estado do Pará registrados no TRE/PA e aptos a votar nas eleições gerais 2014. O tamanho da amostra é de 1.200 entrevistados com uso da fórmula de Tagliacarne que associa a distribuição de probabilidade Normal de Gauss e erro amostral do Intervalo de confiança. A técnica de amostragem: Do parâmetro de eleitores estabelecemos a estratificação respeitando a proporcionalidade das variáveis que atuam como filtros adequados da amostragem: sexo, idade, renda e nível de instrução do eleitorado. Masculino 51,9%; Feminino 48,1%. Faixa etária 16 a 24 anos 22,3%; 25 a 34 anos 27,3%; 35 a 44 anos 22,3%; 45 a 59 anos 19,6%; acima de 59 anos 8,6%. Sem escolaridade 2,3%; Ensino fundamental 29,6%; ensino médio 53,7%; superior/pós 14,4%. Até 01 Salário Mínimo 27,8%; Acima de 1 até 2 salários mínimos 45,6; Acima de 2 até 3 salários mínimos 5,2% Acima de 3 até 4 salários mínimos 0,9%; Acima de 5 salários mínimos 2,4%. A margem de erro amostral: respeitando o intervalo de confiança estimada foi de 95% e significância de 5% (bicaudal), tendo a margem de erro amostral de 3 pontos percentuais para mais ou para menos na amostra. 
";"Os pesquisadores contratados para aplicação dos formulários desta pesquisa foram treinados pela equipe técnica da Veiga Consultoria e Pesquisa e são em sua totalidade universitário, tendo instruções adequadas para atingir a meta e o objetivo da consultoria. Quanto aos supervisores de campo, possuem a meta de atingir no mínimo 20% dos questionários dos pesquisadores indo ao local indicado durante a realização do campo ou por telefone. A validação do formulário somente será confirmada com o coligimento da ponderação previsto pela legislação eleitoral e todo o material após codificação e processamento dos dados das variáveis contidas no questionário ";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PA";"PA";"PARÁ";"PA000352014";"2014-09-22 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-22 00:00:00";"2014-09-27 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"55995,52";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 25% (feminino) 24%; 25-34 (masculino) 28% (feminino) 29%; 35-44 (masculino) 21% (feminino) 21%; 45-54 (masculino) 14% (feminino) 13%; 55 e+ (masculino) 13% (feminino) 13%; INSTRUÇÃO: Até Ensino Médio (masculino) 90% (feminino) 86%; Ensino Superior (masculino) 10% (feminino) 14%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 82% (feminino) 54%; Não Economicamente ativo (masculino) 18% (feminino) 46%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Pará. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
