"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000362014";"2014-09-26 00:00:00";"#NE";"13358105000169";"6 Sigma Pesquisa e Consultoria Estatística Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-22 00:00:00";"2014-09-26 00:00:00";1103;"9461";"Alex Raia";"40000,00";"A metodologia empregada para a obtenção dos dados será a técnica de coleta direta Face to Face, utilizando- se como instrumento de investigação, formulário estruturado, levando em consideração a forma de escolha dos participantes da pesquisa como elementos da amostra. ";"No Plano Amostral será utilizada uma Amostra Probabilística, em vários níveis, com a finalidade de representar de forma mais fiel o público da questão, totalizando 1103 formulários coletados. A aleatorização da amostra será feita sobre a cobertura geográfica, representada por 51 municípios em todo o Estado da Paraíba, proporcional mediante o percentual populacional demográfico demonstrado pelo IBGE. A ponderação da amostra ocorrerá com relação as variáveis SEXO, IDADE e ESCOLARIDADE, tendo como fonte o TSE, onde 47% do eleitorado do sexo masculino, e 53% do sexo feminino; para idades, temos 18% dos eleitores até 24 anos, 24% de 25 a 34 anos, 20% de 35 a 44 anos e 38% com 45 anos ou mais; para escolaridade, temos 91% até nível médio e 9% com ensino superior. Para a variável NÍVEL ECONÔMICO, será utilizada a distribuição proporcional da renda familiar, fonte IBGE, 32% até 1 SM, 55% de 1 a 5 SM, 13% acima de 5 SM. Caso ocorram diferenças superiores a 2,95 pontos percentuais para as variáveis em questão entre o previsto na amostra e a coleta de dados realizada, será realizado um ajuste na ponderação para correção das mesmas. FONTES UTILIZADAS: TSE 2014/CENSO 2010. A coleta de dados será realizada em sorteio Múltiplo Aleatórios, em quatro estágios (Município, Bairro, Rua e Ponto Amostral) sobre os municípios e localidades definidos para a amostra. O Erro Amostral, máximo a ser atingido é de 2,95%, levando em consideração o tamanho da amostra de 1103 no uso do cálculo amostral pela proporção [estimador = p e (1-p)], usando variância máxima. O que significa que sobre as variáveis dos quesitos de interesse, esse erro deverá ser no máximo 2,95%. Sendo a confiança estabelecida em 95%. ";"O sistema de controle interno ocorrerá a partir do início da etapa de campo, onde os entrevistadores são fiscalizados permanentemente por coordenadores de campo. Com verificação aleatória de 10% dos questionários aplicados. ";"Os dados referente aos municípios e bairros onde será realizada a pesquisa para o Estado da Paraíba, onde foram realizadas as entrevistas com a aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º § 5º da Resolução 23.400/2013 do TSE. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000062014";"2014-04-10 00:00:00";"#NE";"10828442000184";"Olho D'água dos Bredos Ltda";"#NE";"Governador, Senador";"2014-04-10 00:00:00";"2014-04-14 00:00:00";1000;"6149-A";"Eduardo José Pereira da Costa";"25000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturado junto a uma amostra representativa do eleitorado em estudo. Eleitorado do Estado da Paraíba.";"Utilizou-se o método de amostragem estratificada proporcional de conglomerados selecionados com probabilidade proporcional ao tamanho (PPT) em 03 estágios. No primeiro estágio separam-se os municípios usando-se o método PPT (probabilidade proporcional ao tamanho. No segundo estágio os conglomerados selecionados são os setores censitários com base no método PPT (probabilidade proporcional ao tamanho). A medida de tamanho adotada para a seleção dos conglomerados é a população residente dos municípios e setores, de acordo com dados censitários disponibilizados pelo Instituto Brasileiro de geografia e estatística (IBGE). No terceiro estágio são definidas as cotas de sexo e idade conforme informações estatísticas disponibilizadas pelo Tribunal Superior eleitoral (TSE). As cotas referentes  à escolaridade e renda domiciliar são coletadas aleatoriamente nas respectivas áreas de coleta, tendo em vista a pouca confiabilidade dos dados disponíveis. O controle das cotas é feito pela equipe de supervisores e pesquisadores que compõe a pesquisa: Masculino 47%, Feminino 53%; 16 a 24 anos 18%, 25 a 34 anos 24%, 35 a 44 anos 19%, 45 a 59 anos 21%, mais de 60 anos 18%. A amostra é composta por 1000 entrevistas aplicadas na população que tenha título de eleitor, more no estado da Paraíba e vote no estado da Paraíba. O intervalo de confiança estimado é de 95% para uma margem de erro para mais ou para menos de 3,2%";"Para realização da pesquisa, utilizaram-se uma equipe de entrevistadores e supervisores, contratados pelo Instituto. Todos devidamente treinados para execução do trabalho. Após a coleta das informações, 20% dos questionários aplicados foram submetidos à verificação de critérios, quanto a sua aplicação e adequação dos entrevistados ás variáveis das cotas amostrais.";"A área da pesquisa compreende o estado da Paraíba, composta por 04 (quatro) mesorregiões: Mata Paraibana, Agreste Paraibano, Borborema e Sertão Paraibano, composta pelo seguintes municípios:Alagoa Grande, Alagoa Nova, Areia, Bananeiras, Bonito de Santa Fé, Cachoeira dos Índios, Cajazeiras, São João do Rio Peixe, São José de Piranhas, Triunfo, Uiraúna, Fagundes, Lagoa Seca, Massaranduba,  Puxinanã, Queimadas, Monteiro,Campina Grande, Serra Branca, Sumé, Taperoá, Barra de Santana, Boqueirão, Brejo do Cruz, Catolé do Rocha, Riacho dos Cavalos, São Bento, Arara, Barra de Santa Rosa, Cuité, Nova Floresta, Pocinhos, Remígio, Soledade, Araruna, Cacimba de Dentro, Dona Inês, Solânea, Tacima, Esperança, Alagoinha, Araçagi, Belém, Guarabira, Mulungu, Pipirituba, Gurinhem, Ingá, Itabaiana, Itatuba, Mogeiro, Salgado de São Félix, Conceição, Itaporanga, Bayeux, Cabedelo, Conde, João Pessoa, Lucena, Santa Rita, Baia da Tração, Itapororoca, Jacaraú, Mamanguape, Marcação, Rio Tinto, Alhandra, Caaporã, Pedras de Fogo, Pitimbu, Patos, Coremas, Piancó, Cruz do Espírito Santo, Juripiranga, Mari, Pilar, Sapé, Santa Luzia, Juazeirinho, Picui, Seridó, Água Branca, Desterro, Imaculada, Juru, Manaíra, Princesa Isabel, Tavares, Teixeira, Aparecida, Paulista, Pombal, Sousa, Aroeiras, Gado Bravo, Natuba e Umbuzeiro"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000282014";"2014-09-13 00:00:00";"#NE";"13358105000169";"6 Sigma Pesquisa e Consultoria Estatística Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-12 00:00:00";"2014-09-16 00:00:00";1103;"9461";"Alex Raia";"30000,00";"A metodologia empregada para a obtenção dos dados será a técnica de coleta direta Face to Face, utilizando- se como instrumento de investigação, formulário estruturado, levando em consideração a forma de escolha dos participantes da pesquisa como elementos da amostra. ";"No Plano Amostral será utilizada uma Amostra Probabilística, em vários níveis, com a finalidade de representar de forma mais fiel o público da questão, totalizando 1103 formulários coletados. A aleatorização da amostra será feita sobre a cobertura geográfica, representada por 51 municípios em todo o Estado da Paraíba, proporcional mediante o percentual populacional demográfico demonstrado pelo IBGE. A ponderação da amostra ocorrerá com relação as variáveis SEXO, IDADE e ESCOLARIDADE, tendo como fonte o TSE, onde 47% do eleitorado do sexo masculino, e 53% do sexo feminino; para idades, temos 18% dos eleitores até 24 anos, 24% de 25 a 34 anos, 20% de 35 a 44 anos e 38% com 45 anos ou mais; para escolaridade, temos 91% até nível médio e 9% com ensino superior. Para a variável NÍVEL ECONÔMICO, será utilizada a distribuição proporcional da renda familiar, fonte IBGE, 32% até 1 SM, 55% de 1 a 5 SM, 13% acima de 6 SM. Caso ocorram diferenças superiores a 2,95 pontos percentuais para as variáveis em questão entre o previsto na amostra e a coleta de dados realizada, será realizado um ajuste na ponderação para correção das mesmas. FONTES UTILIZADAS: TSE 2014/CENSO 2010. A coleta de dados será realizada em sorteio Múltiplo Aleatórios, em quatro estágios (Município, Bairro, Rua e Ponto Amostral) sobre os municípios e localidades definidos para a amostra. O Erro Amostral, máximo a ser atingido é de 2,95%, levando em consideração o tamanho da amostra de 1103 no uso do cálculo amostral pela proporção [estimador = p e (1-p)], usando variância máxima. O que significa que sobre as variáveis dos quesitos de interesse, esse erro deverá ser no máximo 2,95%. Sendo a confiança estabelecida em 95%. ";"O sistema de controle interno ocorrerá a partir do início da etapa de campo, onde os entrevistadores são fiscalizados permanentemente por coordenadores de campo. Com verificação aleatória de 10% dos questionários aplicados. ";"Os dados referente aos municípios e bairros onde será realizada a pesquisa para o Estado da Paraíba, onde foram realizadas as entrevistas com a aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º § 5º da Resolução 23.400/2013 do TSE. 
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000222014";"2014-08-27 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-08-28 00:00:00";"2014-08-31 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"54322,80";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico nos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 24% (feminino) 21%; 25-34 (masculino) 25% (feminino) 23%; 35-44 (masculino) 19% (feminino) 20%; 45-54 (masculino) 16% (feminino) 17%; 55 e+ (masculino) 16% (feminino) 19%; INSTRUÇÃO: Até Ensino Médio (masculino) 85% (feminino) 81%; Ensino Superior (masculino) 15% (feminino) 19%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 77% (feminino) 51%; Não Economicamente ativo (masculino) 23% (feminino) 49%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado da Paraíba. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000372014";"2014-09-27 00:00:00";"#NE";"13358105000169";"6 Sigma Pesquisa e Consultoria Estatística Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-28 00:00:00";"2014-10-01 00:00:00";1103;"9461";"Alex Raia";"40000,00";"A metodologia empregada para a obtenção dos dados será a técnica de coleta direta Face to Face, utilizando- se como instrumento de investigação, formulário estruturado, levando em consideração a forma de escolha dos participantes da pesquisa como elementos da amostra. ";" No Plano Amostral será utilizada uma Amostra Probabilística, em vários níveis, com a finalidade de representar de forma mais fiel o público da questão, totalizando 1103 formulários coletados. A aleatorização da amostra será feita sobre a cobertura geográfica, representada por 51 municípios em todo o Estado da Paraíba, proporcional mediante o percentual populacional demográfico demonstrado pelo IBGE. A ponderação da amostra ocorrerá com relação as variáveis SEXO, IDADE e ESCOLARIDADE, tendo como fonte o TSE, onde 47% do eleitorado do sexo masculino, e 53% do sexo feminino; para idades, temos 18% dos eleitores até 24 anos, 24% de 25 a 34 anos, 20% de 35 a 44 anos e 38% com 45 anos ou mais; para escolaridade, temos 91% até nível médio e 9% com ensino superior. Para a variável NÍVEL ECONÔMICO, será utilizada a distribuição proporcional da renda familiar, fonte IBGE, 32% até 1 SM, 55% de 1 a 5 SM, 13% acima de 5 SM. Caso ocorram diferenças superiores a 2,95 pontos percentuais para as variáveis em questão entre o previsto na amostra e a coleta de dados realizada, será realizado um ajuste na ponderação para correção das mesmas. FONTES UTILIZADAS: TSE 2014/CENSO 2010. A coleta de dados será realizada em sorteio Múltiplo Aleatórios, em quatro estágios (Município, Bairro, Rua e Ponto Amostral) sobre os municípios e localidades definidos para a amostra. O Erro Amostral, máximo a ser atingido é de 2,95%, levando em consideração o tamanho da amostra de 1103 no uso do cálculo amostral pela proporção [estimador = p e (1-p)], usando variância máxima. O que significa que sobre as variáveis dos quesitos de interesse, esse erro deverá ser no máximo 2,95%. Sendo a confiança estabelecida em 95%. ";"O sistema de controle interno ocorrerá a partir do início da etapa de campo, onde os entrevistadores são fiscalizados permanentemente por coordenadores de campo. Com verificação aleatória de 10% dos questionários aplicados. ";"Os dados referente aos municípios e bairros onde será realizada a pesquisa para o Estado da Paraíba, onde foram realizadas as entrevistas com a aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º § 5º da Resolução 23.400/2013 do TSE. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000462014";"2014-10-12 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador";"2014-10-12 00:00:00";"2014-10-17 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"54322,80";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 24% (feminino) 21%; 25-34 (masculino) 25% (feminino) 23%; 35-44 (masculino) 19% (feminino) 20%; 45-54 (masculino) 16% (feminino) 17%; 55 e+ (masculino) 16% (feminino) 19%; INSTRUÇÃO: Até Ensino Médio (masculino) 85% (feminino) 81%; Ensino Superior (masculino)15% (feminino) 19%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 77% (feminino) 51%; Não Economicamente ativo (masculino) 23% (feminino) 49%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado da Paraíba. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000112014";"2014-06-07 00:00:00";"#NE";"10828442000184";"Olho D'água dos Bredos Ltda";"#NE";"Governador, Senador";"2014-05-31 00:00:00";"2014-06-05 00:00:00";1006;"6149-A";"Eduardo José Pereira da Costa";"25000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados junto a uma amostra representativa do eleitorado da Paraíba.";"Utilizou-se o método de amostragem estratificada proporcional de conglomerados selecionados com probabilidade proporcional ao tamanho (PPT) em 03 estágios. No primeiro estágio separam-se as mesorregiões do estado  usando-se o método PPT (probabilidade proporcional ao tamanho. No segundo estágio os conglomerados selecionados são os municípios com base no método PPT (probabilidade proporcional ao tamanho).  A medida de tamanho adotada para a seleção dos conglomerados é a população residente das mesorregiões e municípios, de acordo com dados censitários disponibilizados pelo IBGE. No terceiro estágio são definidas as cotas de sexo e idade conforme informações estatísticas disponibilizadas pelo TSE. As cotas referentes  à escolaridade e renda domiciliar são coletadas aleatoriamente nas respectivas áreas de coleta, tendo em vista a pouca confiabilidade dos dados disponíveis O controle das cotas é feito pela equipe de supervisores e pesquisadores que compõe a pesquisa:  Cota definidas para a pesquisa, quanto a sexo e idade: Masculino 47,8%%, Feminino 52,2%; 16 a 24 anos 17,5%, 25 a 34 anos 23,5%, 35 a 44 anos 20,4%, 45 a 59 anos 21,7%, mais de 60 anos 16,9%. Cotas coletadas na amostra quanto a escolaridade e renda domiciliar: Analfabeto/lê  e escreve 10,8%, Fundamental 43,1%, Médio 36,1%, Superior 10,0%; De 0 a 01 salário mínimo 41,7%, De 01 a 02 salários mínimos 30,9%, De 02 a 05 Salários mínimos 12,2%, Mais de 05 salários mínimos 15,2% . A amostra é composta por 1006 entrevistas aplicadas na população que tenha título de eleitor, more no estado da Paraíba e vote no estado da Paraíba. O intervalo de confiança estimado é de 95% para uma margem de erro para mais ou para menos de 3,1%";"Para realização da pesquisa, utilizaram-se uma equipe de entrevistadores e supervisores, contratados pelo Instituto. Todos devidamente treinados para execução do trabalho. Após a coleta das informações, 20% dos questionários aplicados foram submetidos à verificação de critérios, quanto a sua aplicação e adequação dos entrevistados ás variáveis das cotas amostrais.";"A área da pesquisa compreende o estado da Paraíba, composta por 04 (quatro) mesorregiões: Mata Paraibana, Sertão Paraibano, Borborema e Agreste Paraibano e os seguintes município: Santa Luzia, Patos, Juazeirinho, Picui, Cuité, Poçinhos, Remígio, Araruna, Cacimba de Dentro, Solânea, Lagoa Seca, Queimadas, Monteiro, Sumé, Taperoá, Boqueirão, Esperança, Alagoa Grande, Alagoa Nova, Areia, Bananeiras, Guarabira, Araçagi, Belém, Ingá, Itabaiana, Aroeiras, Catolé do Rocha, São Bento, Pombal, Sousa, Cajazeiras, São João do Rio Peixe, Uiraúna, Itaporanga, Conceição, Piancó, Coremas, Princesa Isabel, Itapororoca, Mamanguape, Rio Tinto, Alhandra, Caaporã, Pedras de Fogo, Pitimbu, Cruz do Espírito Santo, Mari, Sapé, Bayeux, Cabedelo, Conde, Santa Rita, Campina Grande e João Pessoa"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000422014";"2014-09-29 00:00:00";"#NE";"13358105000169";"6 Sigma Pesquisa e Consultoria Estatística Ltda";"#NE";"Governador, Senador";"2014-10-02 00:00:00";"2014-10-03 00:00:00";812;"9461";"Alex Raia";"20000,00";"A metodologia empregada para a obtenção dos dados será a técnica de coleta direta Face to Face, utilizando- se como instrumento de investigação, formulário estruturado, levando em consideração a forma de escolha dos participantes da pesquisa como elementos da amostra. ";"No Plano Amostral será utilizada uma Amostra Probabilística, em vários níveis, com a finalidade de representar de forma mais fiel o público da questão, totalizando 812 formulários coletados. A aleatorização da amostra será feita sobre a cobertura geográfica, representada por 40 municípios em todo o Estado da Paraíba, proporcional mediante o percentual populacional demográfico demonstrado pelo IBGE. A ponderação da amostra ocorrerá com relação as variáveis SEXO, IDADE e ESCOLARIDADE, tendo como fonte o TSE, onde 47% do eleitorado do sexo masculino, e 53% do sexo feminino; para idades, temos 18% dos eleitores até 24 anos, 24% de 25 a 34 anos, 20% de 35 a 44 anos e 38% com 45 anos ou mais; para escolaridade, temos 91% até nível médio e 9% com ensino superior. Para a variável NÍVEL ECONÔMICO, será utilizada a distribuição proporcional da renda familiar, fonte IBGE, 32% até 1 SM, 55% de 1 a 5 SM, 13% acima de 5 SM. Caso ocorram diferenças superiores a 3,00 pontos percentuais para as variáveis em questão entre o previsto na amostra e a coleta de dados realizada, será realizado um ajuste na ponderação para correção das mesmas. FONTES UTILIZADAS: TSE 2014/CENSO 2010. A coleta de dados será realizada em sorteio Múltiplo Aleatórios, em quatro estágios (Município, Bairro, Rua e Ponto Amostral) sobre os municípios e localidades definidos para a amostra. O Erro Amostral, máximo a ser atingido é de 3,00%, levando em consideração o tamanho da amostra de 812 no uso do cálculo amostral pela proporção [estimador = p e (1-p)]. O que significa que sobre as variáveis dos quesitos de interesse, esse erro deverá ser no máximo 3,00%. Sendo a confiança estabelecida em 95%. ";"O sistema de controle interno ocorrerá a partir do início da etapa de campo, onde os entrevistadores são fiscalizados permanentemente por coordenadores de campo. Com verificação aleatória de 10% dos questionários aplicados. ";"Os dados referente aos municípios e bairros onde será realizada a pesquisa para o Estado da Paraíba, onde foram realizadas as entrevistas com a aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º § 5º da Resolução 23.400/2013 do TSE. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000022014";"2014-03-22 00:00:00";"#NE";"04843093000177";"CONSULTORIA E PESQUISA TECNICA LTDA";"#NE";"Governador, Senador";"2014-03-14 00:00:00";"2014-03-16 00:00:00";2000;"6ª região nº 7861";"Paulo de Tarso Teixeira Ferreira";"20000,00";"A Metodologia empregada  para  a  pesquisa segue a Técnica de  Observação  Direta, referente ao Método Quantitativo através da realização de survey de opinião, utilizando-se  como  instrumento  de  investigação   Formulário   Semiestruturado, para entrevistas individualizadas, domiciliares  e/ou locais preestabelecidos.";"Quanto ao Plano Amostral, foi utilizada uma Amostra Probabilística, Casual Simples de 2000 entrevistas, com a finalidade de cobertura geográfica no estado da Paraíba-PB, abrangendo sete regiões, representadas por 67 municípios, em áreas urbanas e rurais, com partilha proporcional (Método estatístico PPT = Partilha Proporcional ao Tamanho) sobre o potencial eleitoral de cada uma das regiões. 
    A estratificação da amostra ocorre com relação as variáveis sexo, informado pelo TSE, sendo 47% do eleitorado do sexo masculino, e 53% do sexo feminino, e sobre as idades, sendo 18% dos eleitores até 24 anos, 24% de 25 a 34 anos, 20% de 35 a 44 anos,  21% de 45 a 59 anos, e 17% com mais de 59 anos. 
   Com relação  ao  nível econômico  do entrevistado e grau de escolaridade, por faixa de idades, foram estimados por dados do IBGE   (Proporção  ou  ponderação,  não existente no TRE nem  IBGE sobre as faixas de eleitores a partir de 16 anos), sendo atingidos e identificados pela cobertura geográfica ampla da amostra, e pela Técnica de coleta  de  dados   que  é  de  Sorteios  Múltiplos   Aleatórios, em quatro  estágios (bairro/conglomerado, rua,  domicílio/local  pré-estabelecido,  ponto amostral), sobre  as regiões  e municípios definidos para a amostra. 
O Erro Amostral máximo a ser atingido é de 2.0%, levando-se em consideração o tamanho da amostra, no uso do cálculo amostral pela proporção [estimador = p e (1-p)], usando variância máxima. O que significa que sobre as variáveis dos quesitos de interesse, esse erro deverá ser no máximo 2.0%,  que ocorre, significa dizer que o percentual observado para a pergunta que representa o objetivo principal da pesquisa, no caso a preferência para Governador da Paraíba na próxima eleição, pode variar para mais ou para menos em 2.0%, ou seja, um INTERVALO DE CONFIANÇA com esse percentual, tendo essa afirmação uma CONFIABILIDADE DE 95%.  
";"O sistema de controle interno ocorre a partir do início da etapa de campo, onde os entrevistadores, exclusivos da própria Consult, são fiscalizados permanentemente por coordenadores de campo, e são realizadas abordagens pós-entrevistas, e visitas ou abordagem retorno sobre 15% da amostra.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PB";"PB";"PARAÍBA";"PB000392014";"2014-09-29 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-29 00:00:00";"2014-10-04 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"54322,80";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:IDADE: 16-24 (masculino) 24% (feminino) 21%; 25-34 (masculino) 25% (feminino) 23%; 35-44 (masculino) 19% (feminino) 20%; 45-54 (masculino) 16% (feminino) 17%; 55 e+ (masculino) 16% (feminino) 19%; INSTRUÇÃO: Até Ensino Médio (masculino) 85% (feminino) 81%; Ensino Superior (masculino) 15% (feminino) 19%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 77% (feminino) 51%; Não Economicamente ativo (masculino) 23% (feminino) 49%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado da Paraíba. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
