"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000292014";"2014-09-18 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-18 00:00:00";"2014-09-23 00:00:00";2002;"6208-A";"Márcia Cavallari Nunes";"133933,80";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:IDADE: 16-24 (masculino) 21% (feminino) 19%; 25-34 (masculino) 25% (feminino) 25%; 35-44 (masculino) 21% (feminino) 20%; 45-54 (masculino) 16% (feminino) 16%; 55 e+ (masculino) 18% (feminino) 20%; INSTRUÇÃO: Até Ensino Médio (masculino) 88% (feminino) 85%; Ensino Superior (masculino) 12% (feminino) 15%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 76% (feminino) 46%; Não Economicamente ativo (masculino) 24% (feminino) 54%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 2 (dois) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado de Pernambuco. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000122014";"2014-07-25 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-07-26 00:00:00";"2014-07-30 00:00:00";1204;"6208-A";"Márcia Cavallari Nunes";"80547,60";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 21% (feminino) 19%; 25-34 (masculino) 24% (feminino) 25%; 35-44 (masculino) 20% (feminino) 19%; 45-54 (masculino) 15% (feminino) 16%; 55 e+ (masculino) 19% (feminino) 21%; INSTRUÇÃO: Até Ensino Médio (masculino) 88% (feminino) 85%; Ensino Superior (masculino) 12% (feminino) 15%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 74% (feminino) 45%; Não Economicamente ativo (masculino) 26% (feminino) 55%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2012 | Entre outras.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistadores aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado de Pernambuco. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §5º da Resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000222014";"2014-09-04 00:00:00";"#NE";"13807655000118";"Instituto de Pesquisa Maurício de Nassau";"#NE";"Governador, Senador";"2014-09-08 00:00:00";"2014-09-09 00:00:00";2480;"8394";"Carlos Antônio Gadelha de Araújo Júnior";"45000,00";"Pesquisa quantitativa, realizada através de entrevistas pessoais utilizando questionários de pesquisa estruturados aplicados à uma amostra representativa do eleitorado do estado de Pernambuco. ";"O plano de amostragem utilizado é o de amostragem aleatória estratificada de conglomerados em três estágios. Para a estratificação são consideradas as mesorregiões do estado e a capital. No primeiro estágio as unidades amostrais são os municípios (conglomerados). No segundo as unidades amostrais são os setores censitários e no terceiro estágio são as pessoas residentes nos setores selecionados. Para a seleção dos entrevistados será utilizado o sistema de cotas amostrais segundo Sexo e Grupos de idade. A seleção dos municípios e dos setores censitários foi realizada através de sorteio com probabilidade proporcional ao tamanho. A estratificação da amostra é realizada com base nos seguintes dados: Cidade do Recife-18,3%, Região Metropolitana,excluindo a capital-23,9%, Zona da Mata-15,3%, Agreste-25,2%, Sertão-11,3%, São Francisco(5,9%). A amostra é do tipo auto ponderada quanto às variáveis sexo, idade, grau de instrução e nível econômico do entrevistado. O número de entrevistas foi estabelecido com base em uma amostragem aleatória simples com um nível estimado de 95% de confiança e uma margem de erro estimada de 2,0 pontos percentuais sobre os resultados encontrados no total da amostra. ";"Utilizaremos nossa equipe treinada e especializada para fazer a verificação de 20% dos questionários aplicados. Utilização dos supervisores por região, fiscalização na entrega dos questionários e implementação computacional de planos de consistência para digitação e codificação de questionários. ";"Os municípios sorteados para a coleta dos dados foram Recife, Jaboatão dos Guararapes, Olinda, Cabo de Santo Agostinho, Igarassu, Ipojuca, Vitória de Santo Antão, Goiana, Palmares, Caruaru, Garanhuns, Belo Jardim, Limoeiro, Pesqueira, Lajedo, Araripina, Arcoverde, Salgueiro, Petrolina, Cabrobó."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000392014";"2014-09-29 00:00:00";"#NE";"69944171000175";"IPEC - INSTITUTO DE PESQUISAS CIENTÍFICAS DE PERNAMBUCO";"#NE";"Governador, Senador";"2014-09-30 00:00:00";"2014-10-04 00:00:00";264;" CONRE 6ª Região nº 8786";" Edivaldo Silvestre Galindo Júnior";"7920,00";"
Pesquisa de natureza quantitativa que se realiza por meio de entrevistas individuais, diretas e pessoais, através de questionário devidamente elaborado, junto a uma amostra representativa da população objeto de estudo (eleitorado de Arcoverde/PE).

";"Plano de Amostragem representativo do eleitorado objeto de estudo, desenvolvido em observância às estatísticas oficiais atualizadas (IBGE e TSE). Inicialmente a amostra é estratificada em áreas geográficas específicas, objetivando a otimização da distribuição espacial. No primeiro estágio de seleção, em regra, faz-se um sorteio aleatório entre os setores censitários que formam cada área supramencionada, utilizando-se o método PPT (Probabilidade Proporcional ao Tamanho) sistemático. Cada uma destas unidades territoriais de coleta contribui na proporção do seu tamanho para formação da amostra. No segundo estágio, as unidades amostrais (eleitores) serão selecionadas aleatoriamente dentro dos setores censitários sorteados, e sua identificação ocorrerá em estrita obediência ao sistema proporcional de cotas amostrais definidas em função das variáveis significativas previstas nesta legislação eleitoral, a saber, sexo: [(masculino, 44%), (feminino, 56%)]; idade [(16/24 anos, 18%), (25/34 anos, 24%), (35/44 anos, 20%), (45/59 anos, 23%), (60/++ anos, 15%)], instrução [(até ensino médio completo, 84%), (ensino superior incompleto e mais, 16%)] e renda familiar média mensal [(até 1 salário mínimo, 41%), (mais de 1 salário mínimo, 59%)]. Pela metodologia empregada a amostra é inteiramente autoponderada, ou seja, planejada de tal forma que a estrutura de proporções nela contida seja o espelho dos parâmetros oficiais existentes. Haverá ponderação para as variáveis, sexo e idade, na hipótese de diferença significativa (>2%) entre os dados levantados em campo e os previstos na amostra. Quanto às variáveis, grau de instrução e nível econômico, tem-se como fator de ponderação (1, para os dados coletados em campo). Serão 264 entrevistas, aplicadas junto à população eleitoral e residente no município de Arcoverde/PE, nas zonas urbana [(91%) - sede municipal] e rural [(9%)], às quais delimitam a área física de realização da coleta. O Intervalo de Confiança da pesquisa é a proporção ou probabilidade ( P ) estimada mais a variação, para mais ou para menos, da margem de erro máxima de 6,0%, calculados para um nível de confiança de 95%, e, consequentemente, uma significância de 5%.";"A pesquisa de campo é realizada por uma equipe do IPEC especialmente preparada e qualificada para esse fim. O sistema interno de controle e verificação opera-se, a priori, pela estrita observância das fases do método estatístico, com base na correção crítica e unitária de cada instrumento de coleta, quanto a seu correto preenchimento e a inteira obediência ao plano amostral individualizado que dispõe cada pesquisador. Os questionários são reaplicados na proporção de até 20% do total da amostra, seja pessoalmente, no próprio tempo de operação do campo, seja depois, via telefone. Há também controle eletrônico através de sistema de processamentos de dados que critica quaisquer inconsistências quanto aos dados de entrada, além de possível análise técnica inferencial para validação científica da pesquisa.

";"
A área física de realização da pesquisa compreende o município de Arcoverde/PE, formado pelos 91 setores censitários com suas respectivas populações, consoante descritos no indicador IBGE – CENSO/2010. Para consulta, ver endereço eletrônico: http://www.ibge.gov.br/. 

"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000212014";"2014-08-29 00:00:00";"#NE";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NE";"Governador, Senador";"2014-09-02 00:00:00";"2014-09-03 00:00:00";1216;"72.49A";"Renata Nunes César";"97280,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto do eleitorado do Estado de Pernambuco com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do Estado de Pernambuco, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.216 entrevistas. Técnica de amostragem: A amostra é estratificada por porte dos municípios e natureza dos municípios (região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Nessa amostra, o estrato referente à capital foi desproporcionalizado para permitir detalhamento. Nos resultados finais, as corretas proporções serão restabelecidas através de ponderação. A amostra prevista é de 1.216 questionários, sendo 416 na capital. Os dados utilizados para definição e seleção da amostra são baseados no TSE (eleitorado julho 2014) e IBGE (Censo 2010 e Estimativas 2013). Os dados relativos a sexo e faixa etária são: Sexo masculino 47%, feminino: 53%, 16 a 24 anos 18%, 25 a 34 anos 24%, 35 a 44 anos 20%, 45 a 59 anos 22% e 60 anos ou mais 16%. Ponderação dos resultados: No processamento dos dados é realizada ponderação referente à proporção de cada cidade na amostra para correta representação. Está prevista a eventual ponderação para correção nos tamanhos dos segmentos da tabela acima considerando as variáveis sexo e faixa etária. Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Área física: Serão realizadas entrevistas em 43 municípios, localizados no Estado de Pernambuco. Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A maior parte da coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente, até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.400/2013 do TSE, no art.2º §5º."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000432014";"2014-09-29 00:00:00";"#NE";"10828442000184";"Olho D'água dos Bredos Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-10-03 00:00:00";"2014-10-03 00:00:00";400;"6149-A";"Eduardo José Pereira da Costa";"5000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturado junto a uma amostra representativa do eleitorado em estudo. Eleitorado do município de Arcoverde.";"Utilizou-se o método de amostragem estratificada proporcional em 03 estágios. No primeiro estágio se distribui de forma proporcional as quantidades de entrevistas em todos os  Distritos censitários do município (Distrito 05 (urbano/sede do município e Distrito 05 rural ) . No segundo estágio são distribuídas de forma proporcional as entrevistas  nos setores censitários que compõe os distritos. No terceiro e último estágio dentro dos setores censitários os entrevistados são selecionados de forma aleatória para responderem o questionário da pesquisa de acordo com as cotas de sexo, idade, escolaridade e renda domiciliar.  A medida de tamanho adotada para a distribuição das entrevistas  nos Distritos e setores é a população residente nessas áreas, de acordo com dados censitários disponibilizados pelo Instituto Brasileiro de geografia e estatística (IBGE). As cotas de sexo, idade, escolaridade e renda domiciliar são definidas com base em informações estatísticas disponibilizadas pelo Tribunal Superior eleitoral (TSE) e Instituto Brasileiro de geografia e estatística(IBGE). O controle das cotas sexo, idade, escolaridade e renda domiciliar é feito pela equipe de supervisores e pesquisadores que compõe a pesquisa. Perfil da amostra: Masculino 44%, Feminino 56%; 16 a 24 anos 18%, 25 a 34 anos 24%, 35 a 44 anos 20%, 45 a 59 anos 23%, 60 anos ou mais 15%; Até fundamental completo 47%, Ensino médio e superior completos e incompletos 53%; Até 02 salários mínimos 62%, de 02 a 05 salários mínimos 25% e mais de 05 salários mínimos 13%..  Estão previstas eventuais ponderações para as variáveis sexo e idade caso a diferença entre o previsto na amostra e a coleta dos dados seja superior a 3 pontos percentuais; para as variáveis escolaridade e renda domiciliar o fator previsto para ponderação é 1 (resultados obtidos em campo) . A amostra é composta por 400 entrevistas aplicadas na população que tenha título de eleitor, more e vote no município de Arcoverde e distribuída da seguinte forma: área urbana 91% e área rural 9%. O intervalo de confiança estimado é de 95% para uma margem de erro para mais ou para menos de 5,0%";"Para realização da pesquisa, utilizaram-se uma equipe de entrevistadores e supervisores, contratados pelo Instituto. Todos devidamente treinados para execução do trabalho. Após a coleta das informações, 20% dos questionários aplicados foram submetidos à verificação de critérios, quanto a sua aplicação e adequação dos entrevistados ás variáveis das cotas amostrais.";"A área da pesquisa compreende o município de Arcoverde, composto pelos Distritos censitários 05 – Sede do município ( setores censitários 01 a 52 e 65 a 87) e Distrito censitário 05 - Rural (Setores censitários 53 a 64, 88 a 89 e 91). A relação de bairros e localidades rurais pesquisadas será encaminhada até o 7° dia seguinte a data de registro da pesquisa, conforme a resolução 23.400/2013 do TSE, no artigo 2° inciso 5°"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000452014";"2014-09-30 00:00:00";"#NE";"10828442000184";"Olho D'água dos Bredos Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-10-05 00:00:00";"2014-10-05 00:00:00";400;"6149-A";"Eduardo José Pereira da Costa";"5000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturado junto a uma amostra representativa do eleitorado em estudo. Eleitorado do município de Arcoverde.";"Utilizou-se o método de amostragem estratificada proporcional em 02 estágios. No primeiro estágio se distribui de forma proporcional as entrevistas em todos os locais de votação do município de Arcoverde, tomando por base o número de eleitores de cada um deles de acordo com dados colhidos junto ao cartório eleitoral do município de Arcoverde. No segundo e último estágio dentro dos locais de votação os entrevistados, que já tenham votado são selecionados de forma aleatória para responderem o questionário da pesquisa de acordo com as cotas de sexo, idade, escolaridade e renda domiciliar. As cotas de sexo, idade, escolaridade e renda domiciliar são definidas com base em informações estatísticas disponibilizadas pelo Tribunal Superior eleitoral (TSE) e Instituto Brasileiro de geografia e estatística (IBGE). O controle das cotas sexo, idade, escolaridade e renda domiciliar é feito pela equipe de supervisores e pesquisadores que compõe a pesquisa. Perfil da amostra: Masculino 44%, Feminino 56%; 16 a 24 anos 18%, 25 a 34 anos 24%, 35 a 44 anos 20%, 45 a 59 anos 23%, 60 anos ou mais 15%; Até fundamental completo 47%, Ensino médio e superior completos e incompletos 53%; Até 02 salários mínimos 62%, de 02 a 05 salários mínimos 25% e mais de 05 salários mínimos 13%..  Estão previstas eventuais ponderações para a variáveis sexo e idade caso a diferença entre o previsto na amostra e a coleta dos dados seja superior a 3 pontos percentuais, para as variáveis escolaridade e renda domiciliar o fator previsto para ponderação é 1 (resultados obtidos em campo) . A amostra é composta por 400 entrevistas aplicadas na população eleitora do município de Arcoverde. O intervalo de confiança estimado é de 95% para uma margem de erro para mais ou para menos de 5,0%";"Para realização da pesquisa, utilizaram-se uma equipe de entrevistadores e supervisores, contratados pelo Instituto. Todos devidamente treinados para execução do trabalho. Após a coleta das informações, 20% dos questionários aplicados foram submetidos à verificação de critérios, quanto a sua aplicação e adequação dos entrevistados ás variáveis das cotas amostrais.
";"A área da pesquisa compreende o município de Arcoverde, composto por todos os prédios que abrigam secções eleitorais (EREMA/CAIC, Colégio Antonio Japiassu, Colégio Diocesano Cardeal Arcoverde, Colégio Carlos Rios, Colégio Imaculada Conceição, Colégio Rio Branco, DNOCS, Escola Euclides da Cunha, Agência do Trabalho, Secretaria de Serviços públicos, Escola Gumercindo Cavalcanti, SESC, Escola São Domingos, Escola Jornalista Edson Régis, AESA, Escola Industrial Arcoverde, Escola Presidente Médici, Escola Severina de Souza Bradley, Clube de Ipojuca, Posto de Saúde de Ipojuca, Grupo Escolar de Ipojuca, INSS, Escola Municipal Sebastião Vicente Ferreira, Escola Municipal Manoel Lumba de Oliveira, Escola Municipal Secundina Honório, Escola Lions Antonio Moreno, Fundação Terra, Escola Santa Cecília, Escola Municipal de Ipojuca, Escola Monsenhor José Kerly, Escola Adalgisa Cavalcanti Barros Correia, Escola São Domingos, Escola Olga Gueiros Leite, Escola Freire Filho, Centro de Educação Física, Escola Municipal José Medeiros da Fonseca, Escola Municipal José Henrique  Viana, Escola Fundação Terra, Escola Municipal João Alexandre, Escola Noé Nunes Ferraz e Escola Municipal Barão do Rio Branco)"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000252014";"2014-09-11 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-11 00:00:00";"2014-09-16 00:00:00";2002;"6208-A";"Márcia Cavallari Nunes";"133933,80";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 21% (feminino) 19%; 25-34 (masculino) 25% (feminino) 25%; 35-44 (masculino) 21% (feminino) 20%; 45-54 (masculino) 16% (feminino) 16%; 55 e+ (masculino) 18% (feminino) 20%; INSTRUÇÃO: Até Ensino Médio (masculino) 88% (feminino) 85%; Ensino Superior (masculino) 12% (feminino) 15%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 76% (feminino) 46%; Não Economicamente ativo (masculino) 24% (feminino) 54%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 2 (dois) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado de Pernambuco. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000012014";"2014-03-13 00:00:00";"#NE";"00377711000180";"Jacqueline de souza freire-me";"#NE";"Governador, Deputado Federal, Deputado Estadual";"2014-03-14 00:00:00";"2014-03-20 00:00:00";400;"8805";"JACQUELINE DE SOUZA FREIRE";"6000,00";"Pesquisa quantitativa através de entrevistas pessoais com utilização de questionário elaborado de acordo com os objetivos da pesquisa. As entrevistas são realizadas pessoalmente por uma equipe de entrevistadores contratados pela DIP, devidamente treinada para abordagem deste tipo de público.
CONTROLE DE QUALIDADE: Fiscalização de forma presencial em 100% dos questionários. ";"UNIVERSO: Eleitores com 16 anos ou mais da área de estudo.
AMOSTRA: As áreas foram selecionadas probabilisticamente através do método de Probabilidade Proporcional ao Tamanho sistemático, tendo como referência a base de dados do TSE/2011, número de eleitores do município e a população residente na zona rural e urbana com base no IBGE/2000
VARIÁREIS PARA COTA AMOSTRAL: SEXO: Masculino e Feminino; FAIXA ETÁRIA: 16 a 20 anos, 21 a 24 anos, 25 a 34 anos, 35 a 44 anos, 45 a 59 anos, 60 a 69 anos e acima de 69 anos; ZONA DE RESIDÊNCIA: Urbana e Rural.
FONTE DE DADOS PARA ELABORAÇÃO DA AMOSTRA: Censo 2000 e TSE 2011.
NÚMERO DE ENTREVISTAS: 400 entrevistas
MARGEM DE ERRO: O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada é de 5 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.  
";"Há filtragem em todos os questionários após a realização das entrevistas.
Fiscalização de forma presencial em 100% dos questionários.";"ZONA URBANA: 272 entrevistas
ZONA RURAL: 128 entrevistas
TOTAL: 400 ENTREVISTAS  "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PE";"PE";"PERNAMBUCO";"PE000232014";"2014-09-04 00:00:00";"#NE";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NE";"Governador, Senador";"2014-09-08 00:00:00";"2014-09-09 00:00:00";1216;"72.49A";"Renata Nunes César";"97280,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto do eleitorado do Estado de Pernambuco com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do Estado de Pernambuco, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.216 entrevistas. Técnica de amostragem: A amostra é estratificada por porte dos municípios e natureza dos municípios (região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Nessa amostra, o estrato referente à capital foi desproporcionalizado para permitir detalhamento. Nos resultados finais, as corretas proporções serão restabelecidas através de ponderação. A amostra prevista é de 1.216 questionários, sendo 416 na capital. Os dados utilizados para definição e seleção da amostra são baseados no TSE (eleitorado julho 2014) e IBGE (Censo 2010 e Estimativas 2013). Os dados relativos a sexo e faixa etária são: Sexo masculino 47%, feminino: 53%, 16 a 24 anos 18%, 25 a 34 anos 24%, 35 a 44 anos 20%, 45 a 59 anos 22% e 60 anos ou mais 16%. Ponderação dos resultados: No processamento dos dados é realizada ponderação referente à proporção de cada cidade na amostra para correta representação. Está prevista a eventual ponderação para correção nos tamanhos dos segmentos da tabela acima considerando as variáveis sexo e faixa etária. Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Área física: Serão realizadas entrevistas em 43 municípios, localizados no Estado de Pernambuco. Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A maior parte da coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente, até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.400/2013 do TSE, no art.2º §5º."
