"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI000012014";"2014-01-08 00:00:00";"#NE";"11267907000138";"Regional Mídias Associadas Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-01-09 00:00:00";"2014-01-10 00:00:00";500;"9356";"Laércio de Sousa Araújo";"2800,00";"Eleitores com 16 ou mais anos de idade com domicílio eleitoral no município de Teresina - PI, na zona urbana e rural. Trata-se de uma pesquisa preferencialmente domiciliar e individual através de uma amostra não probabilística por cota de sexo, faixa etária, nível de instrução e faixa de renda. ";"PONDERAÇÕES TERESINA ZONA GÊNERO URBANA	 RURAL	 MASCULINO FEMININO COTA	96,30%	COTA	3,70%	COTA	45,50%	COTA	54,50% N	481	N	19	N	227	N	273 ESCOLARIDADE	 COTA	N	FAIXA ETÁRIA	COTA	 N ANALFABETO 4,71% 24 até 24 anos 17,58% 88 LÊ E ESCREVE 12,08% 60 25 a 34 anos 27,14% 135 FUND. INC/COMP 37,46% 187 35 a 44 anos 20,31% 102 MÉDIO INC/COMP 38,54% 193 45 a 59 anos 21,74% 109 SUPERIOR INC/COMP 7,16% 36 60 ou + anos 13,23% 66 FAIXA DE RENDA	 COTA	 N ATÉ 1 SALÁRIO MÍNIMO 52,97% 265 > 1 A 2 SALÁRIOS MÍNIMOS 23,47% 117 > 2 A 5 SALÁRIOS MÍNIMOS 14,55% 73 > 5 A 10 SALÁRIOS MÍNIMOS 5,86% 29 > 10 SALÁRIOS MÍNIMOS	 3,15% 16 GRAU DE CONFIANÇA = 95% E MARGEM DE ERRO = 4,38% ";" Checagem pelo supervisor em pelo menos 20% dos questionários em campo e em 100% dos questionários pela coordenação/equipe central internamente. ";"Centro, Zona Leste: Ininga, Fátima, Planalto, São Cristovão, São João, Samapi, Santa Isabel, Vale Quem Tem, Verde Lar, Piçarreira, Satélite, Pedra Mole, Taquari, União Bandeirante, Tabajaras. Zona Norte: Aeroporto, Buenos Aires, Memorare, Mocambinho, Primavera, Real Copagre, Água Mineral, São Francisco, Acarape, Mafrense, Matadouro, Matinha, Parque Alvorada, São Joaquim, Nova Brasília, Aroeiras, Cidade Industrial, Vila Operária. Zona Sul: Cristo Rei, Ilhotas, Monte Castelo, Vermelha, São Pedro, Macaúba, Três Andares, Lourival Parente, Promorar, Saci, Parque Piauí, Bela Vista, Angelim, Esplanada, Santa Cruz, Santo Antônio. Zona Sudeste: Dirceu I e II, Renascença I e II, Extrema, Trancredo Neves, Monte Orébio, Todos os Santos, Gurupi, Novo Horizonte, Parque Ideal, Renascença, Colorado, São Sebastião e Zona Rural: São Vicente, Santa Teresa, Taboca do Pau Ferrado e Chapadinha Sul. 
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI000202014";"2014-03-04 00:00:00";"#NE";"11267907000138";"Regional Mídias Associadas Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-03-06 00:00:00";"2014-03-07 00:00:00";700;"5102";"PAULO RUBENS OLIVEIRA JALES DE CARVALHO";"2800,00";"Eleitores com 16 ou mais anos de idade com domicílio eleitoral no município de Teresina - PI, na zona urbana e rural. Trata-se de uma pesquisa preferencialmente domiciliar e individual através de uma amostra não probabilística por cota de sexo, faixa etária, nível de instrução e faixa de renda";"PONDERAÇÕES TERESINA ZONA GÊNERO URBANA RURAL MASCULINO FEMININO COTA 96,30% COTA 3,70% COTA 45,50% COTA 54,50% N 481 N 19 N 227 N 273 ESCOLARIDADE COTA N FAIXA ETÁRIA COTA N ANALFABETO 4,71% 24 até 24 anos 17,58% 88 LÊ E ESCREVE 12,08% 60 25 a 34 anos 27,14% 135 FUND. INC/COMP 37,46% 187 35 a 44 anos 20,31% 102 MÉDIO INC/COMP 38,54% 193 45 a 59 anos 21,74% 109 SUPERIOR INC/COMP 7,16% 36 60 ou + anos 13,23% 66 FAIXA DE RENDA COTA N ATÉ 1 SALÁRIO MÍNIMO 52,97% 265 > 1 A 2 SALÁRIOS MÍNIMOS 23,47% 117 > 2 A 5 SALÁRIOS MÍNIMOS 14,55% 73 > 5 A 10 SALÁRIOS MÍNIMOS 5,86% 29 > 10 SALÁRIOS MÍNIMOS 3,15% 16 GRAU DE CONFIANÇA = 95% E MARGEM DE ERRO = 3,7% ";" Checagem pelo supervisor em pelo menos 20% dos questionários em campo e em 100% dos questionários pela coordenação/equipe central internamente. 
";"Centro, Zona Leste: Ininga, Fátima, Planalto, São Cristovão, São João, Samapi, Santa Isabel, Vale Quem Tem, Verde Lar, Piçarreira, Satélite, Pedra Mole, Taquari, União Bandeirante, Tabajaras. Zona Norte: Aeroporto, Buenos Aires, Memorare, Mocambinho, Primavera, Real Copagre, Água Mineral, São Francisco, Acarape, Mafrense, Matadouro, Matinha, Parque Alvorada, São Joaquim, Nova Brasília, Aroeiras, Cidade Industrial, Vila Operária. Zona Sul: Cristo Rei, Ilhotas, Monte Castelo, Vermelha, São Pedro, Macaúba, Três Andares, Lourival Parente, Promorar, Saci, Parque Piauí, Bela Vista, Angelim, Esplanada, Santa Cruz, Santo Antônio. Zona Sudeste: Dirceu I e II, Renascença I e II, Extrema, Trancredo Neves, Monte Orébio, Todos os Santos, Gurupi, Novo Horizonte, Parque Ideal, Renascença, Colorado, São Sebastião e Zona Rural: São Vicente, Santa Teresa, Taboca do Pau Ferrado e Chapadinha Sul.
TERESINA - PI"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI000482014";"2014-05-29 00:00:00";"#NE";"11267907000138";"Regional Mídias Associadas Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-05-31 00:00:00";"2014-06-01 00:00:00";300;"9356";"LAÉRCIO DE SOUSA ARAUJO";"2000,00";"Refere-se a uma amostra Não–Probabilística, onde as cotas de sexo, faixa etária, escolaridade e renda são retiradas de acordo com o referencial disponível na página do TSE – estatística do eleitorado – do município citado acima e de dados utilizados no IBGE. A amostra constituíra de eleitores com mais de 16 anos e se dará no sistema “porta a porta”, salteando os domicílios, garantindo a aleatoriedade dos dados, dando uma margem bastante confiável. A amostra envolverá toda a cidade, sendo aplicados 300 questionários, percorrendo a Zona Urbana e Rural com Intervalo de confiança de 95% e margem de erro de 5,66%. ";"Definição do Plano Amostral. PONDERAÇÃO: ZONA URBANA 120/40% RURAL 180/60%; cota SEXO MASCULINO 154/51,26% FEMININO 146/48,64%; cota FAIXA ETÁRIA até 24 anos 67; de 25 a 34–77; de 35 a 44-55 ; 45 a 59-56; + 60-45; cota ESCOLARIDADE ANALFABETO 45; LÊ E ESCREVE 127; 1º GRAU 81; 2º GRAU 42; 3º GRAU 5; RENDA ATÉ 1 SÁLARIO 150; 2 A 3 SÁLARIOS 95; 3 A 4 SÁLARIOS 47; DE 4 A 5 SALÁRIOS 5; DE MAIS DE 5 SALÁRIOS 3. ";"A amostra contará com a participação de Pesquisadores e supervisor, externo e na parte interna de 1 Estatístico e 1 Coordenador geral, perfazendo um total de 7 participantes. São checados em campo aproximadamente 20% dos formulários (pessoalmente e via fone) e 100% quando da tabulação dos dados, pelos digitadores.";"Centro,Cohabs, Guabiraba, Cajueirão, Itararé, Igarapé, Novo Oriente, São Domingos, Barrocão, Bom Lugar, Capim Grosso, Cardoso, Candeeiros, Chapada do Barrocão, Dnocs e Extremas."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI000552014";"2014-06-14 00:00:00";"#NE";"11267907000138";"Regional Mídias Associadas Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-06-09 00:00:00";"2014-06-10 00:00:00";412;"5102";"PAULO RUBENS OLIVEIRA JALES DE CARVALHO";"2000,00";"Refere-se a uma amostra Não–Probabilística, onde as cotas de sexo, faixa etária, escolaridade e renda são retiradas de acordo com o referencial disponível na página do TSE – estatística do eleitorado – do município citado acima e de dados utilizados no IBGE. A amostra constituíra de eleitores com mais de 16 anos e se dará no sistema “porta a porta”, salteando os domicílios, garantindo a aleatoriedade dos dados, dando uma margem bastante confiável. A amostra envolverá toda a cidade, sendo aplicados 412 questionários, percorrendo a Zona Urbana e Rural com Intervalo de confiança de 95% e margem de erro de 4,83%. ";"ZONA Urbana = 90,01% Rural = 9,99¨% Total = SEXO Mas. = 46,15 Fem. = 53,85% Total = Até 24 = 21,14% 25 a 34 = 24,75% 35 a 44 = 18,87% 45 a 59 = 20,99% 60 ou + = 13,81% Total = ESCOLARIDADE	FAIXA DE RENDA (salários mínimos) Analfabeto = 6,18% Lê e escreve = 14,39% Fund. Inc./completo = 28,31% Médio inc./completo = 36,07% Superior inc./completo = 15,05% Total =	Até 1 = 64,68% + de 1 a 2 = 19,01% + 2 a 5 = 11,28% + de 5 a 10 = 3,81% + de 10 = 1,22% Total = ";"A amostra contará com a participação de Pesquisadores e supervisor, externo e na parte interna de 1 Estatístico e 1 Coordenador geral, perfazendo um total de 7 participantes. São checados em campo aproximadamente 20% dos formulários (pessoalmente e via fone) e 100% quando da tabulação dos dados, pelos digitadores. 
";"Zona Urbana e Zona Rural de Floriano - PI"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI000732014";"2014-07-16 00:00:00";"#NE";"10320257000184";"INSTITUTO PIAUIENSE DE OPINIÃO PÚBLICA LTDA.";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-07-17 00:00:00";"2014-07-20 00:00:00";1137;"CONRE  - 7ª REGIÃO Nº 6695";"JOÃO BATISTA MENDES TELES";"33800,00";"Metodologia empregada: Amostragem não aleatória por cotas de sexo, faixa etária, grau de instrução, renda familiar, microrregião e municípios. Entrevistas domiciliares e individuais. A proporção do número de entrevistas distribuídas no total da amostra entre as zonas urbana e rural é de respectivamente 2:1 (dois para um).";"Amostragem por cotas. O conjunto do eleitorado dos municípios é distribuído proporcionalmente por sexo, faixa etária, grau de instrução, classe de renda familiar. As variáveis: sexo, faixa etária e grau de instrução são ponderadas de acordo com as Estatísticas do Eleitorado do Piauí, TRE, Julho de 2014 referente aos municípios pesquisados. A variável renda familiar é ponderada de acordo com as estatística do Censo Demográfico IBGE  2010. O intervalo de confiança é de 95% com margem de erro de 2,85% para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada considerando variância máxima p=0,50. 

Cotas de sexo: Masculino (546), Feminino (591), 

Cotas de faixa etária:   16 a 17 anos (32), 18 a 24 anos (190), 25 a 34 anos (285), 35 a 44 anos (217), 45 a 59 anos (237), 60 e + anos (176), 

Cotas de grau de instrução: Analfabeto (96), lê e escreve (230), Ensino fundamental incompleto/completo (352), Ensino médio incompleto/completo (302), superior incompleto (68), superior completo (89), 

Cotas de renda familiar:    Até R$ 724,00 (370),    de R$ 724,01 à R$ 1.448,00 (336),    de R$ 1.448,01 à R$ 3.620,00 (303), de R$ 3.620,01 à R$ 7.240,00 (82), mais de R$ 7.240,00 (46).";"Supervisão interna em 100% dos questionários aplicados e crítica dos dados digitados feita pelo computador.  Checagem direta com retorno e/ou acompanhamento e/ou por telefone feita pelos supervisores de campo em no mínimo 20% dos questionários aplicados, de acordo com a exigência da ABEP – Associação Brasileira de Empresas de Pesquisa.";"Municípios pesquisados por microrregião:

Baixo Parnaíba Piauiense (Miguel Alves, Esperantina, Piripiri, Batalha); 

Litoral Piauiense (Parnaíba, Luís Correia, Cocal); 

Teresina (Teresina, Beneditinos, União); 

Campo Maior (Nossa Senhora de Nazaré, Sigefredo Pacheco, Campo Maior, São Miguel do Tapuio); 

Médio Parnaíba Piauiense (Água Branca, Regeneração, Amarante); 

Valença do Piauí (Várzea Grande, Elesbão Veloso, Valença do Piauí);

Alto Parnaíba Piauiense (Uruçuí); 

Bertolínia (Antônio Almeida, Manoel Emídio); 

Floriano (Jerumenha, Guadalupe, Floriano);

Alto Médio Gurguéia (Santa Luz, Bom Jesus); 

São Raimundo Nonato (São Braz do Piauí, Jurema, Caracol, São Raimundo Nonato); 

Chapadas do Extremo Sul Piauiense (Avelino Lopes, Corrente); 

Picos (Bocaina, Oeiras, Picos, São Luís do Piauí); 

Pio IX (Alagoinha do Piauí, Pio IX); 

Alto Médio Canindé (Curral Novo do Piauí, São Francisco de Assis do Piauí, Acauã, Massapê do Piauí, Queimada Nova, Simões, São João do Piauí)."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI000972014";"2014-08-25 00:00:00";"#NE";"11186543000161";"RÓGÉRIO M P MOURA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-08-25 00:00:00";"2014-08-29 00:00:00";1085;"5102 7ª";"Paulo Rubens Oliveira Jales de Carvalho";"12000,00";"Metodologia de pesquisa: Pesquisa do tipo quantitativa, por amostragem não aleatória/probabilística por cotas, com aplicação de questionário estruturado e abordagem individual domiciliar. O conjunto de eleitores com residência eleitoral no estado do Piauí com 16 anos ou mais de idade será tomado como universo da pesquisa. ";"Plano amostral e ponderação quanto a sexo, idade, grau de instrução e nível econômico do entrevistado, margem de erro e nível de confiança: A amostragem será por cotas de gênero, escolaridade, faixa etária em acordo com os dados eleitorais disponíveis no TER/TSE. Microrregião e faixa de renda disponível pelo IBGE. Entrevistas distribuídas proporcionalmente entre as cotas mencionadas com percentuais identificados nas grades. O Nível de Confiança é de 95% e a Margem de erro máxima admitida pra mais ou para menos é de 3%
COTAS/PROPORÇÕES SEGUNDO:
 GÊNERO
Masculino	N	Feminino	N	Somatório
48,63%	528	51,37%	557	1.085

FAIXA ETÁRIA
Faixa Etária	Cota	N
16  anos	0,08%	1
17 anos	0,89%	10
18 a 20 anos	6,89%	75
21 a 24 anos	9,79%	106
25 a 34 anos	25,23%	274
35 a 44 anos	19,22%	208
45 a 59 anos	20,89%	227
60 a 69 anos	8,84%	96
70 a 79 anos	5,28%	57
> 79 anos	2,89%	31
Somatório	100,00%	1.085

ESCOLARIDADE
Escolaridade	Cota	N
Analfabeto	11,95%	130
Lê e Escreve	23,63%	256
Fundamental incompleto	29,58%	322
Fundamental completo	4,82%	52
Médio incompleto	13,68%	148
Médio completo	10,72%	116
Superior incompleto	2,28%	25
Superior completo	3,34%	36
Somatório	100,00%	1.085

FAIXA DE RENDA
Renda	Cota	N
Até 1 Salário Mínimo	71,41%	775
Mais de 1 a 2 Salários Mínimos	16,38%	178
Mais de 2 a 3 Salários Mínimos	8,34%	90
Mais de 5 a 10 Salários Mínimos	2,67%	29
Mais de 10 Salários Mínimos	1,20%	13
Somatório	100,00%	1.085



MICRORREGIÃO
Litoral Piauiense	9,73%	106
Alto Parnaíba Piauiense	1,40%	15
Médio Parnaíba Piauiense	4,19%	45
Baixo Parnaíba Piauiense	10,57%	115
Campo Maior	7,07%	77
Teresina	32,05%	349
Floriano	3,90%	42
Valença	3,34%	36
Picos	6,40%	69
Pio IX	1,85%	20
Bertolínia	1,30%	14
Auto Médio Canindé	8,40%	91
Auto Médio Gurguéia	2,82%	30
São Raimundo Nonato	4,33%	47
Chapadas do Extremo Sul Piauiense	2,65%	29
Somatório	100,00%	1.085

";"Sistema interno de controle e verificação todo é realizado durante a coleta, Conferência e fiscalização da coleta de dados e do trabalho de campo: equipe aplicadora dos questionários estruturados será formada por 3 supervisor e 09 entrevistadores devidamente trinados. Todos os questionários serão supervisionados no trabalho de campo pelo supervisor (diretamente ou acompanhamento) verificando a aplicação correta da grade e cerca de 10% a 15% será checada posteriormente a coleta (diretamente no local pelo supervisor), haverá ainda supervisão interna de todos os questionários aplicados (1.085) e crítica dos dados digitados feita pelo computador/coordenação";"MUNICIPIOS VISITADOS/CONTEMPLADOS

&#61656;	TERESINA
&#61656;	JOSÉ DE FREITAS
&#61656;	ALTOS
&#61656;	UNIÃO
&#61656;	AGUA BRANCA
&#61656;	AMARANTE
&#61656;	REGENERAÇÃO
&#61656;	ANGICAL
&#61656;	PARNAÍBA
&#61656;	PIRACURUCA
&#61656;	BURITI DOS LOPES
&#61656;	LUIS CORREIA
&#61656;	ESPERANTINA
&#61656;	BATALHA
&#61656;	CAMPO MAIOR
&#61656;	PIRIPIRI
&#61656;	BARRAS
&#61656;	PEDRO II
&#61656;	JOAQUIM PIRES
&#61656;	LUZILÂNDIA
&#61656;	CASTELO DO PIAUÍ
&#61656;	COCAL (DA ESTAÇÃO)
&#61656;	SÃO RAIMUNDO NONATO
&#61656;	INHUMA
&#61656;	ELESBÃO VELOSO
&#61656;	VALENÇA
&#61656;	CORONEL JOSÉ DIAS	&#61656;	CANTO DO BURITI
&#61656;	PICOS
&#61656;	OEIRAS
&#61656;	COLÔNIA DO PIAUÍ
&#61656;	PIO IX
&#61656;	ALEGRETE
&#61656;	IPIRANGA
&#61656;	URUÇUI
&#61656;	GUADALUPE
&#61656;	JERUMENHA
&#61656;	FLORIANO
&#61656;	CORRENTE
&#61656;	CRISTALÂNDIA
&#61656;	PARNAGUÁ
&#61656;	JUAZEIRO DO PIAUÍ
&#61656;	COLÔNIA DO GURGUÉIA
&#61656;	BERTOLINIA
&#61656;	MONTE ALEGRE
&#61656;	FRANCISCO MACEDO
&#61656;	JAICÓS
&#61656;	PADRE MARCOS
&#61656;	PAULISTANA
&#61656;	SÃO JOÃO DO PIAUÍ
&#61656;	BOM JESUS
&#61656;	CRISTINO CASTRO
&#61656;	GILBUÉS

"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI001192014";"2014-09-02 00:00:00";"#NE";"15563771000164";"I.VILANDER DE N. RIBEIRO - ME  INSTITUTO CREDIBILIODADE";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-04 00:00:00";"2014-09-05 00:00:00";350;"9177";"DIÓGENES VITOR DA SILVEIRA";"2000,00";"A metodologia empregada nesta pesquisa utilizará uma amostragem não aleatória por cotas proporcionais de sexo, faixa etária, grau de instrução, renda domiciliar, no município de Demerval Lobão - PI. As entrevistas serão domiciliares e individuais na zona urbana e rural do município. A Pesquisa será realizada no período de 03 e 04 de setembro de 2014 nos bairros e povoados relacionados no plano amostral com um total de 350 entrevistas.";"A amostragem será por cotas (tabela abaixo). Dentro do município, as entrevistas são distribuídas proporcionalmente pelas cotas de sexo, faixa etária e renda do chefe do domicílio segundo o IBGE e grau de instrução de acordo com as estatísticas do TSE (AGOSTO/2014)
por este critério não haver equivalência nas estatísticas do IBGE que se utiliza de outra classificação divergente das eleitorais. O intervalo de confiança (nível de significância) é de 95% com margem de erro de 5,15% para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada.
Sexo Entrevistas Masculino 168 Feminino 182 Idade 16 a 24 anos 65, de 25 a 34 anos 89, de 35 a 44 anos 68, de 45 a 59 anos 66 mais de 60 anos 62. Renda Até R$ 724,00 205 De R$ 724,01 a R$ 1.448,00 95 De R$ 1.448,01 ou mais 50. Escolaridade Analfabeto 33, Ensino Fundamental: 198, Ensino Médio: 96, Ensino Superior:23
";"A equipe aplicadora dos questionários estruturados será formada por 3 entrevistadores e 1 Supervisor. Todos os questionários serão supervisionados no trabalho de campo pelo supervisor(diretamente ou acompanhamento) e 20% será checado posteriormente (diretamente no local ou por telefone), haverá supervisão interna de todos os questionários aplicados (350) e crítica dos dados digitados feita pelo computador.";"Bairros da	Centro	30
Zona Urbana	Boa Esperança	18
	Cidade Nova	18
	Conj. João da Mota	15
	Conj. Valdir Azevedo	12
	Conj. Mutirão	12
	Piaçava	12
	Praia do Vento	10
	Santa Inês	12
	Santa Rita	12
	São Pedro	20
	Vila Bartolomeu	14
	Vila Santa Terezinha	15
	Vila São Francisco	15
	Vista Alegre	15
	Total	230
		
Localidades	Caraíbas	20
Zona Rural	Espraiado	20
	Mutum	22
	Projeto Olho D´´Agua	20
	Santo Elias	22
	Boa Vista	16
	Total	120
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI001682014";"2014-09-18 00:00:00";"#NE";"11267907000138";"Regional Mídias Associadas Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-20 00:00:00";"2014-09-21 00:00:00";320;"9356";"LAÉRCIO DE SOUSA ARAUJO";"2000,00";"Refere-se a uma amostra Não–Probabilística, onde as cotas de sexo, faixa etária, escolaridade e renda são retiradas de acordo com o referencial disponível na página do TSE – estatística do eleitorado – do município citado acima e de dados utilizados no IBGE. A amostra constituíra de eleitores com mais de 16 anos e se dará no sistema “porta a porta”, salteando os domicílios, garantindo a aleatoriedade dos dados, dando uma margem bastante confiável. A amostra envolverá toda a cidade, sendo aplicados 320 questionários, percorrendo a Zona Urbana e Rural com Intervalo de confiança de 95% e margem de erro de 5,48%. 
";"Definição do Plano Amostral. PONDERAÇÃO: ZONA URBANA 30% RURAL 70%; cota SEXO MASCULINO 51,75% FEMININO 48,25%; cota FAIXA ETÁRIA até 24 anos 24,75%; de 25 a 34–28,23%; de 35 a 44-17,48% ; 45 a 59-16,82%; + 60-12,72%; cota ESCOLARIDADE ANALFABETO 17,46%; LÊ E ESCREVE 28,15%; 1º GRAU 37,83%; 2º GRAU 14,44%; 3º GRAU 2,12%; RENDA ATÉ 1 SÁLARIO 89,78%; 2 A 3 SÁLARIOS 7,78%; 3 A 4 SÁLARIOS 1,98%; DE 4 A 5 SALÁRIOS 0,26%; DE MAIS DE 5 SALÁRIOS 0,20%. 
";"A amostra contará com a participação de Pesquisadores e supervisor, externo e na parte interna de 1 Estatístico e 1 Coordenador geral, perfazendo um total de 7 participantes. São checados em campo aproximadamente 20% dos formulários (pessoalmente e via fone) e 100% quando da tabulação dos dados, pelos digitadores. ";"Zona Urbana e Zona Rural de Luzilândia - PI"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI001782014";"2014-09-20 00:00:00";"#NE";"11267907000138";"Regional Mídias Associadas Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-20 00:00:00";"2014-09-21 00:00:00";320;"9356";"LAÉRCIO DE SOUSA ARAUJO";"2000,00";"Refere-se a uma amostra Não–Probabilística, onde as cotas de sexo, faixa etária, escolaridade e renda são retiradas de acordo com o referencial disponível na página do TSE – estatística do eleitorado – do município citado acima e de dados utilizados no IBGE. A amostra constituíra de eleitores com mais de 16 anos e se dará no sistema “porta a porta”, salteando os domicílios, garantindo a aleatoriedade dos dados, dando uma margem bastante confiável. A amostra envolverá toda a cidade, sendo aplicados 320 questionários, percorrendo a Zona Urbana e Rural com Intervalo de confiança de 95% e margem de erro de 5,48%. 
";"Definição do Plano Amostral. PONDERAÇÃO: ZONA URBANA 30% RURAL 70%; cota SEXO MASCULINO 51,75% FEMININO 48,25%; cota FAIXA ETÁRIA até 24 anos 24,75%; de 25 a 34–28,23%; de 35 a 44-17,48% ; 45 a 59-16,82%; + 60-12,72%; cota ESCOLARIDADE ANALFABETO 17,46%; LÊ E ESCREVE 28,15%; 1º GRAU 37,83%; 2º GRAU 14,44%; 3º GRAU 2,12%; RENDA ATÉ 1 SÁLARIO 89,78%; 2 A 3 SÁLARIOS 7,78%; 3 A 4 SÁLARIOS 1,98%; DE 4 A 5 SALÁRIOS 0,26%; DE MAIS DE 5 SALÁRIOS 0,20%. ";"A amostra contará com a participação de Pesquisadores e supervisor, externo e na parte interna de 1 Estatístico e 1 Coordenador geral, perfazendo um total de 7 participantes. São checados em campo aproximadamente 20% dos formulários (pessoalmente e via fone) e 100% quando da tabulação dos dados, pelos digitadores. ";"Zona Urbana e Zona Rural de Alto Longá - PI"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"PI";"PI";"PIAUÍ";"PI002042014";"2014-09-28 00:00:00";"#NE";"11267907000138";"Regional Mídias Associadas Ltda";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-30 00:00:00";"2014-10-01 00:00:00";320;"9356";"Laércio de Sousa Araújo";"2000,00";"Refere-se a uma amostra Não–Probabilística, onde as cotas de sexo, faixa etária, escolaridade e renda são retiradas de acordo com o referencial disponível na página do TSE – estatística do eleitorado – do município citado acima e de dados utilizados no IBGE. A amostra constituíra de eleitores com mais de 16 anos e se dará no sistema “porta a porta”, salteando os domicílios, garantindo a aleatoriedade dos dados, dando uma margem bastante confiável. A amostra envolverá toda a cidade, sendo aplicados 320 questionários, percorrendo a Zona Urbana e Rural com Intervalo de confiança de 95% e margem de erro de 5,48%. 
";"Definição do Plano Amostral. PONDERAÇÃO: ZONA URBANA 30% RURAL 70%; cota SEXO MASCULINO 51,75% FEMININO 48,25%; cota FAIXA ETÁRIA até 24 anos 24,75%; de 25 a 34–28,23%; de 35 a 44-17,48% ; 45 a 59-16,82%; + 60-12,72%; cota ESCOLARIDADE ANALFABETO 17,46%; LÊ E ESCREVE 28,15%; 1º GRAU 37,83%; 2º GRAU 14,44%; 3º GRAU 2,12%; RENDA ATÉ 1 SÁLARIO 89,78%; 2 A 3 SÁLARIOS 7,78%; 3 A 4 SÁLARIOS";"A amostra contará com a participação de Pesquisadores e supervisor, externo e na parte interna de 1 Estatístico e 1 Coordenador geral, perfazendo um total de 7 participantes. São checados em campo aproximadamente 20% dos formulários (pessoalmente e via fone) e 100% quando da tabulação dos dados, pelos digitadores. ";"Zona Urbana e Zona Rural de Redenção do Gurguéia - PI "
