"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000212014";"2014-09-01 00:00:00";"#NE";"03127619000150";"CERTUS PESQUISA E CONSULTORIA LTDA";"#NE";"Governador, Senador";"2014-08-29 00:00:00";"2014-09-01 00:00:00";1470;"CONRE 6ª REGIÃO No.4811";"MARDONE CAVALCANTE FRANÇA";"30000,00";"Metodologia 
Para realização desta pesquisa utilizou-se um questionário estruturado com questões fechadas o qual foi aplicado, através de entrevistas face a face  individuais nos domicílios a  Uma amostra  autoponderada de 1470 selecionada pelo método de Probabilidade Proporcional ao Tamanho em três estagios. As entrevistas foram distribuída em 8 áreas/regiões  de acordo com distribuição do eleitorado por município disponível no site do TRE/RN. Utilizou-se como variáveis de pré-estratificação (quotas), o sexo, a idade e o grau de instrução e renda familiar como proxi das condições econômicas. As faixas etárias utilizadas foram as mesmas adotadas pelo TRE. O levantamento de campo foi realizado em uma amostra de 40 municípios com distribuição por bairros nas maiores cidades. A cobertura espacial será de 150 pontos amostrais selecionados aleatoriamente a partir dos mapas dos setores censitários utilizados pelo IBGE para o Censo 2010 ( no caso de Natal), e/ou mapas lista de logradouros  das outras  cidades do interior.
Margem de erro e intervalo de confiança
A margem de erro máxima presumível  para a pesquisa é de 3,0% pontos percentuais para mais ou para menos com um intervalo de confiança de 95%.
Período de realização da pesquisa
O levantamento de campo foi realizado no período de 29 de agosto a 01 de setembro de 2014. 
";"Uma amostra  autoponderada de 1470 selecionada pelo método de Probabilidade Proporcional ao Tamanho em três estagios. As entrevistas foram distribuída em 8 áreas/regiões  de acordo com distribuição do eleitorado por município disponível no site do TRE/RN. Utilizou-se como variáveis de pré-estratificação (quotas), o sexo, a idade e o grau de instrução e renda familiar como proxi das condições econômicas. As faixas etárias utilizadas foram as mesmas adotadas pelo TRE. O levantamento de campo foi realizado em uma amostra de 40 municípios com distribuição por bairros nas maiores cidades. A cobertura espacial será de 150 pontos amostrais selecionados aleatoriamente a partir dos mapas dos setores censitários utilizados pelo IBGE para o Censo 2010 ( no caso de Natal), e/ou mapas lista de logradouros  das outras  cidades do interior";"Sistema interno de controle de qualidade
O sistema de controle do trabalho de campo foi executado por supervisores de campo que fizeram a checagem de 20% das entrevistas realizadas. O controle de qualidade interna consiste na verificação de consistência dos questionários aplicados e do cruzamento dos códigos dos pesquisadores com as questões principais para comparação pesquisador x área pesquisada.
";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000052014";"2014-06-22 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-06-22 00:00:00";"2014-06-25 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"57300,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 25% (feminino) 21%; 25-34 (masculino) 24% (feminino) 23%; 35-44 (masculino) 19% (feminino) 20%; 45-54 (masculino) 16% (feminino) 15%; 55 e+ (masculino) 17% (feminino) 21%; INSTRUÇÃO: Até Ensino Médio (masculino) 88% (feminino) 84%; Ensino Superior (masculino) 12% (feminino) 16%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 75% (feminino) 48%; Não Economicamente ativo (masculino) 25% (feminino) 52%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2012 | Entre outras.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistadores aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Rio Grande do Norte. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §5º da Resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000432014";"2014-10-10 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador";"2014-10-10 00:00:00";"2014-10-15 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"50327,76";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 24% (feminino) 22%; 25-34 (masculino) 26% (feminino) 25%; 35-44 (masculino) 19% (feminino) 21%; 45-54 (masculino) 16% (feminino) 15%; 55 e+ (masculino) 14% (feminino) 17%; INSTRUÇÃO: Até Ensino Médio (masculino) 87% (feminino) 83%; Ensino Superior (masculino) 13% (feminino) 17%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 76% (feminino) 51%; Não Economicamente ativo (masculino) 24% (feminino) 49%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Rio Grande do Norte. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000452014";"2014-10-17 00:00:00";"#NE";"03127619000150";"CERTUS PESQUISA E CONSULTORIA LTDA";"#NE";"Governador";"2014-10-18 00:00:00";"2014-10-21 00:00:00";1510;"CONRE 6ª REGIÃO No.4811";"MARDONE CAVALCANTE FRANÇA";"15000,00";"Metodologia 

Para realização desta pesquisa utilizou-se um questionário estruturado com questões fechadas o qual foi aplicado, através de entrevistas face a face individuais nos domicílios e pontos de concentração. Utilizou-se  uma amostra  autoponderada  de 1510 entrevistas selecionada pelo método de Probabilidade Proporcional ao Tamanho em três estágios. As entrevistas foram distribuídas em oito regiões e 42 municípios do Estado de acordo com distribuição do eleitorado por município disponível no site do TRE/RN. Utilizou-se como variáveis de pré-estratificação (quotas), o sexo, a idade e grau de instrução e renda familiar como proxi das condições econômicas da população. As faixas etárias utilizadas foram as mesmas adotadas pelo TRE. O levantamento de campo foi realizado em uma amostra de 42 municípios com distribuição por bairros nas maiores cidades. A cobertura espacial será aproximadamente de 180 áreas/pontos amostrais selecionados aleatoriamente a partir dos mapas dos setores censitários utilizados pelo IBGE para o Censo 2010 ( no caso de Natal), e/ou mapas lista de logradouros  das outras  cidades do interior.
Margem de erro e intervalo de confiança
A margem de erro máxima presumível  para a pesquisa é de 3,0% pontos percentuais para mais ou para menos com um intervalo de confiança de 95%.
";". Utilizou-se  uma amostra  autoponderada  de 1510 entrevistas selecionada pelo método de Probabilidade Proporcional ao Tamanho em três estágios. As entrevistas foram distribuídas em oito regiões e 42 municípios do Estado de acordo com distribuição do eleitorado por município disponível no site do TRE/RN. Utilizou-se como variáveis de pré-estratificação (quotas), o sexo, a idade e grau de instrução e renda familiar como proxi das condições econômicas da população. As faixas etárias utilizadas foram as mesmas adotadas pelo TRE. O levantamento de campo foi realizado em uma amostra de 42 municípios com distribuição por bairros nas maiores cidades. A cobertura espacial será aproximadamente de 180 áreas/pontos amostrais selecionados aleatoriamente a partir dos mapas dos setores censitários utilizados pelo IBGE para o Censo 2010 ( no caso de Natal), e/ou mapas lista de logradouros  das outras  cidades do interior.
Margem de erro e intervalo de confiança
A margem de erro máxima presumível  para a pesquisa é de 3,0% pontos percentuais para mais ou para menos com um intervalo de confiança de 95%.
";"Sistema interno de controle de qualidade
O sistema de controle do trabalho de campo foi executado por supervisores de campo que fizeram a checagem de 20% das entrevistas realizadas. O controle de qualidade interna consiste na verificação de consistência dos questionários aplicados e do cruzamento dos códigos dos pesquisadores com as questões principais para comparação pesquisador x área pesquisada.
";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000062014";"2014-06-22 00:00:00";"#NE";"04843093000177";"CONSULTORIA E PESQUISA TECNICA LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-06-24 00:00:00";"2014-06-24 00:00:00";600;"6ª região nº 7861";"Paulo de Tarso Teixeira Ferreira";"7000,00";"A Metodologia empregada  para  a  pesquisa segue a Técnica de  Observação  Direta, referente ao Método Quantitativo através da realização de survey de opinião, utilizando-se  como  instrumento  de  investigação   Formulário   Semiestruturado, para entrevistas individualizadas, domiciliares  e/ou locais preestabelecidos.";"Quanto ao Plano Amostral, será utilizada uma Amostra Probabilística, Casual Simples de 600 entrevistas, com a finalidade de cobertura geográfica no município de Mossoró-RN, abrangendo 5 áreas geográficas, representadas por 26 bairros ou conglomerados, com partilha proporcional (Método estatístico PPT = Partilha Proporcional ao Tamanho) sobre o potencial eleitoral de cada uma das áreas. 
    A estratificação da amostra ocorre com relação as variáveis sexo, informado pelo TSE, sendo 46% do eleitorado do sexo masculino, e 54% do sexo feminino, e sobre as idades, sendo 18% dos eleitores até 24 anos, 25% de 25 a 34 anos, 20% de 35 a 44 anos,  24% de 45 a 59 anos, e 13% com mais de 59 anos. 
   Com relação  ao  nível econômico  do entrevistado e grau de escolaridade, por faixa de idades, foram estimados por dados do IBGE   (Proporção  ou  ponderação,  não existente no TRE nem  IBGE sobre as faixas de eleitores a partir de 16 anos), sendo atingidos e identificados pela cobertura geográfica ampla da amostra, e pela Técnica de coleta  de  dados   que  é  de  Sorteios  Múltiplos   Aleatórios, em quatro  estágios (bairro/conglomerado, rua,  domicílio/local  pré-estabelecido,  ponto amostral), sobre  as regiões  do município definidas para a amostra. 
O Erro Amostral máximo a ser atingido é de 4%, levando-se em consideração o tamanho da amostra, no uso do cálculo amostral pela proporção [estimador = p e (1-p)], usando variância máxima. O que significa que sobre as variáveis dos quesitos de interesse, esse erro deverá ser no máximo 4%. O que significa dizer que o percentual observado para a pergunta que representa o objetivo principal da pesquisa, no caso a preferência para Governador do Rio Grande do Norte na próxima eleição, pode variar para mais ou para menos em 4%, ou seja, um INTERVALO DE CONFIANÇA com esse percentual, tendo essa afirmação uma CONFIABILIDADE de 95%.  
";"O sistema de controle interno ocorre a partir do início da etapa de campo, onde os entrevistadores, exclusivos da própria Consult-Pesquisa, são fiscalizados permanentemente por coordenadores de campo, e são realizadas abordagens pós-entrevistas, e visitas ou abordagem retorno sobre 15% da amostra.";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000282014";"2014-09-10 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-10 00:00:00";"2014-09-15 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"50327,76";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 24% (feminino) 22%; 25-34 (masculino) 26% (feminino) 25%; 35-44 (masculino) 19% (feminino) 21%; 45-54 (masculino) 16% (feminino) 15%; 55 e+ (masculino) 14% (feminino) 17%; INSTRUÇÃO: Até Ensino Médio (masculino) 87% (feminino) 83%; Ensino Superior (masculino) 13% (feminino) 17%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 76% (feminino) 51%; Não Economicamente ativo (masculino) 24% (feminino) 49%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Rio Grande do Norte. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000332014";"2014-09-17 00:00:00";"#NE";"03127619000150";"CERTUS PESQUISA E CONSULTORIA LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-19 00:00:00";"2014-09-21 00:00:00";400;"CONRE 6ª REGIÃO No.4811";"MARDONE CAVALCANTE FRANÇA";"9000,00";"Metodologia 

Para realização da pesquisa utilizou-se um questionário estruturado com questões fechadas. As entrevistas serão individuais aplicadas face a face nos domicílios e em pontos de concentração. Será utilizada uma amostra aleatória autoponderada de 400 eleitores do município de Mossoró, distribuída em bairros da área urbana e comunidades rurais do município de acordo com repartição proporcional da população com 16 anos e mais de idade registrada no Censo Demográfico de 2010, realizado pelo IBGE. Utiliza-se  como variáveis de pré-estratificação (quotas) sexo, idade e grau de instrução e renda familiar (pós-estratificação) como proxi da condição sócio econômica do universo de eleitores. As quotas para as faixas etárias e sexo estão de acordo com as informações mais recente do perfil do eleitorado fornecidas pelo TRE/RN. 

Margem de erro e intervalo de confiança

A margem de erro presumível máxima admitida para a pesquisa é de 3,0 pontos percentuais para mais ou para menos com um intervalo de confiança de 95%.
";"Será utilizada uma amostra aleatória autoponderada de 400 eleitores do município de Mossoró, distribuída em bairros da área urbana e comunidades rurais do município de acordo com repartição proporcional da população com 16 anos e mais de idade registrada no Censo Demográfico de 2010, realizado pelo IBGE. Utiliza-se  como variáveis de pré-estratificação (quotas) sexo, idade e grau de instrução e renda familiar (pós-estratificação) como proxi da condição sócio econômica do universo de eleitores. As quotas para as faixas etárias e sexo estão de acordo com as informações mais recente do perfil do eleitorado fornecidas pelo TRE/RN. 

Margem de erro e intervalo de confiança

A margem de erro presumível máxima admitida para a pesquisa é de 3,0 pontos percentuais para mais ou para menos com um intervalo de confiança de 95%.
";"Sistema interno de controle de qualidade

O sistema de controle do trabalho de campo será  executado por supervisores de campo que farão a checagem de 20% das entrevistas realizadas. O controle de qualidade interna consiste na verificação de consistência dos questionários aplicados e do cruzamento dos códigos dos pesquisadores com as questões principais para comparação do trabalho do entrevistador versus a área pesquisada.

";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000402014";"2014-09-27 00:00:00";"#NE";"10783981000144";"Seta Instituto de Pesquisa LTDA - ME";"#NE";"Governador, Senador";"2014-09-29 00:00:00";"2014-10-01 00:00:00";2200;"CONRE 6A. REGIÃO No.9861";"Carlos Alberto Bezerra Galdino";"22000,00";"A metodologia empregada nesta pesquisa foi a de uma amostragem por conglomerados em dois estágios. Inicialmente dividiu-se o estado em microrregiões geográficas, conforme estabelecido pelo IBGE. Em seguida foi retirada a amostra segundo um plano de conglomerados em dois estágios, sorteando os municípios, e, por seguinte, os setores censitários, todos de forma aleatória. Seguiu-se a distribuição por cotas proporcionais de sexo, faixa etária, escolaridade e renda do município. Para efeito de comparação, utilizou-se dados oficiais do censo 2010, disponível no sítio do IBGE (SIDRA, tabela 1552). A Pesquisa foi realizada no período entre 29 de setembro e 01 de outubro de 2014. A distribuição de microrregião segue, conforme definido em mapa atualizado pelo instituto brasileiro de geografia e estatística - IBGE, percorrendo um total de 2200 entrevistas. ";"Dentro do município, proporcionalmente ao número de setores censitários existentes, as entrevistas são distribuídas proporcionalmente pelas cotas de sexo e faixa etária de acordo com as estatísticas do TSE (julho/2012). E depois ponderadas, conforme escolaridade e renda, a partir dos dados disponibilizados pelo IBGE. O intervalo de confiança (nível de significância) é de 95% com margem de erro de 2,7% para mais ou para menos, nas estatísticas apresentadas para o total da amostra levantada. ";"As equipes de pesquisadores aplicadores dos questionários estruturados foram formadas por 04 entrevistadores e 1 supervisor. Todos os questionários foram supervisionados no trabalho de campo pelo supervisor (diretamente ou acompanhamento) e 20% foi checado posteriormente (diretamente no local), haverá supervisão interna de todos os questionários aplicados (2200) e crítica dos dados digitados feita pelo computador. O software utilizado foi o de domínio público ""R"", vs 2.10.1 para compilar e analisar os dados. ";"AGRESTE: Nova Cruz, Santo Antônio, Monte Alegre, São Paulo do Potengi, Lagoa Salgada, Lagoa de Pedras, Vázea, João Câmara, Poço Branco, Santa Cruz, Tangará, Jaçanã. CENTRAL: Afonso Bezerra, Angicos, Caiçara do Rio do Vento, Macau, Guamaré, Caicó, Parelhas, São João do Sabugi, Currais Novos, Jardim do Seridó, Cruzeta, Santana do Matos, Lagoa Nova, São Vicente. LESTE: Touros, Rio do Fogo, São Miguel do Gostoso, Canguaretama, Goianinha, Tibau do Sul, São Gonçalo do Amarante, Ceará Mirim, Macaíba, São José de Mipibu, Natal, Parnamirim, Extremoz. OESTE: Apodi, Caraúbas, Upanema, Campo Grande, Messias Targino, Mossoró, Areia Branca, Serra do Mel, Pau dos Ferros, Alexandria, Rodolfo Fernandes, Rafael Fernandes, São Miguel, Luís Gomes, Riacho de Santana, Umarizal, Patu, Frutuoso Gomes, Assu, Jucurutu, Alto do Rodrigues."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000072014";"2014-07-21 00:00:00";"#NE";"10307514000148";"ERIVALDO TRINDADE DE ARAUJO ME";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-07-22 00:00:00";"2014-07-23 00:00:00";600;"9890 - 6ª REGIÃO";"LILIANE AUGUSTO DA SILVA";"3200,00";"A pesquisa será realizada no dia 22 e 23 de Julho de 2014. Segue o método de observação direta extensiva, com diagnóstico quantitativo. A técnica utilizada é a de entrevistas domiciliares nas zonas urbana e rural do município de Currais Novos - RN.";"Público pesquisado: Eleitores residentes e domiciliados no município de Currais Novos - RN.
Tipo de amostra: amostra aleatória por quotas proporcionais às variáveis sexo divididos em 48,0% para homens, 52,0% para mulheres. 
Em relação á idade aplicados questionários de 16 a 25 anos, 26 a 35 anos, 36 a 45 anos, 46 a 55 anos e Acima de 56 anos. 
Na área geográfica, entrevistas serão distribuídas em 88,0% na zona urbana e 12,0% na zona rural.
A pesquisa também contará com as variáveis grau de instrução e nível econômico apenas para efeitos demonstrativos. 
Margem de Erro: 4,0% para mais ou para menos (Quatro pontos percentuais)e Intervalo de Confiança de 95,0% de confiabilidade ";"As entrevistas serão pessoais com questionário elaborado de acordo com as finalidades da pesquisa. Serão realizadas por uma equipe contratada e treinada pela própria empresa. O controle de qualidade conta com dois níveis de crítica: 1º em campo e 2º na tabulação. Posteriormente à pesquisa, todos os questionários serão filtrados e fiscalizados num total aproximado de 20% (vinte por cento) de forma aleatória por um coordenador de equipe devidamente habilitado para a função. ";"Área de Atuação: Comunidades de Cruz(23), São Sebastião(16), Totoró (18) e Mina Brejuí(15). Bairros Paizinho Maria(40), Conjunto da Cersel(18), Parque Dourado(80), Promorar(42), JK(25), Inocoop(20), Manoel Salustino(40), Santa Maria Goreti(50), Gilberto Pinheiro(38), Antonio Rafael(38), Silvio Bezerra de Melo(50), IPE(27), Casas Populares(15) e Centro da cidade(45). "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RN";"RN";"RIO GRANDE DO NORTE";"RN000372014";"2014-09-25 00:00:00";"#NE";"03127619000150";"CERTUS PESQUISA E CONSULTORIA LTDA";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-26 00:00:00";"2014-09-28 00:00:00";400;"CONRE 6ª REGIÃO No.4811";"MARDONE CAVALCANTE FRANÇA";"9000,00";"
Para realização da pesquisa utilizou-se um questionário estruturado com questões fechadas. As entrevistas serão individuais aplicadas face a face nos domicílios e em pontos de concentração. Será utilizada uma amostra aleatória autoponderada de 400 eleitores do município de Mossoró, distribuída em bairros da área urbana e comunidades rurais do município de acordo com repartição proporcional da população com 16 anos e mais de idade registrada no Censo Demográfico de 2010, realizado pelo IBGE. Utiliza-se  como variáveis de pré-estratificação (quotas) sexo, idade e grau de instrução e renda familiar (pós-estratificação) como proxi da condição sócio econômica do universo de eleitores. As quotas para as faixas etárias e sexo estão de acordo com as informações mais recente do perfil do eleitorado fornecidas pelo TRE/RN. 

Margem de erro e intervalo de confiança

A margem de erro presumível máxima admitida para a pesquisa é de 3,0 pontos percentuais para mais ou para menos com um intervalo de confiança de 95%.

";"Será utilizada uma amostra aleatória autoponderada de 400 eleitores do município de Mossoró, distribuída em bairros da área urbana e comunidades rurais do município de acordo com repartição proporcional da população com 16 anos e mais de idade registrada no Censo Demográfico de 2010, realizado pelo IBGE. Utiliza-se  como variáveis de pré-estratificação (quotas) sexo, idade e grau de instrução e renda familiar (pós-estratificação) como proxi da condição sócio econômica do universo de eleitores. As quotas para as faixas etárias e sexo estão de acordo com as informações mais recente do perfil do eleitorado fornecidas pelo TRE/RN. 

Margem de erro e intervalo de confiança

A margem de erro presumível máxima admitida para a pesquisa é de 3,0 pontos percentuais para mais ou para menos com um intervalo de confiança de 95%.
";"Sistema interno de controle de qualidade

O sistema de controle do trabalho de campo será  executado por supervisores de campo que farão a checagem de 20% das entrevistas realizadas. O controle de qualidade interna consiste na verificação de consistência dos questionários aplicados e do cruzamento dos códigos dos pesquisadores com as questões principais para comparação do trabalho do entrevistador versus a área pesquisada.
";"#NULO#"
