"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000082014";"2014-09-07 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-07 00:00:00";"2014-09-12 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"75670,28";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico nos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 23% (feminino) 26%; 25-34 (masculino) 26% (feminino) 29%; 35-44 (masculino) 21% (feminino) 21%; 45-54 (masculino) 15% (feminino) 13%; 55 e+ (masculino) 15% (feminino) 11%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 75%; Ensino Superior (masculino) 18% (feminino) 25%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 82% (feminino) 57%; Não Economicamente ativo (masculino) 18% (feminino) 43%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado de Roraima. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000022014";"2014-07-04 00:00:00";"#NE";"02943355000140";"Ibrape Instituto Brasileiro de Pesquisas de Opinião Pública";"#NE";"Governador, Senador";"2014-07-06 00:00:00";"2014-07-08 00:00:00";840;"9168-A ";"Luciano Henrique Matos ";"44000,00";"Realização de Pesquisa de Opinião Publica, na Modalidade Quantitativa, com entrevistados e abordagens pessoais junto a um universo amostral de eleitores que votam no Estado de RORAIMA. O período das entrevistas será de 06 a 08 de Julho de 2014. (www.ibrapenet.com.br) 

";"A pesquisa será representativa do Estado de RORAIMA, cujas entrevistas serão realizadas somente com eleitores residentes e domiciliados no estado, sendo todos com idade igual e superior a 16 anos, pelo método PPT (probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para a aplicação da amostragem, que, por se tratar de amostragem representativa, as variáveis de sexo, faixa etária, formação escolar, rendimento mensal, localização domiciliar, ocupação principal/profissão, religião praticada, a pesquisa é auto-ponderada, isto é, as proporções estão contidas na amostra conforme critério técnicos por amostragem aleatória simples. De acordo com o projeto global da pesquisa, o nível de confiança estimado é de 95%, e a margem de erro é de até 3 pontos percentuais, para mais ou para menos sobre os resultados encontrados no total da amostra. A fonte dos dados TSE/TRE/Censo 2010/IBGE ";"Após a conclusão dos trabalhos de campo, os questionários são submetidos a uma fiscalização e crítica técnica, que consiste na conferência de aplicação das ""cotas amostrais"" com adequação aos parâmetros estruturais e retorno, para ""rechecagem"", de, em determinados casos, de até 20% das entrevistas realizadas pelos agentes de pesquisas de campo, para conferencia das respostas e dos pontos de tomadas das entrevistas. Agentes pesquisadores (entrevistadores de campo) especificamente treinados para o caso, são responsáveis pelas entrevistas pessoais. Todos os questionários são codificados e posteriormente processadas em modernos sistemas de computação. (www.ibrapenet.com.br) 
";"Esta Pesquisa de opinião, tem como abrangência o Estado de RORAIMA, a área de estudo são, Boa Vista, representando a capital do Estado, e o interior será representado pelos municípios de Rorainópolis, Caracaraí, Mucajaí, Cantá, Alto Alegre, Caroebe, Bonfim e Pacaraima. Dentro de cada local são definidos os grupos de eleitores em cada localidade, que participarão da amostra e dentro de cada ponto de abordagem. A relação dos pontos de tomadas da amostra (localidades), será apresentada posteriormente, (após a conclusão dos trabalhos de campo) , conforme consta do artigo 2°, Paragrafo 5°, da Resolução 23.400/2013 do TSE. (www.ibrapenet.com.br) 
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000182014";"2014-10-12 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador";"2014-10-12 00:00:00";"2014-10-17 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"75662,16";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 23% (feminino) 26%; 25-34 (masculino) 26% (feminino) 29%; 35-44 (masculino) 21% (feminino) 21%; 45-54 (masculino) 15% (feminino) 13%; 55 e+ (masculino) 15% (feminino) 11%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 75%; Ensino Superior (masculino) 18% (feminino) 25%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 82% (feminino) 57%; Não Economicamente ativo (masculino) 18% (feminino) 43%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado de Roraima. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000042014";"2014-08-07 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-08-08 00:00:00";"2014-08-12 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"75670,28";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais e presenciais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber:IDADE: 16-24 (masculino) 24% (feminino) 26%; 25-34 (masculino) 25% (feminino) 28%; 35-44 (masculino) 20% (feminino) 21%; 45-54 (masculino) 14% (feminino) 13%; 55 e+ (masculino) 17% (feminino) 13%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 75%; Ensino Superior (masculino) 18% (feminino) 25%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 81% (feminino) 56%; Não Economicamente ativo (masculino) 19% (feminino) 44%.Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2012 | Entre outras.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistadores aos parâmetros amostrais.";"A área de abrangência da coleta é o estado de Roraima. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §5º da Resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000192014";"2014-10-18 00:00:00";"#NE";"15625058000106";"SOUSA & LUCENA LTDA - ME";"#NE";"Governador";"2014-10-20 00:00:00";"2014-10-23 00:00:00";1540;"8717";"Alan Ioshikazu Ofuji";"12000,00";"A pesquisa será realizada nos 15 municípios de Roraima, em dois estágios. No primeiro estágio será feito o sorteio das ruas dos bairros/setores da amostra de cada município, sendo feito cinco ou seis entrevistas em cada rua. No segundo estágio, será feito a seleção das casas de forma aleatória, sorteando-se a primeira casa a ser entrevistada, se será da direita para a esquerda ou vice versa e intercalando-se de três em três casas. Caso o entrevistador não consiga acesso ao morador, será feito a pesquisa na próxima casa, subsequente ao número sorteado. O entrevistador seguirá rigorosamente todas as determinações descritas a seguir: a) Entrevistar apenas 01 eleitor por residência, em todos os bairros, vila/comunidade; b) Não entrevistar eleitores em trânsito, somente entrevistar eleitores em residências; c) Não entrevistar no comércio; d) Não identificar o eleitor entrevistado e nem o endereço, pegar apenas o telefone; e) Não informar os eleitores, quando solicitarem, os mais lembrados nem sugerir respostas; f) Se limitar exclusivamente às perguntas e às respostas na cédula; g) Ao anotar as respostas, sempre o faça as vistas do entrevistado.";"Amostra Aleatória Simples para a proporção. Margem de erro máxima de 2,5 pontos percentuais para mais ou para menos, nos casos p=50%, para 0,05 de significância (ou nível de confiança de 95%). Em um universo para Roraima. Nº DE ELEITORES: 299.946 (TSE/2014). Controle de cotas para as variáveis Gênero Masculino com idade de 16 a 24 anos (10,91%); Gênero Masculino com idade de 25 a 34 anos (12,82%); Gênero Masculino com idade de 35 a 44 anos (9,9%); Gênero Masculino com idade de 45 a 59 anos (10,27%); Gênero Masculino com idade de 60 anos ou mais (5,44%); Gênero Feminino com idade de 16 a 24 anos (11,75%); Gênero Feminino com idade de 25 a 34 anos (13,99%); Gênero Feminino com idade de 35 a 44 anos (10,55%); Gênero Feminino com idade de 45 a 59 anos (9,79%); Gênero Feminino com idade de 60 anos ou mais (4,58%). As vaiáveis grau de instrução e nível econômico serão submetidas ao acaso, sendo ponderadas caso a distribuição da amostra apresente diferença de 5% ou mais.";"Questionário estruturado com perguntas para resposta estimulada e espontânea. Grupo com 20 (vinte) pesquisadores devidamente uniformizados, com crachás, treinados para atuarem com competência com Questionário em campo. O grupo também conta com 4 (quatro) coordenadores capacitados para o trabalho distribuindo os pesquisadores nas devidas ruas ou avenidas. Haverá checagem do total de 20% dos questionários para garantir a autenticidade dos mesmos.";"Detalhamento do quantitativo de entrevistas por município/bairro está em anexo."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000092014";"2014-09-17 00:00:00";"#NE";"04558809000194";"MC - Consultoria em Pesquisa e Recursos Humanos Ltda.";"#NE";"Governador, Senador";"2014-09-18 00:00:00";"2014-09-23 00:00:00";1000;"8924/ 1º REGIAO";"AMAIKE KERIC ALVES DA SILVA";"50000,00";"A pesquisa realizada será do tipo quantitativa, com metodologia probabilística, com a utilização de cotas (gênero e idade) proporcionais ao universo pesquisado. Nos bairros das cidades que participarão da amostra serão sorteadas as ruas para a aplicação das entrevistas domiciliares, caso as cotas não sejam completadas naquela rua, outra rua será sorteada, também de forma aleatória. Em cada domicílio só será entrevistado um membro daquele domicílio. Para garantir que a amostra da pesquisa não seja tendenciosa, em cada rua serão puladas três domicílios, não contando terrenos baldios, órgão públicos, escolas, igrejas e imóveis comerciais.";"A pesquisa realizada será do tipo quantitativa, com metodologia probabilística, com a utilização de cotas (gênero e idade) proporcionais ao universo pesquisado.
A margem de erro máxima estimada é de 3%, para mais ou para menos, com um grau de confiabilidade de 95%.
";"Após a coleta de dados, será realizada uma verificação que consiste na checagem de 20% das entrevistas aplicadas, a escolha do pesquisador e dos questionários acontecerá de forma aleatória, a fim de se fiscalizar o procedimento, e as respostas  durante a aplicação da entrevista. ";"A pesquisa será realizada no Estado de Roraima, divididos na seguinte proporção: Boa Vista - 630 (Seiscentos e trinta); Caracaraí – 42 (quarenta e dois); Alto Alegre – 31 (trinta e um); Bonfim  – 23 (vinte e três); Cantá – 33 (trinta e três); Normandia – 18 (dezoito); Caroebe – 20(vinte); São João do Baliza – 17 (dezessete); São Luiz – 17 (dezessete); Mucajaí – 38 (trinta e oito); Iracema – 18 (dezoito); Amajarí – 17 (dezesete); Pacaraima – 43 (quarenta e três) e Rorainópolis – 53 (cinquenta e três)."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000062014";"2014-08-13 00:00:00";"#NE";"02943355000140";"Ibrape Instituto Brasileiro de Pesquisas de Opinião Pública";"#NE";"Governador, Senador";"2014-08-15 00:00:00";"2014-08-17 00:00:00";800;"9168-A ";"Luciano Henrique Matos";"38860,00";"Realização de Pesquisa de Opinião Publica, na Modalidade Quantitativa, com abordagens pessoais junto e aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo, O período das entrevistas será de 09 a 11 de agosto de 2014. Os entrevistadores são contratados e treinados pelo IBRAPE. Demais informações sobre o instituto,estão contidas no site www.ibrapenet.com.br ";"A pesquisa será representativa do Estado de RORAIMA, cujas entrevistas serão realizadas somente com eleitores residentes e domiciliados no estado, sendo todos com idade igual e superior a 16 anos, pelo método PPT (probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para a aplicação da amostragem, que, por se tratar de amostragem representativa, as variáveis de sexo, faixa etária, formação escolar, rendimento mensal, localização domiciliar, ocupação principal/profissão, religião praticada, a pesquisa é auto-ponderada, isto é, as proporções estão contidas na amostra conforme critério técnicos por amostragem aleatória simples. De acordo com o projeto global da pesquisa. O nível de confiança estimado é de 95%, e a margem de erro é de até 3 pontos percentuais, para mais ou para menos sobre os resultados encontrados no total da amostra. A fonte dos dados TSE/TRE/Censo 2010/IBGE 
";"Após a conclusão dos trabalhos de campo, os questionários são submetidos a uma fiscalização e crítica técnica, que consiste na conferência de aplicação das ""cotas amostrais"" com adequação aos parâmetros estruturais e retorno, para ""rechecagem"", de, em determinados casos, de até 20% das entrevistas realizadas pelos agentes de pesquisas de campo, para conferencia das respostas e dos pontos de tomadas das entrevistas. Agentes pesquisadores (entrevistadores de campo) especificamente treinados para o caso, são responsáveis pelas entrevistas pessoais. Todos os questionários são codificados e posteriormente processadas em modernos sistemas de computação. (www.ibrapenet.com.br) 
";"Esta Pesquisa de opinião, tem como abrangência o Estado de RORAIMA, a área de estudo são, Boa Vista, representando a capital do Estado, e o interior do estado, será representado pelos municípios de Rorainópolis, Caracaraí, Mucajaí, Cantá, Alto Alegre, Caroebe, Bonfim e Pacaraima. Dentro de cada local são definidos os grupos de eleitores em cada localidade, que participarão da amostra e dentro de cada ponto de abordagem. A relação dos pontos de tomadas da amostra (localidades), será apresentada posteriormente, (após a conclusão dos trabalhos de campo) , conforme consta do artigo 2°, Paragrafo 5°, da Resolução 23.400/2013 do TSE. (www.ibrapenet.com.br) 
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000172014";"2014-09-29 00:00:00";"#NE";"11565915000160";"INSTITUTO DE PESQUISA CALEFFI LTDA  EPP";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-09-29 00:00:00";"2014-10-01 00:00:00";2003;"8519";"CELY NATALIE PINTO RODRIGUES";"15000,00";"Pesquisa quantitativa, realizada com aplicação de questionário estruturado com entrevistas pessoais junto a uma amostra representativa do eleitorado do Estado de Roraima.";"Amostra de Sexo Feminino 51% e Masculino 49%, Faixa Etária de 16 a 24 anos 22,65%, de 25 a 34 anos  26,80%, 35 a 44 anos 20,45%, de 45 a 59 anos 20,06% e acima de 59  anos 10,03%. O nivel de confiança é estimado em 96% a margem de erro estimada  e d no maximo de 2(dois) pontos para mais e para menos sobre o resultado encontrados no total da amostra.";"Para realização da pesquisa, é feita por equipes de entrevistadores e supervisores contratados pelo Instituto de Pesquisa Caleffi Ltda EPP, devidamente treinas para este tipo de trabalha de serviços de campo, 20% dos questionarios são avaliados e fiscalizados, para verificação das respostas e adequação aos parametros amostrais.";"A área de abrangência da coleta é o Estado de Roraima. Boa Vista sera entrevistados 1595 distribuidos em 51 bairros, Sedede Rorainópolis 130, Sede de Caracaraí 102, Sede de Mucajaí 91 e Sede do Canta 85. "
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000202014";"2014-10-20 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador";"2014-10-20 00:00:00";"2014-10-25 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"75662,16";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 23% (feminino) 26%; 25-34 (masculino) 26% (feminino) 29%; 35-44 (masculino) 21% (feminino) 21%; 45-54 (masculino) 15% (feminino) 13%; 55 e+ (masculino) 15% (feminino) 11%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 75%; Ensino Superior (masculino) 18% (feminino) 25%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 82% (feminino) 57%; Não Economicamente ativo (masculino) 18% (feminino) 43%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado de Roraima. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RR";"RR";"RORAIMA";"RR000112014";"2014-09-26 00:00:00";"#NE";"06023655000161";"A F SOARES MARKETING E PESQUISAS DE MERCADO LTDA";"#NE";"Governador, Senador";"2014-09-27 00:00:00";"2014-09-30 00:00:00";1220;"7117-A ";"JOÃO CALDAS DO LAGO NETO ";"30000,00";"Survey, quantitativa, descritiva, transversal. Pesquisa de campo (dados primários). Amostragem não probabilística, estratificada por cotas. Universo: eleitores residentes e domiciliados na área urbana dos municípios pesquisados. Coleta dos dados: questionário estruturado, aplicado de modo presencial em entrevista direta ou face-to-face. Tratamento dos dados: estatística descritiva (Média, mediana, desvio-padrão),  analise de normalidade (Skewness e curtosis) e análises multivariadas (AFE – Análise Fatorial Exploratória). ";"Plano amostral e ponderação quanto a sexo, idade e bairro do entrevistado; intervalo de confiança e margem de erro: erro de 3% para mais ou menos em um em um intervalo de confiança de 95% 
O universo da pesquisa é de acordo com o TRE RR – Tribunal Regional Eleitoral do Estado de Roraima, formado por 299.558 eleitores (atualizado em 23/09/2014, às 11:07) aptos a votar em Roraima. O tamanho da amostra será de 1.220 indivíduos. O erro amostral para a amostra é de 3% para mais ou menos, considerando um nível de confiança de 95%. A pesquisa será aplicada na zona urbana de Boa Vista e mais 7 municípios conforme, ponderação descrita a seguir: divisão por meio da proporcionalidade ao tamanho do Universo da amostra entre os municípios e bairros; seguida pela amostra aleatória simples distribuída por setores censitários marcados pelos quarteirões onde cada pesquisador terá conhecimento de sua área de abrangência em mapa elaborado no Software Arc Map 11.0. As entrevistas serão realizadas por 24 pesquisadores de campo, sob coordenação de 3 coordenadores de equipes subordinados ao Setor de Coleta de Dados da Action. Para estabelecer a distribuição da amostra total (1.220 indivíduos) foi utilizado o Software Sphinx na função ponderação pelo critério PPT. Desta forma foram estimadas as frequências absolutas (ao lado de suas respectivas frequências relativas) para cada município, de acordo com a sua proporção na amostra. A distribuição prevista foi, para BOA VISTA 777 (63,7%); RORAINOPOLIS 80 (6,6%), CARACARAI 62 (5,1%), MUCAJAI 56 (4,6%), ALTO ALEGRE 74 (6,1%), CAROEBE 46 (3,8%), NORMANDIA 46 (3,8%), IRACEMA 79 (6,5%), no TOTAL 1.220 (100%). Gênero Masculino 598 (49%), Feminino 622 (51%) no TOTAL 1.220 (100%).  Faixa etária De 16 a 24 anos 276 (23%), De 25 a 34 anos 327 (27%), De 35 a 44 anos 250 (20%), De 45 a 59 anos 245 (20%), De 60 anos ou mais 122 (10%), no TOTAL 1.220 (100%). Em Boa Vista e nos demais municípios a Ponderação por bairro será conforme características geográficas e com amostragem proporcional por bairro dentro de cada município.
";"O controle será exercido por verificação física do preenchimento dos questionários, checagem das respostas em 20% dos indivíduos em cada lote de 50 questionários, desta forma, todos os pesquisadores serão avaliados. Primeiramente o controle da qualidade excluirá os questionários sem preenchimento de um bloco de questões abertas ou fechadas, com rasuras sem justificativas, com incoerências. Em uma segunda etapa, após digitação e correção dos dados, as variáveis correlatas serão cruzadas e os questionários que apresentarem incoerências ou anormalidade, segundo a distância de Mahalanobis, serão excluídos e substituídos por outros coletados como excedente ou reposição de cotas. ";"Atendendo às exigências do Capítulo I, do art. 2º. § 5º da Resolução-TSE nº. 23.400/2013, indicam-se as zonas a serem exploradas na pesquisa, sendo que em, até 24 horas após a divulgação de resultados, serão enviados os dados referentes aos respectivos bairros. A distribuição prevista foi, para BOA VISTA 777 (63,7%); RORAINOPOLIS 80 (6,6%), CARACARAI 62 (5,1%), MUCAJAI 56 (4,6%), ALTO ALEGRE 74 (6,1%), CAROEBE 46 (3,8%), NORMANDIA 46 (3,8%), IRACEMA 79 (6,5%), no TOTAL 1.220 (100%). Gênero Masculino 598 (49%), Feminino 622 (51%) no TOTAL 1.220 (100%).  Faixa etária De 16 a 24 anos 276 (23%), De 25 a 34 anos 327 (27%), De 35 a 44 anos 250 (20%), De 45 a 59 anos 245 (20%), De 60 anos ou mais 122 (10%), no TOTAL 1.220 (100%). Em Boa Vista e nos demais municípios a Ponderação por bairro será conforme características geográficas e com amostragem proporcional ao universo de eleitores por bairro dentro de cada município."
