"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000122014";"2014-08-29 00:00:00";"#NE";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NE";"Governador, Senador";"2014-09-02 00:00:00";"2014-09-03 00:00:00";1248;"72.49A";"Renata Nunes César";"93300,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto do eleitorado do Estado do Rio Grande do Sul com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.248 entrevistas. Técnica de amostragem: A amostra é estratificada por porte dos municípios e natureza dos municípios (região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Nessa amostra, o estrato referente à capital foi desproporcionalizado para permitir detalhamento. Nos resultados finais, as corretas proporções serão restabelecidas através de ponderação. A amostra prevista é de 1.248 questionários, sendo 416 na capital. Os dados utilizados para definição e seleção da amostra são baseados no TSE (eleitorado julho 2014) e IBGE (Censo 2010 e Estimativas 2013). Os dados relativos a sexo e faixa etária são: Sexo masculino 48%, feminino: 52%, 16 a 24 anos 14%, 25 a 34 anos 21%, 35 a 44 anos 18%, 45 a 59 anos 26% e 60 anos ou mais 21%. Ponderação dos resultados: No processamento dos dados é realizada ponderação referente à proporção de cada cidade na amostra para correta representação. Está prevista a eventual ponderação para correção nos tamanhos dos segmentos da tabela acima considerando as variáveis sexo e faixa etária. Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Área física: Serão realizadas entrevistas em 47 municípios, localizados no Estado do Rio Grande do Sul. Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A maior parte da coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente, até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.400/2013 do TSE, no art.2º §5º."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000112014";"2014-08-24 00:00:00";"#NE";"00853528000103";"Instituto Methodus Análise de Mercado Sociedade Simples Limitada";"#NE";"Governador, Senador";"2014-08-19 00:00:00";"2014-08-23 00:00:00";1500;"8700";"Lisiane Priscila Roldão Selau";"50000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados e padronizados junto a uma amostra representativa do eleitorado em estudo.";"Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Técnica de amostragem: A amostra é por cotas segundo combinação das variáveis sexo e faixa etária do eleitorado. As cotas terão tamanho proporcional a esses segmentos, de acordo com dados do IBGE (censo 2010) para o Estado em questão. Os tamanhos desses segmentos são: Sexo Feminino 51,14%, Sexo Masculino 48,86%, Idades: 16 a 24 anos 16,69%, 25 a 34 anos 23,38%, 35 a 44 anos 20,67%, 45 a 54 anos 20,13%, 55 a 64 anos 14,41% e 65 anos ou mais 4,72%. Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos das cotas, considerando as variáveis sexo e faixa etária, de acordo com os percentuais detalhados anteriormente.
 Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo).
Área física: Estado do Rio Grande do Sul, os municípios onde as entrevistas serão realizadas  foram escolhidos através de um sorteio probabilístico, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
 A margem de erro máxima prevista para a proporção estimada é de 2,5 pontos percentuais, para mais ou para menos, considerando um nível de confiança de 95%. Tamanho da amostra: A amostra prevista é de 1.500 entrevistas.
";"Para a realização da pesquisa é utilizada uma equipe de pesquisadores e supervisores do INSTITUTO METHODUS devidamente treinada para este trabalho. Após os trabalhos de campo, 20 % dos questionários são submetidos a uma fiscalização para a verificação das respostas e da adequação das mesmas aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Rio Grande do Sul. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7 dia seguinte ao registro da pesquisa, conforme determinado no art 2º paragrafo 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000142014";"2014-09-04 00:00:00";"#NE";"00853528000103";"Instituto Methodus Análise de Mercado Sociedade Simples Limitada";"#NE";"Senador";"2014-09-04 00:00:00";"2014-09-08 00:00:00";1500;"8700";"Lisiane Priscila Roldão Selau";"50000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados e padronizados junto a uma amostra representativa do eleitorado em estudo.";"Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Técnica de amostragem: A amostra é por cotas segundo combinação das variáveis sexo e faixa etária do eleitorado. As cotas terão tamanho proporcional a esses segmentos, de acordo com dados do IBGE (censo 2010) para o Estado em questão. Os tamanhos desses segmentos são: Sexo Feminino 51,14%, Sexo Masculino 48,86%, Idades: 16 a 24 anos 16,69%, 25 a 34 anos 23,38%, 35 a 44 anos 20,67%, 45 a 54 anos 20,13%, 55 a 64 anos 14,41% e 65 anos ou mais 4,72%. Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos das cotas, considerando as variáveis sexo e faixa etária, de acordo com os percentuais detalhados anteriormente.
 Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo).
Área física: Estado do Rio Grande do Sul, os municípios onde as entrevistas serão realizadas  foram escolhidos através de um sorteio probabilístico, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
 A margem de erro máxima prevista para a proporção estimada é de 2,5 pontos percentuais, para mais ou para menos, considerando um nível de confiança de 95%. Tamanho da amostra: A amostra prevista é de 1.500 entrevistas.
";"Para a realização da pesquisa é utilizada uma equipe de pesquisadores e supervisores do INSTITUTO METHODUS devidamente treinada para este trabalho. Após os trabalhos de campo, 20 % dos questionários são submetidos a uma fiscalização para a verificação das respostas e da adequação das mesmas aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Rio Grande do Sul. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7 dia seguinte ao registro da pesquisa, conforme determinado no art 2º paragrafo 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000102014";"2014-08-13 00:00:00";"#NE";"00853528000103";"Instituto Methodus Análise de Mercado Sociedade Simples Limitada";"#NE";"Governador, Senador";"2014-08-08 00:00:00";"2014-08-13 00:00:00";1500;"8700";"Lisiane Priscila Roldão Selau";"55000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados e padronizados junto a uma amostra representativa do eleitorado em estudo.";"Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Técnica de amostragem: A amostra é por cotas segundo combinação das variáveis sexo e faixa etária do eleitorado. As cotas terão tamanho proporcional a esses segmentos, de acordo com dados do IBGE (censo 2010) para o Estado em questão. Os tamanhos desses segmentos são: Sexo Feminino 51,14%, Sexo Masculino 48,86%, Idades: 16 a 24 anos 16,69%, 25 a 34 anos 23,38%, 35 a 44 anos 20,67%, 45 a 54 anos 20,13%, 55 a 64 anos 14,41% e 65 anos ou mais 4,72%. Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos das cotas, considerando as variáveis sexo e faixa etária, de acordo com os percentuais detalhados anteriormente.
 Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo).
Área física: Estado do Rio Grande do Sul, os municípios onde as entrevistas serão realizadas  foram escolhidos através de um sorteio probabilístico, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
 A margem de erro máxima prevista para a proporção estimada é de 2,5 pontos percentuais, para mais ou para menos, considerando um nível de confiança de 95%. Tamanho da amostra: A amostra prevista é de 1.500 entrevistas.
";"Para a realização da pesquisa é utilizada uma equipe de pesquisadores e supervisores do INSTITUTO METHODUS ANÁLISE DE MERCADO SOCIEDADE SIMPLES LIMITADA devidamente treinada para este trabalho. Após os trabalhos de campo, 20 % dos questionários são submetidos a uma fiscalização para a verificação das respostas e da adequação das mesmas aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Rio Grande do Sul. A relação dos municípios selecionados para aplicação da amostra será apresentada até o 7 dia seguinte ao registro da pesquisa, conforme determinado no art 2º paragrafo 5º da resolução 23.400/2013 do TSE"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000092014";"2014-08-08 00:00:00";"#NE";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NE";"Governador, Senador";"2014-08-12 00:00:00";"2014-08-14 00:00:00";1248;"72.49A";"Renata Nunes César";"93300,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto do eleitorado do Estado do Rio Grande do Sul com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.248 entrevistas. Técnica de amostragem: A amostra é estratificada por porte dos municípios e natureza dos municípios (região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Nessa amostra, o estrato referente à capital foi desproporcionalizado para permitir detalhamento. Nos resultados finais, as corretas proporções serão restabelecidas através de ponderação. A amostra prevista é de 1.248 questionários, sendo 416 na capital. Os dados utilizados para definição e seleção da amostra são baseados no TSE (eleitorado julho 2014) e IBGE (Censo 2010 e Estimativas 2013). Os dados relativos a sexo e faixa etária são: Sexo masculino 48%, feminino: 52%, 16 a 24 anos 14%, 25 a 34 anos 21%, 35 a 44 anos 18%, 45 a 59 anos 26% e 60 anos ou mais 21%. Ponderação dos resultados: No processamento dos dados é realizada ponderação referente à proporção de cada cidade na amostra para correta representação. Está prevista a eventual ponderação para correção nos tamanhos dos segmentos da tabela acima considerando as variáveis sexo e faixa etária. Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Área física: Serão realizadas entrevistas em 47 municípios, localizados no Estado do Rio Grande do Sul. Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A maior parte da coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente, até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.400/2013 do TSE, no art.2º §5º."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000342014";"2014-10-17 00:00:00";"#NE";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NE";"Governador";"2014-10-22 00:00:00";"2014-10-23 00:00:00";1584;"72.49A";"Renata Nunes César";"93300,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto do eleitorado do Estado do Rio Grande do Sul com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.584 entrevistas. Técnica de amostragem: A amostra é estratificada por porte dos municípios e natureza dos municípios (região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Nessa amostra, o estrato referente à capital foi desproporcionalizado para permitir detalhamento. Nos resultados finais, as corretas proporções serão restabelecidas através de ponderação. A amostra prevista é de 1.584 questionários, sendo 416 na capital. Os dados utilizados para definição e seleção da amostra são baseados no TSE (eleitorado julho 2014) e IBGE (Censo 2010 e Estimativas 2014). Os dados relativos a sexo e faixa etária são: Sexo masculino 48%, feminino: 52%, 16 a 24 anos 14%, 25 a 34 anos 21%, 35 a 44 anos 18%, 45 a 59 anos 26% e 60 anos ou mais 21%. Ponderação dos resultados: No processamento dos dados é realizada ponderação referente à proporção de cada cidade na amostra para correta representação. Está prevista a eventual ponderação para correção nos tamanhos dos segmentos da tabela acima considerando as variáveis sexo e faixa etária. Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Área física: Serão realizadas entrevistas em 60 municípios, localizados no Estado do Rio Grande do Sul. Margem de Erro: A margem de erro máxima prevista é de 2 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A maior parte da coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente, até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.400/2013 do TSE, no art.2º §5º.

"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000152014";"2014-09-04 00:00:00";"#NE";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NE";"Governador, Senador";"2014-09-08 00:00:00";"2014-09-09 00:00:00";1280;"72.49A";"Renata Nunes César";"93300,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto do eleitorado do Estado do Rio Grande do Sul com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.280 entrevistas. Técnica de amostragem: A amostra é estratificada por porte dos municípios e natureza dos municípios (região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Nessa amostra, o estrato referente à capital foi desproporcionalizado para permitir detalhamento. Nos resultados finais, as corretas proporções serão restabelecidas através de ponderação. A amostra prevista é de 1.280 questionários, sendo 416 na capital. Os dados utilizados para definição e seleção da amostra são baseados no TSE (eleitorado julho 2014) e IBGE (Censo 2010 e Estimativas 2013). Os dados relativos a sexo e faixa etária são: Sexo masculino 48%, feminino: 52%, 16 a 24 anos 14%, 25 a 34 anos 21%, 35 a 44 anos 18%, 45 a 59 anos 26% e 60 anos ou mais 21%. Ponderação dos resultados: No processamento dos dados é realizada ponderação referente à proporção de cada cidade na amostra para correta representação. Está prevista a eventual ponderação para correção nos tamanhos dos segmentos da tabela acima considerando as variáveis sexo e faixa etária. Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Área física: Serão realizadas entrevistas em 49 municípios, localizados no Estado do Rio Grande do Sul. Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A maior parte da coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente, até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.400/2013 do TSE, no art.2º §5º."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000162014";"2014-09-05 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-05 00:00:00";"2014-09-10 00:00:00";1008;"6208-A";"Márcia Cavallari Nunes";"65520,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico nos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 19% (feminino) 16%; 25-34 (masculino) 23% (feminino) 21%; 35-44 (masculino) 19% (feminino) 20%; 45-54 (masculino) 19% (feminino) 19%; 55 e+ (masculino) 20% (feminino) 23%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 77%; Ensino Superior (masculino) 18% (feminino) 23%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 83% (feminino) 64%; Não Economicamente ativo (masculino) 17% (feminino) 36%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Rio Grande do Sul. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000182014";"2014-09-13 00:00:00";"#NE";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NE";"Governador, Senador";"2014-09-17 00:00:00";"2014-09-18 00:00:00";1296;"72.49A";"Renata Nunes César";"93300,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto do eleitorado do Estado do Rio Grande do Sul com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.296 entrevistas. Técnica de amostragem: A amostra é estratificada por porte dos municípios e natureza dos municípios (região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Nessa amostra, o estrato referente à capital foi desproporcionalizado para permitir detalhamento. Nos resultados finais, as corretas proporções serão restabelecidas através de ponderação. A amostra prevista é de 1.296 questionários, sendo 416 na capital. Os dados utilizados para definição e seleção da amostra são baseados no TSE (eleitorado julho 2014) e IBGE (Censo 2010 e Estimativas 2014). Os dados relativos a sexo e faixa etária são: Sexo masculino 48%, feminino: 52%, 16 a 24 anos 14%, 25 a 34 anos 21%, 35 a 44 anos 18%, 45 a 59 anos 26% e 60 anos ou mais 21%. Ponderação dos resultados: No processamento dos dados é realizada ponderação referente à proporção de cada cidade na amostra para correta representação. Está prevista a eventual ponderação para correção nos tamanhos dos segmentos da tabela acima considerando as variáveis sexo e faixa etária. Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Área física: Serão realizadas entrevistas em 50 municípios, localizados no Estado do Rio Grande do Sul. Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A maior parte da coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente, até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.400/2013 do TSE, no art.2º §5º."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"RS";"RS";"RIO GRANDE DO SUL";"RS000212014";"2014-09-19 00:00:00";"#NE";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NE";"Governador, Senador";"2014-09-25 00:00:00";"2014-09-26 00:00:00";1408;"72.49A";"Renata Nunes César";"93300,00";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O conjunto do eleitorado do Estado do Rio Grande do Sul com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do Estado do Rio Grande do Sul, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.408 entrevistas. Técnica de amostragem: A amostra é estratificada por porte dos municípios e natureza dos municípios (região metropolitana ou interior). Em cada estrato, num primeiro estágio, são sorteados os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de sexo e faixa etária. Nessa amostra, o estrato referente à capital foi desproporcionalizado para permitir detalhamento. Nos resultados finais, as corretas proporções serão restabelecidas através de ponderação. A amostra prevista é de 1.408 questionários, sendo 416 na capital. Os dados utilizados para definição e seleção da amostra são baseados no TSE (eleitorado julho 2014) e IBGE (Censo 2010 e Estimativas 2014). Os dados relativos a sexo e faixa etária são: Sexo masculino 48%, feminino: 52%, 16 a 24 anos 14%, 25 a 34 anos 21%, 35 a 44 anos 18%, 45 a 59 anos 26% e 60 anos ou mais 21%. Ponderação dos resultados: No processamento dos dados é realizada ponderação referente à proporção de cada cidade na amostra para correta representação. Está prevista a eventual ponderação para correção nos tamanhos dos segmentos da tabela acima considerando as variáveis sexo e faixa etária. Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Área física: Serão realizadas entrevistas em 54 municípios, localizados no Estado do Rio Grande do Sul. Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Os pesquisadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A maior parte da coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados.";"A relação completa dos municípios e bairros pesquisados será encaminhada a esse tribunal posteriormente, até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.400/2013 do TSE, no art.2º §5º."
