"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000172014";"2014-08-11 00:00:00";"#NE";"84307974000102";"FUNDAÇÃO UNIVERSIDADE DO VALE DO ITAJAÍ";"#NE";"Governador, Senador, Deputado Federal, Deputado Estadual";"2014-08-12 00:00:00";"2014-08-15 00:00:00";630;"6936";"GILCE ZELINDA BATTISTUZ";"11000,00";"A pesquisa é desenvolvida com instrumento de coleta de dados semiestruturado composto por perguntas abertas (respostas espontâneas) e fechadas (com cartões circulares contendo nomes de candidatos). O instrumento de coleta de dados é constituído por 5 (CINCO) módulos: (i) dados de controle interno; (ii) dados básicos de classificação socioeconômica; (iii) Avaliação de Gestão e de Prefeito Municipal; (iv) Dados de Comportamento Eleitoral (Presidente, Senador, Governador); e (v) Dados de Comportamento Eletoral (Deputados Federais e Deputados estaduais). Serão realizadas, no mínimo, 630 (seiscentas e trinta) entrevistas válidas no período de 12 a 15 de agosto de 2014. A amostra é distribuída proporcionalmente entre os bairros do município de JOINVILLE/SC de acordo com distribuição da população eleitoral apresentada pelo (TRE/SC, 01/08/14). A abordagem é classificada como aleatória simples com membros da população de pesquisa (eleitores de JOINVILLE/SC, moradores ou não) em circulação nos 41 pontos de coleta durante o período de coleta de dados. Metodologicamente esses membros dispõem de suas opções e seleções sociais de forma pública e, por conseguinte, passamos a obter informações relativamente depuradas social e politicamente. Este procedimento metodológico tem se mostrado mais adequado em relação ao conjunto de pesquisas de opinião pública em geral e especialmente nas pesquisas sobre comportamento eleitoral que realizamos desde o ano de 1999 no NESP (Núcleo de Estudos Sociais e Políticos órgão do Curso de Graduação em Ciências Sociais da Univali) e no IPS Univali (Instituto de Pesquisas Sociais Univali)";"População (N) 386.917 eleitores (TRE-SC 01/08/2014)
Erro Amostral (e) admitido ±4,00 pontos percentuais 
Intervalo de Confiança (Z) 95% 
Ponderações realizadas por Locais de Votação gênero faixa etária grau de instrução e renda individual de acordo com proporcionalidade da amostra (TRE-SC, 01/08/2014)";"O processo de coleta de dados é realizado com controle de Coordenador de Campo e Supervisores de Campo e todos os pesquisadores de campo passam por formação específica sobre pedagogia da pesquisa pedagogia de abordagem e ação comunicativa. Estes aspectos fundamentam e organizam as práticas de pesquisa orientando todas as etapas de trabalho. Todas as entrevistas são realizadas com membros em circulação individualmente em ambientes públicos e abertos. Nossos pesquisadores de campo são identificados por vestes (uniformes) durante a abordagem de entrevistados As abordagens aos entrevistados são realizadas conforme tempo de realização de abordagens [o tempo entre entrevistas é de 2 minutos no período matutino e de 2 minutos no período vespertino, em média]. Todas as entrevistas realizadas e registradas em cartões-resposta são conferidas em campo, durante a validação interna e durante o processo de sistematização de dados realizado em Software próprio e exclusivo (SISTEMAK). A distribuição dos pesquisadores é realizada em áreas de circulação de eleitores e adjacências de acordo com dados de eleitores apresentadas pelo TRE-SC em 01/08/2014 (www.tre-sc.gov.br) O objetivo é assumir as diversidades da composição da população de pesquisa como forma de tornar substantivamente representativos os resultados de pesquisa.";"ARQUIVO ANEXO"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000212014";"2014-08-20 00:00:00";"#NE";"09256171000150";"IPC - Instituto de Pesquisa Catarinense";"#NE";"Governador, Senador";"2014-08-21 00:00:00";"2014-08-24 00:00:00";625;"8159";"José Mário Lima ";"5000,00";"Pesquisa quantitativa, por amostragem. A amostra é representativa ao eleitorado em estudo. A técnica de coleta de dados será a de entrevistas pessoais, individuais, aplicadas com base em questionário estruturado.";"A amostragem é aleatória e estratificada por domicílio e proporcional ao número de eleitores por bairro. 
Dentro desta amostragem, a amostra é representativa por sexo (47,8% do sexo masculino e 52,2% do sexo feminino), idade (15,5% de 16 a 24 anos, 23,9% de 25 a 34 anos, 18,1% de 35 a 44 anos, 26,9% de 45 a 59 anos e 15,6% com mais de 60 anos) e grau de instrução (4,7% analfabeto/lê e escreve, 43,2% ensino fundamental incompleto/completo, 41,6% ensino médio incompleto/completo, 10,6% ensino superior incompleto/completo), conforme base de dados do TRE/SC, atualizado em 01/08/2014.

Busca-se ainda que a amostra seja representativa por nível econômico/renda familiar (1,3% das famílias sem rendimento, 4,4% até 1 SM, 12,4% de 1 a 2 SM, 41,8% de 2 a 5 SM, 26,8% de 5 a 10 SM, 9,5% de 10 a 20 SM e 3,8% mais de 20 SM), conforme base de dados do Censo IBGE, 2010 para o município de Criciúma. 

A pesquisa será realizada em 52 bairros do município de CRICIÚMA. O intervalo de confiança é de 95%. A margem de erro máxima de 4,0 p.p. 
";"A pesquisa é realizada por pesquisadores treinados e com experiência em pesquisa. Os trabalhos de campo são coordenados por um técnico responsável do IPC. O grupo de pesquisadores, juntamente com o técnico responsável, vai a campo em um veículo apropriado para conduzir a equipe até os bairros. Durante a realização da pesquisa estes são orientados e fiscalizados pelo técnico responsável. Ao término da pesquisa de campo, os questionários passam por um controle interno, e são encaminhados à digitação. O processamento e análise da pesquisa são realizados pelo programa computacional chamado Sphinx, ferramenta de suporte para a concepção de uma estrutura de dados, para elaboração e edição de questionários, para a coleta ou armazenamento de dados e principalmente para a análise quantitativa e qualitativa dos dados. ";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000252014";"2014-09-16 00:00:00";"#NE";"05590702000196";"ACCORD CONSULTORIA LTDA";"#NE";"Governador, Senador";"2014-09-15 00:00:00";"2014-09-19 00:00:00";1200;"6641 - A";"Dario Nery";"42000,00";".A metodologia da pesquisa realizada pela Accord, é a utilização de questionário estruturado, e amostragem probabilística simples, com efetuação de entrevistas pessoais em pontos de fluxo populacional , tendo por universo o eleitorado dos municípios investigado, obedecendo ao regime de quotas (base TSE de 2014/Censo) por densidade eleitoral das regiões, sexo, idade, grau de instrução e nível econômico. Esta metodologia assegura a representatividade de todos os segmentos sociais da população em qualquer Estado e/ou municipio brasileiro, sendo incluídas na amostra as zonas geográficas descritas no questionário.";"O plano Amostral segundo os itens exigidos por lei seguem descritos:

 Universo – Eleitorado do Estado de Santa Catarina, com 16 anos ou mais.

 Amostragem, coeficiente de confiança, margem de erro: A pesquisa Accord vai entrevistar 1200 eleitores. A amostra garante a nível municipal uma margem de erro de 3% para um intervalo e confiança de 95% . 
As ponderações em relação a sexo, idade, grau de instrução e nível econômico , descritas nas perguntas 1 a 4 do questionário, serão realizadas para refletir estatisticamente a proporção do eleitorado consultado..conforme percentuais

Masculino 48,7  Feminino 51,3 = 100
FAIXA ETÁRIA: TSE/2014 %
De 16 a 17 anos 0,9
De 18 a 24 anos 14,6
De 25 a 34 anos 22,7
De 35 a 44 anos 19,6
De 45 a 59 anos 25,4
Mais de 60 anos 16,8 = 100
GRAU DE INSTRUÇÃO: TSE/2014 %
Analfabeto / 1 ano ou menos de estudo 9,3
Ensino Fundamental (incompleto/completo) 43,1
Ensino Médio (incompleto/completo) 37,5
Superior (incompleto/completo) 10,1 = 100
FAIXA DE RENDA: CENSO/2010 %
Até 724,00 – 7,7
De R$ 724,01 a R$1.448,00 – 14,6
De R$ 1.448,01 a R$ 2.172,00  -24,6
De R$ 2.172,01 a R$ 3.620,00 – 16,5
Acima de R$ 3.620,01 – 36,6 = 100
";"O Sistema interno de controle, verificação, conferência e fiscalização da coleta de dados, do trabalho de campo é assim descrito: durante os trabalhos de campo, 20% das entrevistas são refeitas pelos supervisores das equipes, para checar a veracidade das entrevistas e das respostas registradas pelos entrevistadores.

 				Alem da checagem de 20% das entrevistas (externa),internamente, os dados de diferentes questões são pré-processados e cruzados entre si, permitindo fazer-se a critica dos mesmos, para verificação de eventuais inconsistências, ou seja, se existem conflitos ou contradições as respostas dadas pelos eleitores durante as entrevistas ou eventuais erros dos entrevistadores ao assinalarem aquelas respostas.

 				Caso os testes internos comprovem a ocorrência de inconsistências nas quotas de um dos entrevistadores inferior a 3%, a quota dele é validada, mas as entrevistas comprometidas são excluídas da amostra (para poderem fazer a eventual reposição de entrevistas canceladas neste filtro, em geral, os institutos de pesquisa colhem amostras superiores as registradas), se o número de inconsistências verificado for superior a 3%, o entrevistador é afastado da empresa, a quota de entrevistas feitas por ele é cancelada e a parcela do campo comprometida ( a quota dele) é refeita integralmente.
";"6 mesorregiões do Estado, com a inclusão obrigatória de suas sedes, a saber,
Chapecó, Lages, Criciúma, Florianópolis, Blumenau, Joinville, e mais 42
cidades médias e pequenas, sorteadas aleatoriamente."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000272014";"2014-09-19 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-19 00:00:00";"2014-09-24 00:00:00";1008;"6208-A";"Márcia Cavallari Nunes";"68544,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 19% (feminino) 18%; 25-34 (masculino) 23% (feminino) 22%; 35-44 (masculino) 22% (feminino) 21%; 45-54 (masculino) 18% (feminino) 19%; 55 e+ (masculino) 19% (feminino) 21%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 78%; Ensino Superior (masculino) 18% (feminino) 22%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 82% (feminino) 61%; Não Economicamente ativo (masculino) 18% (feminino) 39%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado de Santa Catarina. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000052014";"2014-04-01 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-03-28 00:00:00";"2014-04-01 00:00:00";812;"6208-A";"Márcia Cavallari Nunes";"55216,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.
";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 19% (feminino) 17%; 25-34 (masculino) 21% (feminino) 20%; 35-44 (masculino) 21% (feminino) 20%; 45-54 (masculino) 18% (feminino) 18%; 55 e+ (masculino) 22% (feminino) 25%; INSTRUÇÃO: Até Ensino Médio (masculino) 83% (feminino) 80%; Ensino Superior (masculino) 17% (feminino) 20%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 79% (feminino) 58%; Não Economicamente ativo (masculino) 21% (feminino) 42%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2012
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é no Estado de Santa Catarina. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7 dia seguinte ao
registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE.
"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000082014";"2014-05-10 00:00:00";"#NE";"18237296000124";"INCOPE - Instituto Catarinense de Opinião Pública e Estatística";"#NE";"Governador, Senador";"2014-05-06 00:00:00";"2014-05-12 00:00:00";800;"9339";"Júlio Henrique Ely Zibetti";"11000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. ";"A amostragem é aleatória simples e considerada a proporcionalidade do número de eleitores por bairro e cidades. A amostragem exige, ainda, que haja entrevistados por sexo (Masculino e feminino), idade (16 a 24, 25 a 34, 35 a 44, 45 a 54, 55 a 64 e mais de 65), grau de instrução (Fundamental incompleto, Fundamental completo, Médio incompleto, Médio completo, Superior incompleto, Superior completo e Pós graduação) além de nível econômico (E/F - (Ate R$ 950,00), D/E - (De R$ 950,01 a R$2.299,99),C - (De R$2.300,00 a R$4.599,99),B - (De R$ 4.600,00 a R$ 8.099,99) e A – (Acima de R$ 8.100,00), conforme dados do IBGE. A margem de erro é de 3,5% e o nível de confiança é de 95%. ";"A pesquisa é realizada com supervisão de coordenadores/fiscalizadores no campo. Todos os pesquisadores são acompanhados por este profissional que, além de orientar, revisa todos os questionários ainda no campo. Antes de irem para digitação, os questionários ainda são submetidos uma última revisão no instituto para a hipótese de eventuais desvios ou incongruencias. Por fim, por sorteio, são escolhidos pelo menos 20% da amostra total de questionários, os quais serão revisados por contato telefonico com o mesmo entrevistado que o respondeu presencialmente ao pesquisador.
";"#NULO#"
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000242014";"2014-09-12 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-12 00:00:00";"2014-09-17 00:00:00";1008;"6208-A";"Márcia Cavallari Nunes";"68544,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 19% (feminino) 18%; 25-34 (masculino) 23% (feminino) 22%; 35-44 (masculino) 22% (feminino) 21%; 45-54 (masculino) 18% (feminino) 19%; 55 e+ (masculino) 19% (feminino) 21%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 78%; Ensino Superior (masculino) 18% (feminino) 22%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 82% (feminino) 61%; Não Economicamente ativo (masculino) 18% (feminino) 39%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado de Santa Catarina. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000302014";"2014-09-25 00:00:00";"#NE";"05590702000196";"ACCORD CONSULTORIA LTDA";"#NE";"Governador, Senador";"2014-09-25 00:00:00";"2014-09-29 00:00:00";1200;"6641 - A";"Dario Nery";"42000,00";".A metodologia da pesquisa realizada pela Accord, é a utilização de questionário estruturado, e amostragem probabilística simples, com efetuação de entrevistas pessoais em pontos de fluxo populacional , tendo por universo o eleitorado dos municípios investigado, obedecendo ao regime de quotas (base TSE de 2014/Censo) por densidade eleitoral das regiões, sexo, idade, grau de instrução e nível econômico. Esta metodologia assegura a representatividade de todos os segmentos sociais da população em qualquer Estado e/ou municipio brasileiro, sendo incluídas na amostra as zonas geográficas descritas no questionário.";"O plano Amostral segundo os itens exigidos por lei seguem descritos:

 Universo – Eleitorado do Estado de Santa Catarina, com 16 anos ou mais.

 Amostragem, coeficiente de confiança, margem de erro: A pesquisa Accord vai entrevistar 1200 eleitores. A amostra garante a nível municipal uma margem de erro de 3% para um intervalo e confiança de 95% . 
As ponderações em relação a sexo, idade, grau de instrução e nível econômico , descritas nas perguntas 1 a 4 do questionário, serão realizadas para refletir estatisticamente a proporção do eleitorado consultado..conforme percentuais

Masculino 48,7  Feminino 51,3 = 100
FAIXA ETÁRIA: TSE/2014 %
De 16 a 17 anos 0,9
De 18 a 24 anos 14,6
De 25 a 34 anos 22,7
De 35 a 44 anos 19,6
De 45 a 59 anos 25,4
Mais de 60 anos 16,8 = 100
GRAU DE INSTRUÇÃO: TSE/2014 %
Analfabeto / 1 ano ou menos de estudo 9,3
Ensino Fundamental (incompleto/completo) 43,1
Ensino Médio (incompleto/completo) 37,5
Superior (incompleto/completo) 10,1 = 100
FAIXA DE RENDA: CENSO/2010 %
Até 724,00 – 7,7
De R$ 724,01 a R$1.448,00 – 14,6
De R$ 1.448,01 a R$ 2.172,00  -24,6
De R$ 2.172,01 a R$ 3.620,00 – 16,5
Acima de R$ 3.620,01 – 36,6 = 100
";"O Sistema interno de controle, verificação, conferência e fiscalização da coleta de dados, do trabalho de campo é assim descrito: durante os trabalhos de campo, 20% das entrevistas são refeitas pelos supervisores das equipes, para checar a veracidade das entrevistas e das respostas registradas pelos entrevistadores.

 				Alem da checagem de 20% das entrevistas (externa),internamente, os dados de diferentes questões são pré-processados e cruzados entre si, permitindo fazer-se a critica dos mesmos, para verificação de eventuais inconsistências, ou seja, se existem conflitos ou contradições as respostas dadas pelos eleitores durante as entrevistas ou eventuais erros dos entrevistadores ao assinalarem aquelas respostas.

 				Caso os testes internos comprovem a ocorrência de inconsistências nas quotas de um dos entrevistadores inferior a 3%, a quota dele é validada, mas as entrevistas comprometidas são excluídas da amostra (para poderem fazer a eventual reposição de entrevistas canceladas neste filtro, em geral, os institutos de pesquisa colhem amostras superiores as registradas), se o número de inconsistências verificado for superior a 3%, o entrevistador é afastado da empresa, a quota de entrevistas feitas por ele é cancelada e a parcela do campo comprometida ( a quota dele) é refeita integralmente.
";"Área de abrangência da pesquisa:
6 mesorregiões do Estado, com a inclusão obrigatória de suas sedes, a saber,
Chapecó, Lages, Criciúma, Florianópolis, Blumenau, Joinville, e mais 42
cidades médias e pequenas, sorteadas aleatoriamente."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000342014";"2014-09-28 00:00:00";"#NE";"68802370000186";"IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. ";"#NE";"Governador, Senador";"2014-09-28 00:00:00";"2014-10-03 00:00:00";1610;"6208-A";"Márcia Cavallari Nunes";"109480,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo.";"Representativa do eleitorado da área em estudo, elaborada em três estágios.
No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção.
No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 19% (feminino) 18%; 25-34 (masculino) 23% (feminino) 22%; 35-44 (masculino) 22% (feminino) 21%; 45-54 (masculino) 18% (feminino) 19%; 55 e+ (masculino) 19% (feminino) 21%; INSTRUÇÃO: Até Ensino Médio (masculino) 82% (feminino) 78%; Ensino Superior (masculino) 18% (feminino) 22%; NÍVEL ECONÔMICO: Economicamente ativo (masculino) 82% (feminino) 61%; Não Economicamente ativo (masculino) 18% (feminino) 39%. 
Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 2 (dois) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.
FONTE DOS DADOS: Censo 2010 | PNAD 2012 | TSE 2014 | Entre outras.
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores; para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado de Santa Catarina. A Relação de municípios selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao Registro da pesquisa, conforme expresso no art. 2º § 5º da resolução 23.400/2013 do TSE."
"27/02/2023";"15:36:19";2014;3;"Eleições Gerais 2014";"SC";"SC";"SANTA CATARINA";"SC000132014";"2014-07-31 00:00:00";"#NE";"83203646000101";"MAPA MARKETING E PARTICIPAÇÕES LTDA";"#NE";"Governador, Senador";"2014-07-30 00:00:00";"2014-08-04 00:00:00";1204;"9564";"Andrigo Rodrigues";"40000,00";"Pesquisa quantitativa, por amostragem. A técnica de coleta de dados será a de entrevistas pessoais, individuais, aplicadas com base em questionário estruturado.";"O universo objetivado será o de eleitores com 16 anos ou mais de idade. Para representar este universo eleitoral, o MAPA aplicará uma amostra de 1.204 entrevistas finais completas, distribuídas nas seis mesoregiões geográficas do estado, com base no método PPT (Probabilidade Proporcional ao Tamanho), seguindo-se pela segmentação por cotas amostrais proporcionais ao universo: sexo, faixa etária, escolaridade, condição da atividade, tendo como fonte de dados o IBGE e TSE. O nível econômico é assegurado através do controle das variáveis descritas acima e da dispersão geográfica da amostra. Os percentuais poderão ter variações na ordem de 3% (três pontos percentuais) para mais ou para menos, na obtenção das suas cotas de campo. Fator de ponderação igual a um para todas as variáveis, ou seja, amostra auto-ponderada.
Intervalo de confiança: O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada, considerando um modelo de amostragem aleatório simples, é de 2,8 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.";"As entrevistas serão acompanhadas por supervisores e fiscais de campo devidamente treinados para tal fim, após a aplicação dos questionários serão procedidas a crítica e a verificação dos mesmos, com checagem na ordem 20% das entrevistas, para confirmação das respostas e adequação dos parâmetros amostrais.";"#NULO#"
